Class,TP,FP,FN,Precision,Recall,F1,FNR,FPR
4,1222,32957,5856,0.0358,0.1726,0.0592,0.8274,0.9642
8,1262,36934,6520,0.033,0.1622,0.0549,0.8378,0.967
3,4788,130315,20055,0.0354,0.1927,0.0599,0.8073,0.9646
2,3301,115645,21217,0.0278,0.1346,0.046,0.8654,0.9722
11,62,2296,4225,0.0263,0.0145,0.0187,0.9855,0.9737
5,1058,11363,3858,0.0852,0.2152,0.1221,0.7848,0.9148
6,3427,88762,22062,0.0372,0.1345,0.0582,0.8655,0.9628
1,2184,75287,15894,0.0282,0.1208,0.0457,0.8792,0.9718
9,38,566,1422,0.0629,0.026,0.0368,0.974,0.9371
7,2,467,567,0.0043,0.0035,0.0039,0.9965,0.9957
10,0,4,919,0.0,0.0,0.0,1.0,1.0
