Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7175,481,591,55045,0.734,0.395,0.5136,0.9831,0.0087,0.0761,0.466,0.258
rider,11071,761,598,50862,0.769,0.456,0.5725,0.9785,0.0147,0.0512,0.524,0.304
car,14258,578,696,47760,0.781,0.569,0.6584,0.9799,0.012,0.0465,0.636,0.446
truck,3703,558,543,58488,0.7,0.537,0.6078,0.9826,0.0095,0.1279,0.588,0.419
bus,2896,282,423,59691,0.761,0.605,0.6741,0.9889,0.0047,0.1274,0.662,0.504
motorcycle,14352,603,454,47883,0.781,0.565,0.6557,0.9833,0.0124,0.0307,0.624,0.375
bicycle,0,194,79,63019,0.572,0.297,0.391,0.9957,0.0031,1.0,0.315,0.183
autorickshaw,4550,357,382,58003,0.771,0.591,0.6691,0.9883,0.0061,0.0775,0.654,0.467
animal,234,4,38,63016,0.639,0.158,0.2534,0.9993,0.0001,0.1397,0.197,0.0971
traffic light,143,5,6,63138,0.62,0.151,0.2429,0.9998,0.0001,0.0403,0.176,0.0812
traffic sign,1074,13,26,62179,0.562,0.245,0.3412,0.9994,0.0002,0.0236,0.269,0.142
Overall,59456,3836,3836,629084,0.6991,0.4154,0.5072,0.989,0.0065,0.1583,0.4646,0.2978
