epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.529,1.10657,0.72825,1.00379,0.6458,0.33633,0.38549,0.24207,1.25262,0.94694,1.03755,0.0670668,0.000332659,0.000332659
2,481.379,1.10662,0.72732,1.00314,0.64397,0.38976,0.42825,0.2733,1.19517,0.8125,1.0117,0.0340667,0.00066592,0.00066592
3,721.931,1.1128,0.73297,1.00607,0.67843,0.38064,0.42931,0.27317,1.20314,0.82583,1.01199,0.00106637,0.000998891,0.000998891
4,962.136,1.12044,0.74037,1.00737,0.69498,0.38076,0.434,0.27554,1.19859,0.8118,1.01041,0.000999023,0.000999023,0.000999023
5,1202,1.11537,0.73861,1.00834,0.66572,0.39593,0.43699,0.27713,1.19484,0.80216,1.00855,0.000998264,0.000998264,0.000998264
6,1442.28,1.1211,0.74251,1.01004,0.6633,0.38212,0.42648,0.27097,1.20397,0.82656,1.01367,0.000997288,0.000997288,0.000997288
7,1682.44,1.12266,0.74073,1.00877,0.69371,0.38616,0.43553,0.27648,1.19904,0.80871,1.00957,0.000996097,0.000996097,0.000996097
8,1922.75,1.11655,0.7403,1.008,0.6639,0.39222,0.43462,0.27723,1.19,0.81247,1.0075,0.00099469,0.00099469,0.00099469
9,2162.83,1.12062,0.73873,1.00838,0.67937,0.38942,0.43594,0.27829,1.18793,0.79977,1.00524,0.000993068,0.000993068,0.000993068
10,2403.23,1.11485,0.73754,1.007,0.66619,0.39969,0.44379,0.28266,1.18145,0.78386,1.0067,0.000991232,0.000991232,0.000991232
11,2643.67,1.11877,0.73907,1.00884,0.68827,0.39187,0.44066,0.28195,1.18395,0.79057,1.0039,0.000989183,0.000989183,0.000989183
12,2883.92,1.1167,0.73854,1.00683,0.68433,0.38984,0.43873,0.28124,1.17814,0.7915,1.00258,0.000986922,0.000986922,0.000986922
