Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7146,2523,571,67759,0.737,0.393,0.5126,0.9603,0.0359,0.074,0.467,0.258
rider,11087,3441,606,62865,0.771,0.455,0.5723,0.9481,0.0519,0.0518,0.528,0.305
car,14268,3874,711,59146,0.782,0.57,0.6594,0.9412,0.0615,0.0475,0.639,0.447
truck,3713,1712,532,72042,0.705,0.539,0.6109,0.9712,0.0232,0.1253,0.589,0.42
bus,2894,975,417,73713,0.767,0.601,0.6739,0.9822,0.0131,0.1259,0.663,0.505
motorcycle,14433,4088,452,59026,0.782,0.567,0.6574,0.9418,0.0648,0.0304,0.628,0.376
bicycle,0,279,92,77628,0.599,0.292,0.3926,0.9952,0.0036,1.0,0.314,0.18
autorickshaw,4544,1396,386,71673,0.774,0.589,0.6689,0.9772,0.0191,0.0783,0.654,0.467
animal,222,116,45,77616,0.606,0.15,0.2405,0.9979,0.0015,0.1685,0.189,0.0934
traffic light,136,82,29,77752,0.619,0.148,0.2389,0.9986,0.0011,0.1758,0.177,0.0794
traffic sign,1055,15,14660,62269,0.565,0.242,0.3389,0.8119,0.0002,0.9329,0.267,0.141
all,59498,18501,18501,761489,0.701,0.413,0.5198,0.9569,0.0251,0.2555,0.465,0.297
