epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.752,1.25121,0.72964,1.00282,0.66558,0.35401,0.40541,0.25435,1.40768,0.8981,1.03134,0.0670668,0.000332659,0.000332659
2,478.089,1.25036,0.7292,1.00234,0.63891,0.39054,0.42567,0.27097,1.37028,0.83059,1.01454,0.0340667,0.00066592,0.00066592
3,712.45,1.2583,0.73432,1.00477,0.69335,0.39038,0.43647,0.27643,1.35383,0.81664,1.00383,0.00106637,0.000998891,0.000998891
4,946.844,1.267,0.7411,1.00601,0.68292,0.38397,0.43058,0.27257,1.3662,0.82392,1.01267,0.000999023,0.000999023,0.000999023
5,1180.98,1.26212,0.7417,1.00755,0.68721,0.39386,0.43943,0.27819,1.35841,0.80325,1.01038,0.000998264,0.000998264,0.000998264
6,1414.82,1.26948,0.74548,1.0095,0.66583,0.38527,0.43326,0.27461,1.35911,0.81874,1.00761,0.000997288,0.000997288,0.000997288
7,1649.09,1.27153,0.7439,1.00752,0.68014,0.38541,0.43168,0.27309,1.37041,0.81444,1.00966,0.000996097,0.000996097,0.000996097
8,1884.22,1.26487,0.74447,1.0075,0.65425,0.39259,0.43511,0.27624,1.34924,0.80819,1.005,0.00099469,0.00099469,0.00099469
9,2119.62,1.26898,0.74381,1.00819,0.67436,0.38762,0.43436,0.27722,1.3497,0.80763,1.00698,0.000993068,0.000993068,0.000993068
10,2354.74,1.26263,0.7414,1.00645,0.68193,0.39496,0.44259,0.28118,1.34267,0.79572,1.00498,0.000991232,0.000991232,0.000991232
11,2589.76,1.26494,0.74317,1.00698,0.67792,0.39655,0.44381,0.28117,1.34292,0.7903,1.00351,0.000989183,0.000989183,0.000989183
12,2825.09,1.26364,0.74273,1.00575,0.68628,0.38887,0.438,0.28018,1.33906,0.79235,1.00448,0.000986922,0.000986922,0.000986922
13,3060.2,1.26337,0.7396,1.00698,0.68046,0.3964,0.445,0.28355,1.33809,0.78516,1.00291,0.000984449,0.000984449,0.000984449
14,3295.71,1.26218,0.74197,1.00641,0.67148,0.39507,0.44467,0.28426,1.33365,0.77956,1.00219,0.000981765,0.000981765,0.000981765
15,3530.46,1.26234,0.74038,1.00639,0.69294,0.39674,0.4488,0.28589,1.33455,0.77659,0.99809,0.000978873,0.000978873,0.000978873
16,3765.44,1.25994,0.73535,1.00546,0.69409,0.39875,0.44905,0.28681,1.32369,0.77125,0.99728,0.000975773,0.000975773,0.000975773
17,4000.38,1.25918,0.73641,1.00401,0.68892,0.40183,0.44946,0.28671,1.32469,0.77307,0.99548,0.000972466,0.000972466,0.000972466
18,4235.38,1.26103,0.73757,1.00477,0.70546,0.40124,0.45433,0.28976,1.32353,0.76444,0.99856,0.000968955,0.000968955,0.000968955
19,4470.79,1.25704,0.7348,1.00516,0.68447,0.39937,0.45151,0.28841,1.32298,0.76642,0.99755,0.000965239,0.000965239,0.000965239
20,4705.88,1.25945,0.73544,1.00412,0.69776,0.39688,0.45224,0.28869,1.32265,0.76137,0.99649,0.000961322,0.000961322,0.000961322
21,4941.17,1.25528,0.73352,1.0027,0.67829,0.40125,0.45297,0.28948,1.3195,0.76038,0.99391,0.000957205,0.000957205,0.000957205
22,5176.76,1.25332,0.73187,1.00245,0.67699,0.40742,0.45582,0.29141,1.31829,0.75782,0.99373,0.000952889,0.000952889,0.000952889
23,5411.65,1.25601,0.73266,1.00168,0.68471,0.40546,0.4572,0.29186,1.31539,0.75578,0.9928,0.000948377,0.000948377,0.000948377
24,5646.9,1.24911,0.72877,1.00135,0.6819,0.41104,0.45799,0.29248,1.31613,0.75475,0.99288,0.000943671,0.000943671,0.000943671
25,5882.44,1.25181,0.72877,1.00131,0.69527,0.40639,0.45974,0.29384,1.31586,0.75334,0.99273,0.000938772,0.000938772,0.000938772
26,6117.98,1.24911,0.72816,1.00224,0.68729,0.40993,0.46029,0.29411,1.31547,0.75149,0.99327,0.000933683,0.000933683,0.000933683
27,6352.68,1.25294,0.72846,1.00149,0.69688,0.40662,0.46031,0.2947,1.31192,0.74816,0.99165,0.000928405,0.000928405,0.000928405
28,6587.91,1.24971,0.72692,1.00094,0.69456,0.40659,0.46089,0.29492,1.313,0.74748,0.9921,0.000922942,0.000922942,0.000922942
29,6823.35,1.24588,0.72593,1.00051,0.69427,0.40797,0.46171,0.29528,1.31104,0.74721,0.992,0.000917296,0.000917296,0.000917296
30,7058.31,1.24649,0.72586,1.00031,0.68641,0.41114,0.46176,0.29524,1.31074,0.74738,0.9912,0.000911469,0.000911469,0.000911469
31,7293.21,1.24734,0.72595,1.00019,0.68748,0.41097,0.46136,0.29481,1.30974,0.74654,0.99084,0.000905463,0.000905463,0.000905463
32,7528.49,1.24654,0.72536,1.00035,0.69022,0.41157,0.46111,0.29469,1.30898,0.74632,0.99103,0.000899282,0.000899282,0.000899282
33,7762.97,1.24593,0.72236,1.00013,0.68568,0.41202,0.46082,0.29471,1.30892,0.74581,0.99087,0.000892928,0.000892928,0.000892928
34,7998.21,1.24417,0.72045,0.99964,0.6833,0.41141,0.4605,0.29497,1.30875,0.74566,0.99102,0.000886404,0.000886404,0.000886404
35,8232.47,1.24489,0.72093,0.9983,0.68352,0.41209,0.46054,0.29483,1.30932,0.74538,0.99126,0.000879713,0.000879713,0.000879713
36,8468.07,1.24404,0.71907,0.99742,0.69119,0.41034,0.46105,0.29502,1.30923,0.74484,0.99087,0.000872857,0.000872857,0.000872857
37,8703.25,1.24176,0.72034,0.99832,0.68815,0.41252,0.46153,0.29517,1.3094,0.74453,0.99088,0.000865839,0.000865839,0.000865839
38,8937.64,1.24189,0.71772,0.99864,0.69335,0.41054,0.46174,0.29539,1.30911,0.74402,0.99072,0.000858664,0.000858664,0.000858664
39,9173.21,1.23511,0.71558,0.99674,0.69058,0.41188,0.46228,0.29554,1.3091,0.74366,0.99075,0.000851333,0.000851333,0.000851333
40,9408.82,1.23884,0.71515,0.99603,0.69254,0.41176,0.46221,0.29547,1.30879,0.74342,0.9905,0.000843851,0.000843851,0.000843851
41,9644.99,1.23818,0.717,0.99742,0.68646,0.41523,0.46265,0.29569,1.30868,0.74296,0.9906,0.00083622,0.00083622,0.00083622
42,9880.67,1.23414,0.7133,0.99666,0.68389,0.41599,0.463,0.29591,1.30845,0.74258,0.99061,0.000828443,0.000828443,0.000828443
43,10116.1,1.23501,0.7119,0.99514,0.68323,0.4158,0.46282,0.29594,1.30804,0.74204,0.99064,0.000820525,0.000820525,0.000820525
44,10352.6,1.23458,0.71233,0.99622,0.68118,0.41631,0.46281,0.29599,1.30793,0.74187,0.99061,0.000812468,0.000812468,0.000812468
