epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.061,1.20406,0.68178,0.98897,0.71322,0.39257,0.45056,0.2883,1.32959,0.77646,0.99836,0.00332659,0.00332659,0.00332659
2,479.345,1.22724,0.70325,0.99442,0.67478,0.38372,0.43323,0.27564,1.35525,0.8032,1.00334,0.00661596,0.00661596,0.00661596
3,720.39,1.26649,0.73555,1.00517,0.64248,0.35296,0.39487,0.2477,1.44085,0.90257,1.03481,0.00986134,0.00986134,0.00986134
4,961.693,1.30307,0.76739,1.01494,0.69275,0.34539,0.39806,0.25206,1.41134,0.88442,1.02626,0.009802,0.009802,0.009802
5,1202.74,1.29908,0.76734,1.01571,0.67316,0.37199,0.41743,0.26461,1.39594,0.8389,1.02089,0.009736,0.009736,0.009736
6,1444.13,1.30676,0.77349,1.01834,0.61681,0.38571,0.41648,0.26476,1.37854,0.83927,1.01454,0.00967,0.00967,0.00967
7,1685.54,1.30802,0.77258,1.01751,0.65685,0.37595,0.42087,0.26722,1.37945,0.82582,1.00842,0.009604,0.009604,0.009604
8,1927,1.3016,0.77355,1.01677,0.65115,0.37872,0.42425,0.26872,1.37225,0.82389,1.00772,0.009538,0.009538,0.009538
9,2168.55,1.30715,0.77265,1.01773,0.65447,0.36761,0.41161,0.26207,1.37973,0.84865,1.0117,0.009472,0.009472,0.009472
10,2409.96,1.30118,0.77246,1.01611,0.66755,0.38242,0.42852,0.2713,1.36208,0.80768,1.00063,0.009406,0.009406,0.009406
11,2651.54,1.30606,0.77584,1.01881,0.69216,0.36962,0.42831,0.27301,1.3601,0.81636,1.0063,0.00934,0.00934,0.00934
12,2893.31,1.30545,0.77457,1.01691,0.67986,0.37688,0.42937,0.27415,1.35209,0.8061,1.00472,0.009274,0.009274,0.009274
13,3134.84,1.30451,0.77384,1.01828,0.68547,0.38209,0.43324,0.27654,1.35018,0.80295,1.00461,0.009208,0.009208,0.009208
14,3376.26,1.30582,0.77876,1.01693,0.67558,0.381,0.43299,0.27634,1.35367,0.79629,1.00327,0.009142,0.009142,0.009142
15,3617.39,1.30665,0.77919,1.01778,0.67032,0.39147,0.43751,0.27896,1.34073,0.78832,0.99968,0.009076,0.009076,0.009076
16,3858.79,1.30583,0.7759,1.01807,0.68346,0.39015,0.43945,0.28058,1.33994,0.78131,1.00082,0.00901,0.00901,0.00901
17,4100.34,1.30684,0.77725,1.01727,0.68046,0.39158,0.44158,0.2813,1.33957,0.78178,1.0007,0.008944,0.008944,0.008944
18,4342.43,1.30968,0.77922,1.01844,0.68466,0.39502,0.44519,0.28421,1.33554,0.77713,0.99525,0.008878,0.008878,0.008878
19,4584.13,1.30691,0.77835,1.01905,0.66553,0.39743,0.44346,0.28291,1.3328,0.7772,0.99626,0.008812,0.008812,0.008812
20,4825.87,1.3101,0.78021,1.01904,0.69248,0.39566,0.44766,0.2846,1.329,0.77463,0.99545,0.008746,0.008746,0.008746
21,5067.83,1.3075,0.78049,1.01772,0.68054,0.39765,0.4483,0.28577,1.32399,0.77042,0.99463,0.00868,0.00868,0.00868
