Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7119,2352,577,67120,0.713,0.404,0.5158,0.962,0.0339,0.075,0.468,0.259
rider,11119,3237,635,62177,0.748,0.467,0.575,0.9498,0.0495,0.054,0.529,0.305
car,14314,3532,737,58585,0.764,0.581,0.6601,0.9447,0.0569,0.049,0.643,0.451
truck,3740,1641,498,71289,0.676,0.55,0.6065,0.9723,0.0225,0.1175,0.597,0.423
bus,2880,934,392,72962,0.755,0.612,0.676,0.9828,0.0126,0.1198,0.667,0.51
motorcycle,14495,4060,481,58132,0.752,0.58,0.6549,0.9412,0.0653,0.0321,0.63,0.378
bicycle,0,287,81,76800,0.553,0.304,0.3923,0.9952,0.0037,1.0,0.319,0.196
autorickshaw,4549,1334,380,70905,0.75,0.598,0.6654,0.9778,0.0185,0.0771,0.656,0.47
animal,202,103,47,76816,0.609,0.147,0.2368,0.9981,0.0013,0.1888,0.184,0.0924
traffic light,134,47,23,76964,0.683,0.164,0.2645,0.9991,0.0006,0.1465,0.2,0.0899
traffic sign,1078,11,13687,62392,0.561,0.258,0.3535,0.8225,0.0002,0.927,0.272,0.142
all,59630,17538,17538,754142,0.688,0.424,0.5247,0.9587,0.0241,0.2533,0.47,0.302
