epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.131,1.10327,0.72709,1.00074,0.66003,0.34749,0.38841,0.24206,1.27045,0.94894,1.05023,0.0670668,0.000332659,0.000332659
2,479.029,1.13619,0.76812,1.01641,0.63633,0.36828,0.40563,0.25462,1.25244,0.89516,1.04358,0.0340667,0.00066592,0.00066592
3,719.607,1.16794,0.80757,1.03207,0.65148,0.36438,0.40611,0.25479,1.25915,0.91548,1.04198,0.00106637,0.000998891,0.000998891
4,960.205,1.17996,0.82023,1.03821,0.6839,0.36485,0.41529,0.26035,1.24932,0.8802,1.04638,0.000999023,0.000999023,0.000999023
5,1201.29,1.17386,0.81354,1.03849,0.67832,0.36512,0.41478,0.26102,1.24234,0.87621,1.03632,0.000998264,0.000998264,0.000998264
6,1442.25,1.17421,0.81006,1.03782,0.66999,0.37792,0.42194,0.26476,1.23888,0.86975,1.03471,0.000997288,0.000997288,0.000997288
7,1683.22,1.1721,0.80456,1.03526,0.6598,0.38104,0.42445,0.2675,1.23203,0.85525,1.0267,0.000996097,0.000996097,0.000996097
8,1924.36,1.16325,0.79924,1.03295,0.64546,0.37821,0.42018,0.26665,1.23082,0.85447,1.03153,0.00099469,0.00099469,0.00099469
9,2165.52,1.16412,0.79301,1.03154,0.65164,0.38555,0.42582,0.26957,1.21967,0.83771,1.02659,0.000993068,0.000993068,0.000993068
10,2406.6,1.15657,0.78991,1.02965,0.64185,0.3898,0.42805,0.27131,1.21157,0.83303,1.02529,0.000991232,0.000991232,0.000991232
11,2647.7,1.1571,0.78723,1.02958,0.65786,0.39125,0.43576,0.2775,1.20266,0.81678,1.01568,0.000989183,0.000989183,0.000989183
12,2889.04,1.15265,0.78176,1.02623,0.67,0.38737,0.43726,0.27884,1.19577,0.8148,1.01886,0.000986922,0.000986922,0.000986922
13,3130.69,1.15047,0.7763,1.02664,0.67347,0.39076,0.43523,0.27696,1.19768,0.81263,1.01731,0.000984449,0.000984449,0.000984449
14,3372.6,1.14743,0.77697,1.02399,0.68144,0.40024,0.44696,0.28409,1.18773,0.79477,1.00992,0.000981765,0.000981765,0.000981765
15,3614.2,1.14661,0.77421,1.02369,0.6866,0.39382,0.44204,0.28128,1.18787,0.79372,1.01161,0.000978873,0.000978873,0.000978873
16,3855.78,1.14242,0.76701,1.02228,0.69745,0.3949,0.44706,0.28583,1.17824,0.78731,1.00527,0.000975773,0.000975773,0.000975773
17,4097.44,1.14086,0.7657,1.02005,0.67787,0.40084,0.44733,0.28533,1.17601,0.78141,1.00425,0.000972466,0.000972466,0.000972466
18,4338.86,1.14196,0.76521,1.02023,0.67443,0.40698,0.45338,0.28985,1.17122,0.76946,1.00182,0.000968955,0.000968955,0.000968955
19,4580.18,1.13653,0.75909,1.01896,0.68277,0.40439,0.4507,0.28839,1.17363,0.77287,1.00219,0.000965239,0.000965239,0.000965239
20,4820.84,1.13723,0.76024,1.01772,0.68276,0.40773,0.45432,0.29063,1.17011,0.76649,1.0016,0.000961322,0.000961322,0.000961322
21,5061.84,1.13245,0.75649,1.01593,0.69489,0.4084,0.45613,0.2923,1.16715,0.76274,1.00034,0.000957205,0.000957205,0.000957205
22,5303.04,1.13085,0.75433,1.01549,0.6724,0.41171,0.45568,0.29219,1.16636,0.76086,1.00052,0.000952889,0.000952889,0.000952889
23,5544.59,1.1316,0.75211,1.01383,0.68512,0.41141,0.45887,0.29446,1.1618,0.75587,0.99584,0.000948377,0.000948377,0.000948377
24,5786.21,1.12584,0.74812,1.01397,0.68645,0.41523,0.46005,0.29461,1.16264,0.75239,0.99744,0.000943671,0.000943671,0.000943671
25,6027.78,1.12622,0.74613,1.01321,0.6845,0.41243,0.46194,0.29571,1.16233,0.75232,0.99729,0.000938772,0.000938772,0.000938772
26,6268.87,1.12335,0.74381,1.0132,0.69201,0.41057,0.46189,0.29613,1.16283,0.75109,0.99725,0.000933683,0.000933683,0.000933683
27,6510.08,1.12695,0.74528,1.01268,0.6795,0.41647,0.46253,0.29627,1.16154,0.75104,0.99632,0.000928405,0.000928405,0.000928405
28,6751.68,1.1224,0.74108,1.0106,0.68833,0.4163,0.46326,0.29714,1.16042,0.74898,0.99582,0.000922942,0.000922942,0.000922942
29,6993.06,1.11856,0.73852,1.00897,0.68557,0.41862,0.46351,0.29724,1.15853,0.74733,0.99474,0.000917296,0.000917296,0.000917296
30,7234.6,1.11833,0.73772,1.00972,0.68562,0.42133,0.46477,0.29786,1.15772,0.74549,0.99418,0.000911469,0.000911469,0.000911469
31,7476.74,1.1194,0.73753,1.00905,0.69051,0.41821,0.46487,0.29793,1.15732,0.74489,0.99374,0.000905463,0.000905463,0.000905463
