Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7103,2486,605,67520,0.715,0.4,0.513,0.9602,0.0355,0.0785,0.468,0.259
rider,11142,3354,624,62594,0.752,0.464,0.5739,0.9488,0.0509,0.053,0.531,0.306
car,14357,3612,734,59011,0.77,0.579,0.661,0.9441,0.0577,0.0486,0.643,0.45
truck,3711,1628,516,71859,0.689,0.542,0.6067,0.9724,0.0222,0.1221,0.595,0.423
bus,2889,873,386,73566,0.769,0.606,0.6778,0.9838,0.0117,0.1179,0.667,0.508
motorcycle,14550,4161,443,58560,0.76,0.578,0.6566,0.9408,0.0663,0.0295,0.631,0.379
bicycle,0,295,87,77332,0.555,0.304,0.3928,0.9951,0.0038,1.0,0.319,0.194
autorickshaw,4592,1346,360,71416,0.755,0.597,0.6668,0.978,0.0185,0.0727,0.657,0.47
animal,212,93,51,77358,0.63,0.147,0.2384,0.9981,0.0012,0.1939,0.182,0.0909
traffic light,140,85,36,77453,0.596,0.156,0.2473,0.9984,0.0011,0.2045,0.187,0.087
traffic sign,1073,12,14103,62526,0.574,0.252,0.3502,0.8184,0.0002,0.9293,0.273,0.142
all,59769,17945,17945,759195,0.688,0.42,0.5216,0.958,0.0245,0.2591,0.468,0.301
