epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.343,1.24783,0.72946,1.00015,0.66514,0.33061,0.37841,0.23528,1.47913,1.00453,1.05912,0.0670668,0.000332659,0.000332659
2,479.728,1.28608,0.77129,1.01581,0.64672,0.35574,0.3969,0.24852,1.45366,0.93204,1.0501,0.0340667,0.00066592,0.00066592
3,718.813,1.32697,0.81179,1.03211,0.64815,0.35692,0.39586,0.24796,1.4498,0.94211,1.05006,0.00106637,0.000998891,0.000998891
4,958.125,1.34389,0.82603,1.03897,0.62511,0.37611,0.41323,0.25809,1.42826,0.90871,1.04631,0.000999023,0.000999023,0.000999023
5,1192.87,1.33603,0.81929,1.03854,0.67019,0.37084,0.41671,0.2606,1.40939,0.87099,1.03131,0.000998264,0.000998264,0.000998264
6,1431.97,1.33649,0.81633,1.03835,0.63978,0.37676,0.40637,0.25572,1.41878,0.88537,1.03557,0.000997288,0.000997288,0.000997288
7,1670.97,1.33376,0.81109,1.03559,0.65775,0.38125,0.42489,0.269,1.38392,0.85784,1.02516,0.000996097,0.000996097,0.000996097
8,1910.6,1.32201,0.80472,1.03285,0.65054,0.38235,0.42626,0.26907,1.39131,0.85193,1.02534,0.00099469,0.00099469,0.00099469
9,2149.65,1.32208,0.79965,1.03183,0.64829,0.37707,0.42272,0.26748,1.4014,0.85016,1.03266,0.000993068,0.000993068,0.000993068
10,2389.14,1.31298,0.79424,1.02926,0.66085,0.38935,0.43249,0.27279,1.37604,0.83101,1.01811,0.000991232,0.000991232,0.000991232
11,2628.91,1.31378,0.79119,1.02878,0.67305,0.38597,0.43578,0.2757,1.37548,0.82582,1.02003,0.000989183,0.000989183,0.000989183
12,2868.39,1.30784,0.7879,1.02564,0.65849,0.39,0.43842,0.27928,1.359,0.81145,1.0138,0.000986922,0.000986922,0.000986922
13,3107.99,1.30678,0.78154,1.02535,0.6723,0.39317,0.43822,0.27872,1.3604,0.80565,1.01611,0.000984449,0.000984449,0.000984449
14,3347.58,1.30248,0.78318,1.02373,0.66577,0.40267,0.445,0.28223,1.35157,0.79499,1.00843,0.000981765,0.000981765,0.000981765
15,3586.85,1.30006,0.77981,1.02206,0.66117,0.4026,0.44403,0.28246,1.35227,0.79396,1.01298,0.000978873,0.000978873,0.000978873
16,3826.17,1.29664,0.77316,1.02153,0.67142,0.39893,0.44511,0.28388,1.3449,0.78924,1.00748,0.000975773,0.000975773,0.000975773
17,4065.76,1.29396,0.77144,1.01933,0.66281,0.40211,0.4487,0.28543,1.33777,0.78333,1.00655,0.000972466,0.000972466,0.000972466
18,4305.18,1.29565,0.77193,1.01969,0.68292,0.40703,0.45554,0.28928,1.33388,0.77657,1.00277,0.000968955,0.000968955,0.000968955
19,4544.63,1.28926,0.76586,1.01831,0.67726,0.40593,0.45278,0.28909,1.33201,0.77314,1.00137,0.000965239,0.000965239,0.000965239
20,4783.6,1.28923,0.76579,1.01741,0.67679,0.40908,0.45573,0.29082,1.32824,0.77097,1.00212,0.000961322,0.000961322,0.000961322
21,5022.97,1.28392,0.76267,1.01578,0.70226,0.40226,0.45493,0.2905,1.32644,0.76648,1.00223,0.000957205,0.000957205,0.000957205
22,5262.27,1.28114,0.76177,1.01501,0.68138,0.41053,0.45677,0.29169,1.32224,0.76226,1.00042,0.000952889,0.000952889,0.000952889
23,5501.97,1.28215,0.75829,1.01381,0.67064,0.41425,0.45838,0.29226,1.32068,0.76121,0.99947,0.000948377,0.000948377,0.000948377
24,5742.8,1.2755,0.75465,1.01343,0.68194,0.41308,0.45957,0.29361,1.3199,0.75819,0.99869,0.000943671,0.000943671,0.000943671
25,5983.79,1.27732,0.75181,1.01191,0.68342,0.41435,0.46,0.29377,1.32011,0.75781,0.99802,0.000938772,0.000938772,0.000938772
26,6224.66,1.27238,0.74822,1.0124,0.68488,0.41537,0.46213,0.29495,1.31929,0.75539,0.99752,0.000933683,0.000933683,0.000933683
27,6466.92,1.27482,0.7505,1.0119,0.68676,0.41383,0.46183,0.2951,1.31773,0.75483,0.99672,0.000928405,0.000928405,0.000928405
28,6711.76,1.27052,0.74698,1.00968,0.69498,0.41172,0.46266,0.29559,1.31592,0.75324,0.99545,0.000922942,0.000922942,0.000922942
29,6957.12,1.26636,0.74427,1.0083,0.70455,0.41012,0.46287,0.29604,1.31431,0.75181,0.99472,0.000917296,0.000917296,0.000917296
30,7202.77,1.2649,0.74257,1.00855,0.69447,0.41481,0.46402,0.297,1.31318,0.75055,0.99407,0.000911469,0.000911469,0.000911469
31,7444.1,1.26602,0.74314,1.00773,0.69192,0.41545,0.46393,0.29696,1.3128,0.74968,0.99394,0.000905463,0.000905463,0.000905463
32,7687.94,1.26346,0.74122,1.00696,0.68782,0.41565,0.46357,0.29693,1.31238,0.74944,0.99386,0.000899282,0.000899282,0.000899282
33,7932.92,1.26235,0.73858,1.00714,0.68941,0.41593,0.46398,0.29708,1.31266,0.74857,0.99376,0.000892928,0.000892928,0.000892928
34,8176.38,1.26154,0.73562,1.00653,0.69449,0.41443,0.46426,0.29718,1.31221,0.74771,0.99351,0.000886404,0.000886404,0.000886404
35,8419.15,1.25903,0.73569,1.00522,0.69277,0.41522,0.46478,0.29733,1.31185,0.7468,0.99346,0.000879713,0.000879713,0.000879713
36,8661.3,1.25872,0.73258,1.00423,0.69708,0.41413,0.46497,0.29732,1.31176,0.74576,0.99329,0.000872857,0.000872857,0.000872857
37,8902.64,1.25541,0.73254,1.0041,0.69825,0.41353,0.4652,0.29743,1.31174,0.74511,0.99321,0.000865839,0.000865839,0.000865839
38,9142.9,1.25566,0.73054,1.00481,0.70289,0.41309,0.46536,0.29775,1.3113,0.74458,0.99296,0.000858664,0.000858664,0.000858664
39,9383.91,1.24831,0.72723,1.00232,0.70566,0.41244,0.46574,0.29804,1.31082,0.74411,0.99277,0.000851333,0.000851333,0.000851333
40,9624.69,1.24951,0.72442,1.00167,0.6964,0.41499,0.46603,0.29828,1.31033,0.74337,0.99252,0.000843851,0.000843851,0.000843851
41,9866.66,1.2497,0.72605,1.00213,0.69823,0.41472,0.46638,0.29853,1.31011,0.74285,0.99229,0.00083622,0.00083622,0.00083622
42,10108.7,1.24611,0.72439,1.0012,0.69859,0.41515,0.46651,0.29858,1.31001,0.74256,0.99228,0.000828443,0.000828443,0.000828443
