Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7146,2611,615,67711,0.726,0.396,0.5125,0.9587,0.0371,0.0792,0.463,0.257
rider,11087,3345,624,63027,0.768,0.457,0.573,0.9492,0.0504,0.0533,0.526,0.305
car,14249,3982,737,59115,0.771,0.571,0.6561,0.9396,0.0631,0.0492,0.637,0.446
truck,3707,1760,521,72095,0.688,0.538,0.6038,0.9708,0.0238,0.1232,0.589,0.421
bus,2902,1058,422,73701,0.75,0.609,0.6722,0.981,0.0142,0.127,0.664,0.507
motorcycle,14398,4001,444,59240,0.782,0.57,0.6594,0.9431,0.0633,0.0299,0.627,0.375
bicycle,0,270,83,77730,0.597,0.289,0.3895,0.9955,0.0035,1.0,0.315,0.189
autorickshaw,4566,1449,387,71681,0.762,0.593,0.667,0.9765,0.0198,0.0781,0.655,0.469
animal,221,125,46,77691,0.592,0.149,0.2381,0.9978,0.0016,0.1723,0.185,0.0906
traffic light,107,68,25,77883,0.567,0.111,0.1857,0.9988,0.0009,0.1894,0.145,0.0746
traffic sign,1021,10,14775,62277,0.56,0.235,0.3311,0.8107,0.0002,0.9354,0.263,0.137
all,59404,18679,18679,762151,0.688,0.411,0.5146,0.9565,0.0253,0.2579,0.461,0.297
