epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.837,1.11042,0.73632,1.00285,0.64122,0.36797,0.40651,0.25909,1.23022,0.9101,1.02766,0.0670668,0.000332659,0.000332659
2,482.197,1.10928,0.73378,1.00242,0.63898,0.38456,0.427,0.2732,1.21224,0.83927,1.01641,0.0340667,0.00066592,0.00066592
3,722.171,1.11373,0.73788,1.00419,0.68316,0.38515,0.43085,0.27419,1.20673,0.82045,1.0104,0.00106637,0.000998891,0.000998891
4,962.666,1.12045,0.74335,1.00551,0.66756,0.38154,0.42763,0.27101,1.21729,0.8293,1.01507,0.000999023,0.000999023,0.000999023
5,1202.13,1.11744,0.74305,1.007,0.68752,0.38924,0.43813,0.27718,1.20179,0.80637,1.01141,0.000998264,0.000998264,0.000998264
6,1442.31,1.12418,0.74833,1.00985,0.6687,0.38077,0.42951,0.27451,1.20565,0.82468,1.0083,0.000997288,0.000997288,0.000997288
7,1682.28,1.12366,0.74692,1.00819,0.66659,0.38518,0.43059,0.27439,1.20311,0.82068,1.00774,0.000996097,0.000996097,0.000996097
8,1922.3,1.11933,0.74532,1.00709,0.65433,0.38628,0.4328,0.27614,1.19812,0.80287,1.00659,0.00099469,0.00099469,0.00099469
9,2162.48,1.1226,0.74407,1.00741,0.65608,0.39077,0.43187,0.27683,1.19395,0.80454,1.00749,0.000993068,0.000993068,0.000993068
10,2402.03,1.11654,0.74164,1.00585,0.65668,0.39315,0.43469,0.27792,1.18993,0.79898,1.00397,0.000991232,0.000991232,0.000991232
11,2641.58,1.12032,0.74318,1.00796,0.67261,0.38994,0.43688,0.28042,1.18986,0.79648,1.0074,0.000989183,0.000989183,0.000989183
12,2880.54,1.11746,0.74133,1.00546,0.68915,0.38842,0.43993,0.28259,1.18497,0.79043,1.00337,0.000986922,0.000986922,0.000986922
13,3120.23,1.11803,0.74008,1.00716,0.68899,0.38939,0.43871,0.28193,1.18269,0.78732,1.0021,0.000984449,0.000984449,0.000984449
