Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7118,2679,606,67629,0.734,0.39,0.5094,0.9579,0.0381,0.0785,0.465,0.257
rider,11057,3294,617,63064,0.783,0.452,0.5731,0.9499,0.0496,0.0529,0.53,0.306
car,14280,4026,703,59023,0.782,0.569,0.6587,0.9394,0.0639,0.0469,0.637,0.446
truck,3721,1776,515,72020,0.695,0.533,0.6033,0.9706,0.0241,0.1216,0.589,0.419
bus,2894,1023,430,73685,0.766,0.603,0.6748,0.9814,0.0137,0.1294,0.663,0.506
motorcycle,14430,3917,428,59257,0.794,0.565,0.6602,0.9443,0.062,0.0288,0.628,0.375
bicycle,0,286,80,77666,0.559,0.278,0.3713,0.9953,0.0037,1.0,0.303,0.183
autorickshaw,4564,1414,374,71680,0.778,0.588,0.6698,0.9771,0.0193,0.0757,0.654,0.468
animal,229,123,40,77640,0.638,0.155,0.2494,0.9979,0.0016,0.1487,0.188,0.0919
traffic light,112,67,25,77828,0.599,0.114,0.1915,0.9988,0.0009,0.1825,0.146,0.0742
traffic sign,1013,9,14796,62214,0.582,0.23,0.3297,0.8103,0.0001,0.9359,0.261,0.135
all,59418,18614,18614,761706,0.701,0.407,0.515,0.9566,0.0252,0.2546,0.46,0.296
