epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.176,1.25264,0.73762,1.00255,0.62924,0.3546,0.39422,0.25155,1.40435,0.91691,1.02762,0.0670668,0.000332659,0.000332659
2,482.765,1.2512,0.73547,1.00202,0.64358,0.3862,0.42582,0.2716,1.37135,0.82019,1.00964,0.0340667,0.00066592,0.00066592
3,722.884,1.25745,0.73996,1.00336,0.67255,0.38749,0.43336,0.27502,1.37225,0.82678,1.00746,0.00106637,0.000998891,0.000998891
4,963.878,1.26704,0.74609,1.0053,0.65936,0.38451,0.42846,0.27286,1.37037,0.81716,1.01718,0.000999023,0.000999023,0.000999023
5,1203.99,1.26249,0.74681,1.00687,0.67902,0.38279,0.43295,0.27547,1.36893,0.81745,1.01177,0.000998264,0.000998264,0.000998264
6,1444.63,1.27006,0.75123,1.00815,0.6492,0.38564,0.42787,0.27446,1.36326,0.82051,1.0077,0.000997288,0.000997288,0.000997288
7,1684.73,1.27117,0.74959,1.00737,0.688,0.3837,0.43254,0.2761,1.36396,0.81642,1.00386,0.000996097,0.000996097,0.000996097
8,1925.4,1.26581,0.74918,1.00626,0.64404,0.38517,0.42601,0.27221,1.35969,0.81143,1.00523,0.00099469,0.00099469,0.00099469
9,2166.41,1.2684,0.74746,1.00688,0.65288,0.38505,0.42733,0.27334,1.36272,0.81665,1.00813,0.000993068,0.000993068,0.000993068
10,2407.59,1.26172,0.74496,1.00513,0.65796,0.38855,0.43231,0.27555,1.35193,0.80071,1.00368,0.000991232,0.000991232,0.000991232
11,2648.63,1.26644,0.74661,1.00732,0.68387,0.38912,0.43913,0.2805,1.35348,0.79475,1.00485,0.000989183,0.000989183,0.000989183
12,2885.9,1.26305,0.74581,1.0049,0.70132,0.38152,0.43479,0.27914,1.34115,0.79407,1.00075,0.000986922,0.000986922,0.000986922
13,3127.37,1.26289,0.74241,1.00611,0.67209,0.39388,0.43949,0.28183,1.34178,0.79154,1.00189,0.000984449,0.000984449,0.000984449
14,3368.29,1.26207,0.74457,1.00537,0.66864,0.39539,0.44087,0.28195,1.33959,0.788,1.00084,0.000981765,0.000981765,0.000981765
15,3608.92,1.2615,0.74366,1.00537,0.68203,0.39756,0.44633,0.28596,1.3374,0.77806,1.00016,0.000978873,0.000978873,0.000978873
16,3850.28,1.2593,0.73924,1.00475,0.68345,0.39784,0.44529,0.28568,1.32802,0.77535,0.99632,0.000975773,0.000975773,0.000975773
17,4091.3,1.25907,0.73933,1.00394,0.68528,0.39282,0.44377,0.28449,1.33224,0.77397,0.99935,0.000972466,0.000972466,0.000972466
18,4331.61,1.26134,0.74073,1.00453,0.68579,0.39746,0.44805,0.28783,1.32686,0.76942,0.99791,0.000968955,0.000968955,0.000968955
19,4572.43,1.25787,0.73805,1.00406,0.69498,0.39545,0.44752,0.28772,1.32753,0.76819,0.99515,0.000965239,0.000965239,0.000965239
20,4813.15,1.25897,0.73939,1.00319,0.6825,0.39968,0.44867,0.28822,1.32329,0.76604,0.99438,0.000961322,0.000961322,0.000961322
21,5054.04,1.25418,0.73595,1.00165,0.68726,0.40084,0.45078,0.289,1.32583,0.76626,0.99382,0.000957205,0.000957205,0.000957205
22,5294.76,1.25346,0.73624,1.00268,0.68733,0.40036,0.45128,0.28952,1.32426,0.76384,0.99721,0.000952889,0.000952889,0.000952889
23,5535.65,1.25639,0.73604,1.0025,0.68199,0.40303,0.45344,0.2908,1.32428,0.76063,0.99664,0.000948377,0.000948377,0.000948377
24,5777.91,1.24847,0.7323,1.00094,0.69232,0.40134,0.45317,0.29137,1.32029,0.75823,0.99413,0.000943671,0.000943671,0.000943671
25,6018.75,1.25241,0.73226,1.00144,0.68722,0.40714,0.45504,0.29245,1.31977,0.75555,0.99412,0.000938772,0.000938772,0.000938772
26,6260.27,1.24792,0.72966,1.00125,0.6924,0.40547,0.45588,0.29249,1.31921,0.75457,0.99401,0.000933683,0.000933683,0.000933683
27,6500.71,1.25327,0.7323,1.00194,0.70061,0.40238,0.45594,0.29248,1.31872,0.7547,0.99442,0.000928405,0.000928405,0.000928405
28,6742.03,1.24993,0.73021,1.00051,0.70342,0.40077,0.4561,0.29262,1.31755,0.75318,0.9934,0.000922942,0.000922942,0.000922942
29,6983.06,1.24609,0.72941,0.99867,0.69844,0.40229,0.45547,0.2928,1.31646,0.75369,0.99245,0.000917296,0.000917296,0.000917296
30,7223.95,1.24615,0.72759,0.99969,0.69335,0.40502,0.45637,0.29338,1.31618,0.75195,0.99198,0.000911469,0.000911469,0.000911469
31,7465,1.24795,0.72909,0.99929,0.69164,0.40565,0.4564,0.29346,1.31612,0.75161,0.99193,0.000905463,0.000905463,0.000905463
32,7706.03,1.24576,0.72749,0.99869,0.69284,0.40578,0.45639,0.29355,1.31586,0.75126,0.99154,0.000899282,0.000899282,0.000899282
