epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.708,1.05951,0.6714,0.98419,0.69377,0.40871,0.4594,0.2937,1.16971,0.76362,0.99097,0.00332659,0.00332659,0.00332659
2,470.54,1.08765,0.70344,0.99251,0.67047,0.38831,0.43275,0.27453,1.20911,0.81525,1.00817,0.00661596,0.00661596,0.00661596
3,705.112,1.14451,0.76973,1.0159,0.64697,0.34568,0.38641,0.24143,1.28476,0.93167,1.04252,0.00986134,0.00986134,0.00986134
4,940.625,1.20479,0.84443,1.04302,0.64766,0.34623,0.38994,0.24479,1.26951,0.9439,1.04985,0.009802,0.009802,0.009802
5,1175.85,1.20426,0.84688,1.04645,0.63711,0.35473,0.39666,0.24815,1.26789,0.91913,1.04621,0.009736,0.009736,0.009736
6,1411.16,1.20839,0.8481,1.04832,0.60814,0.36119,0.39386,0.24822,1.24866,0.8994,1.03482,0.00967,0.00967,0.00967
7,1645.97,1.20769,0.84358,1.04638,0.68149,0.35077,0.40055,0.25328,1.24816,0.91414,1.03189,0.009604,0.009604,0.009604
8,1881.54,1.19843,0.8385,1.0437,0.64,0.36385,0.40527,0.25501,1.24546,0.8872,1.0334,0.009538,0.009538,0.009538
9,2117.17,1.20127,0.83608,1.04401,0.65986,0.3578,0.40432,0.25411,1.25235,0.88466,1.03457,0.009472,0.009472,0.009472
10,2352.27,1.19327,0.83198,1.04136,0.65395,0.37483,0.41733,0.26388,1.22273,0.84252,1.02222,0.009406,0.009406,0.009406
11,2588.68,1.19623,0.83186,1.04254,0.63062,0.37318,0.4153,0.26301,1.22472,0.85232,1.02494,0.00934,0.00934,0.00934
12,2825,1.19091,0.82664,1.04038,0.66192,0.37682,0.42616,0.2703,1.21298,0.83138,1.02026,0.009274,0.009274,0.009274
13,3061.44,1.18929,0.82368,1.04037,0.67775,0.38318,0.42944,0.27253,1.21074,0.8289,1.02215,0.009208,0.009208,0.009208
14,3298.12,1.18792,0.82454,1.03831,0.6855,0.3847,0.43398,0.27514,1.20527,0.81707,1.0181,0.009142,0.009142,0.009142
15,3534.56,1.18663,0.82117,1.03805,0.66103,0.39066,0.43501,0.27648,1.19952,0.80918,1.01327,0.009076,0.009076,0.009076
16,3771.2,1.18387,0.81557,1.0372,0.66684,0.39099,0.4349,0.27805,1.19253,0.80292,1.01093,0.00901,0.00901,0.00901
17,4007.4,1.18273,0.81611,1.03572,0.68516,0.38896,0.44165,0.2819,1.19127,0.79295,1.00863,0.008944,0.008944,0.008944
18,4243.84,1.18409,0.81645,1.03612,0.68953,0.39391,0.44445,0.28342,1.18378,0.79003,1.00503,0.008878,0.008878,0.008878
19,4480.13,1.1798,0.81056,1.03595,0.66241,0.39992,0.4437,0.28297,1.18234,0.78743,1.00586,0.008812,0.008812,0.008812
20,4716.72,1.18112,0.81158,1.03472,0.67133,0.40067,0.44732,0.28606,1.17821,0.78124,1.00327,0.008746,0.008746,0.008746
21,4953.12,1.17595,0.80837,1.03279,0.6739,0.40179,0.44982,0.2879,1.17455,0.77311,1.00218,0.00868,0.00868,0.00868
