epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.57,1.73382,2.21201,1.1397,0.70144,0.23488,0.26356,0.16688,1.63508,1.40802,1.07953,0.00332659,0.00332659,0.00332659
2,212.102,1.6404,1.42463,1.124,0.4671,0.2627,0.28013,0.16625,1.68414,1.35491,1.11813,0.00661596,0.00661596,0.00661596
3,315.836,1.68845,1.35278,1.14511,0.4196,0.23077,0.23218,0.13076,1.87354,1.57588,1.21556,0.00986134,0.00986134,0.00986134
4,418.558,1.70744,1.28576,1.1578,0.48547,0.27568,0.29423,0.17719,1.68147,1.25972,1.13096,0.009802,0.009802,0.009802
5,522.124,1.64526,1.18237,1.13768,0.5538,0.25488,0.28182,0.16754,1.7309,1.45096,1.16157,0.009736,0.009736,0.009736
6,625.297,1.60612,1.12492,1.12402,0.57455,0.29761,0.3314,0.20325,1.59914,1.13412,1.08814,0.00967,0.00967,0.00967
7,727.629,1.57808,1.08787,1.11237,0.5858,0.29938,0.32651,0.19978,1.59678,1.16179,1.09605,0.009604,0.009604,0.009604
8,829.878,1.559,1.06357,1.10611,0.63739,0.31528,0.35695,0.22077,1.53598,1.04636,1.06759,0.009538,0.009538,0.009538
9,932.44,1.54067,1.04193,1.10054,0.61281,0.31628,0.36148,0.22562,1.50593,1.01799,1.05926,0.009472,0.009472,0.009472
10,1035.46,1.52164,1.01978,1.0927,0.61081,0.3245,0.364,0.22579,1.51117,1.00607,1.05974,0.009406,0.009406,0.009406
11,1137.93,1.51293,1.01361,1.09154,0.58932,0.34067,0.3736,0.23449,1.47498,0.97609,1.05074,0.00934,0.00934,0.00934
12,1240.14,1.50176,0.99926,1.08736,0.61028,0.34386,0.3814,0.23894,1.46462,0.96069,1.04289,0.009274,0.009274,0.009274
13,1342.35,1.49542,0.98907,1.08365,0.65608,0.3428,0.3866,0.2431,1.44968,0.94603,1.03949,0.009208,0.009208,0.009208
14,1444.46,1.48505,0.9795,1.08043,0.61859,0.35509,0.39296,0.24639,1.44608,0.92307,1.03743,0.009142,0.009142,0.009142
15,1546.61,1.48015,0.97147,1.07757,0.62318,0.3588,0.39902,0.25155,1.42855,0.90586,1.03093,0.009076,0.009076,0.009076
16,1648.79,1.47555,0.96771,1.07464,0.64067,0.35406,0.39872,0.25241,1.42024,0.90593,1.02726,0.00901,0.00901,0.00901
17,1751.02,1.46841,0.95705,1.07332,0.61009,0.36396,0.40308,0.25498,1.41318,0.89173,1.02403,0.008944,0.008944,0.008944
18,1853.45,1.46867,0.95367,1.07069,0.63034,0.36624,0.40655,0.25649,1.41392,0.887,1.02437,0.008878,0.008878,0.008878
19,1955.53,1.4573,0.94452,1.06966,0.63664,0.36604,0.41016,0.25986,1.40217,0.87311,1.0201,0.008812,0.008812,0.008812
20,2057.63,1.45291,0.94264,1.0667,0.63951,0.37106,0.41257,0.26133,1.39805,0.8694,1.0192,0.008746,0.008746,0.008746
21,2159.6,1.45196,0.93925,1.06719,0.64356,0.3677,0.41303,0.26187,1.39223,0.86494,1.01718,0.00868,0.00868,0.00868
22,2261.61,1.44325,0.93083,1.06445,0.64535,0.36784,0.415,0.26431,1.38862,0.85866,1.01568,0.008614,0.008614,0.008614
23,2364.24,1.44005,0.92787,1.06307,0.64111,0.37185,0.41766,0.26571,1.38444,0.85294,1.01384,0.008548,0.008548,0.008548
24,2466.37,1.44051,0.92675,1.06279,0.65659,0.37449,0.4205,0.26768,1.38318,0.84807,1.01262,0.008482,0.008482,0.008482
25,2568.49,1.438,0.92166,1.06088,0.65737,0.37328,0.42019,0.26808,1.37932,0.84392,1.01154,0.008416,0.008416,0.008416
26,2670.71,1.43104,0.91766,1.05875,0.65414,0.37779,0.42305,0.26931,1.37882,0.84117,1.01155,0.00835,0.00835,0.00835
27,2773.55,1.42409,0.91028,1.05738,0.6572,0.37894,0.42536,0.27122,1.37598,0.83612,1.01046,0.008284,0.008284,0.008284
28,2876.99,1.42937,0.91133,1.05745,0.65878,0.37885,0.42563,0.27149,1.37437,0.83491,1.0095,0.008218,0.008218,0.008218
29,2979.94,1.42233,0.90569,1.05502,0.66464,0.3786,0.42673,0.27235,1.37348,0.83192,1.00878,0.008152,0.008152,0.008152
30,3082.95,1.42184,0.90426,1.05551,0.66542,0.38057,0.42798,0.27314,1.37217,0.82913,1.00838,0.008086,0.008086,0.008086
31,3185.86,1.41701,0.90384,1.05261,0.66096,0.38263,0.42865,0.27358,1.37078,0.82788,1.00795,0.00802,0.00802,0.00802
32,3288.14,1.41209,0.89685,1.05333,0.66327,0.38186,0.42916,0.27433,1.36851,0.82601,1.00717,0.007954,0.007954,0.007954
33,3390.35,1.41322,0.89701,1.05228,0.65788,0.38234,0.42912,0.27448,1.36684,0.82465,1.00647,0.007888,0.007888,0.007888
34,3492.44,1.41445,0.89548,1.05128,0.65646,0.38364,0.42997,0.27511,1.366,0.82286,1.00603,0.007822,0.007822,0.007822
35,3594.53,1.40949,0.89316,1.05037,0.65615,0.38373,0.43031,0.27547,1.36481,0.82174,1.00533,0.007756,0.007756,0.007756
36,3696.6,1.40884,0.89103,1.05065,0.65835,0.38427,0.43056,0.2758,1.36363,0.82077,1.00484,0.00769,0.00769,0.00769
37,3798.66,1.40346,0.88943,1.04792,0.66464,0.38277,0.43104,0.27613,1.36255,0.81991,1.00447,0.007624,0.007624,0.007624
38,3901.09,1.40524,0.88736,1.05051,0.66183,0.38427,0.43107,0.27623,1.36186,0.81879,1.00425,0.007558,0.007558,0.007558
39,4003.16,1.40256,0.88609,1.04886,0.66157,0.385,0.43129,0.27629,1.36113,0.81769,1.00405,0.007492,0.007492,0.007492
40,4105.4,1.39825,0.88313,1.04673,0.66251,0.38592,0.43187,0.27669,1.36025,0.81683,1.00385,0.007426,0.007426,0.007426
41,4207.55,1.39682,0.88071,1.0455,0.66131,0.38613,0.43204,0.27698,1.35964,0.81604,1.00358,0.00736,0.00736,0.00736
42,4309.49,1.39893,0.87972,1.04554,0.66022,0.38599,0.43232,0.2771,1.35906,0.81549,1.00338,0.007294,0.007294,0.007294
43,4411.63,1.39474,0.8774,1.04517,0.6635,0.38567,0.4329,0.27751,1.35872,0.81463,1.00318,0.007228,0.007228,0.007228
44,4513.45,1.39289,0.87376,1.04379,0.66768,0.38522,0.43332,0.27785,1.35831,0.81392,1.003,0.007162,0.007162,0.007162
45,4615.51,1.3928,0.8745,1.04376,0.66984,0.38562,0.43366,0.27799,1.35788,0.81339,1.00279,0.007096,0.007096,0.007096
46,4717.52,1.39051,0.87222,1.0446,0.671,0.38492,0.43389,0.27799,1.35771,0.81282,1.00264,0.00703,0.00703,0.00703
47,4819.51,1.3879,0.8703,1.04236,0.67077,0.38453,0.43422,0.27826,1.35725,0.81209,1.00244,0.006964,0.006964,0.006964
48,4921.62,1.38729,0.86843,1.04159,0.66861,0.38465,0.4343,0.27848,1.35686,0.81155,1.00219,0.006898,0.006898,0.006898
49,5023.96,1.38641,0.86923,1.04138,0.66565,0.38576,0.43473,0.27872,1.35627,0.81083,1.00197,0.006832,0.006832,0.006832
50,5125.96,1.38382,0.86592,1.03984,0.66859,0.38603,0.43526,0.27886,1.3558,0.81023,1.0017,0.006766,0.006766,0.006766
51,5227.95,1.38472,0.86602,1.04015,0.66725,0.38652,0.4352,0.27906,1.35544,0.80969,1.00143,0.0067,0.0067,0.0067
52,5329.83,1.38162,0.86488,1.03958,0.67015,0.38634,0.43581,0.27933,1.35506,0.80911,1.00127,0.006634,0.006634,0.006634
53,5432.1,1.38194,0.86451,1.04041,0.67035,0.38629,0.43595,0.2794,1.35446,0.80855,1.00098,0.006568,0.006568,0.006568
54,5533.98,1.37459,0.85648,1.03682,0.66775,0.38728,0.43634,0.2796,1.35411,0.80791,1.00071,0.006502,0.006502,0.006502
55,5636.03,1.37959,0.8604,1.03932,0.66769,0.38701,0.43677,0.27977,1.35356,0.80723,1.00053,0.006436,0.006436,0.006436
56,5738.11,1.37455,0.85458,1.03589,0.66726,0.3874,0.43694,0.27988,1.35292,0.80668,1.00021,0.00637,0.00637,0.00637
57,5840.16,1.37053,0.85324,1.03662,0.6741,0.38498,0.43715,0.28013,1.35238,0.80596,0.99989,0.006304,0.006304,0.006304
