Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,9439,2398,580,73945,0.808,0.512,0.6268,0.9655,0.0314,0.0579,0.597,0.353
rider,13268,2572,675,69847,0.852,0.537,0.6588,0.9624,0.0355,0.0484,0.623,0.382
car,16406,2431,681,66844,0.877,0.65,0.7466,0.964,0.0351,0.0399,0.729,0.528
truck,4537,1730,417,79678,0.748,0.648,0.6944,0.9751,0.0213,0.0842,0.698,0.518
bus,3390,714,363,81895,0.846,0.694,0.7625,0.9875,0.0086,0.0967,0.764,0.596
motorcycle,16767,3466,211,65918,0.84,0.651,0.7335,0.9574,0.05,0.0124,0.713,0.454
bicycle,285,141,58,85878,0.698,0.513,0.5914,0.9977,0.0016,0.1691,0.526,0.327
autorickshaw,5345,969,369,79679,0.862,0.685,0.7634,0.9845,0.012,0.0646,0.765,0.565
animal,376,141,13,85832,0.725,0.246,0.3674,0.9982,0.0016,0.0334,0.323,0.168
traffic light,282,87,27,85966,0.743,0.288,0.4151,0.9987,0.001,0.0874,0.362,0.176
traffic sign,1608,10,11265,73479,0.671,0.366,0.4736,0.8694,0.0001,0.8751,0.417,0.237
Overall,71703,14659,14659,848961,0.7882,0.5264,0.6212,0.9691,0.018,0.1426,0.5925,0.3913
