epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.09,1.24071,1.04734,1.14264,0.54919,0.28068,0.29683,0.18055,1.386,1.34134,1.24027,0.0670334,0.000332996,0.000332996
2,588.582,1.26792,0.98184,1.16847,0.63714,0.34699,0.38459,0.24073,1.25113,0.98112,1.14713,0.0340334,0.000666257,0.000666257
3,875.909,1.22494,0.91188,1.14326,0.65679,0.37898,0.42027,0.25955,1.24361,0.92337,1.13974,0.001033,0.000999228,0.000999228
4,1163.32,1.19399,0.85986,1.12628,0.67775,0.39649,0.4419,0.27836,1.19339,0.85512,1.10858,0.000999023,0.000999023,0.000999023
5,1450.97,1.15392,0.80935,1.10369,0.65048,0.42171,0.45538,0.29185,1.16147,0.80227,1.09682,0.000998264,0.000998264,0.000998264
6,1737.19,1.12874,0.77849,1.09147,0.68602,0.42657,0.47027,0.30325,1.13421,0.75921,1.07988,0.000997288,0.000997288,0.000997288
7,2023.92,1.112,0.75426,1.08121,0.70181,0.43452,0.48684,0.31348,1.12133,0.74089,1.07492,0.000996097,0.000996097,0.000996097
8,2310.32,1.09683,0.73437,1.07405,0.71383,0.44127,0.49267,0.31882,1.10703,0.73472,1.06734,0.00099469,0.00099469,0.00099469
9,2596.63,1.08047,0.71745,1.06708,0.71995,0.449,0.50268,0.32466,1.10245,0.70544,1.06566,0.000993068,0.000993068,0.000993068
10,2882.84,1.07058,0.70462,1.06021,0.71419,0.46053,0.50999,0.33095,1.08633,0.69678,1.05275,0.000991232,0.000991232,0.000991232
11,3169.24,1.06283,0.69179,1.05693,0.72888,0.46554,0.51959,0.33854,1.08234,0.67579,1.05582,0.000989183,0.000989183,0.000989183
12,3455.48,1.05132,0.67808,1.04772,0.73879,0.4692,0.5251,0.3423,1.07447,0.67548,1.04725,0.000986922,0.000986922,0.000986922
13,3742.13,1.04594,0.67099,1.04581,0.73885,0.47578,0.53099,0.3457,1.06772,0.66247,1.04309,0.000984449,0.000984449,0.000984449
14,4028.22,1.03726,0.65978,1.04048,0.75053,0.47968,0.53777,0.35151,1.05862,0.64529,1.03708,0.000981765,0.000981765,0.000981765
15,4314.54,1.03261,0.6528,1.04011,0.74863,0.48172,0.53984,0.35356,1.05701,0.64209,1.03725,0.000978873,0.000978873,0.000978873
16,4600.47,1.02614,0.64521,1.03291,0.75108,0.48397,0.54403,0.35662,1.0511,0.63813,1.03398,0.000975773,0.000975773,0.000975773
17,4886.48,1.01798,0.6363,1.03196,0.74393,0.49461,0.54863,0.35997,1.04672,0.63164,1.03123,0.000972466,0.000972466,0.000972466
18,5173.34,1.01388,0.63166,1.02697,0.76384,0.496,0.55602,0.36491,1.04087,0.62145,1.0279,0.000968955,0.000968955,0.000968955
