Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,9530,2376,632,74640,0.795,0.525,0.6324,0.9655,0.0309,0.0622,0.604,0.356
rider,13466,2593,624,70495,0.838,0.55,0.6641,0.9631,0.0355,0.0443,0.627,0.386
car,16530,2638,681,67329,0.854,0.66,0.7446,0.9619,0.0377,0.0396,0.731,0.529
truck,4542,1655,474,80507,0.749,0.657,0.7,0.9756,0.0201,0.0945,0.704,0.52
bus,3437,736,341,82664,0.832,0.707,0.7644,0.9876,0.0088,0.0903,0.772,0.598
motorcycle,16844,3412,212,66710,0.827,0.659,0.7335,0.9584,0.0487,0.0124,0.715,0.456
bicycle,296,116,48,86718,0.726,0.527,0.6107,0.9981,0.0013,0.1395,0.545,0.342
autorickshaw,5445,962,352,80419,0.85,0.702,0.7689,0.9849,0.0118,0.0607,0.77,0.568
animal,396,167,15,86600,0.678,0.263,0.379,0.9979,0.0019,0.0365,0.33,0.173
traffic light,289,91,15,86783,0.713,0.3,0.4223,0.9988,0.001,0.0493,0.372,0.179
traffic sign,1645,12,11364,74157,0.673,0.38,0.4857,0.8695,0.0002,0.8735,0.429,0.248
Overall,72420,14758,14758,857022,0.7759,0.5391,0.6278,0.9692,0.018,0.1366,0.5999,0.3959
