epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.861,1.09312,1.01326,1.04817,0.67239,0.42653,0.46848,0.30699,1.10492,0.78128,1.01122,0.00332996,0.00332996,0.00332996
2,574.271,1.10696,0.78325,1.0573,0.67268,0.41146,0.45555,0.29175,1.14547,0.8144,1.05177,0.00661931,0.00661931,0.00661931
3,855.261,1.18223,0.8635,1.09876,0.63628,0.36513,0.39974,0.25028,1.25204,0.96039,1.11697,0.00986467,0.00986467,0.00986467
4,1136.77,1.22882,0.9072,1.12788,0.6805,0.36946,0.41789,0.26344,1.20488,0.8977,1.11254,0.009802,0.009802,0.009802
5,1417.78,1.17985,0.83683,1.10465,0.69619,0.40695,0.45416,0.29128,1.1605,0.81593,1.08505,0.009736,0.009736,0.009736
6,1698.61,1.14784,0.79592,1.08957,0.69138,0.42336,0.47294,0.30276,1.1436,0.7698,1.07656,0.00967,0.00967,0.00967
7,1979.46,1.12583,0.76382,1.07766,0.70778,0.43156,0.48083,0.30869,1.12813,0.74297,1.06934,0.009604,0.009604,0.009604
8,2260.61,1.10557,0.74204,1.06724,0.70724,0.4379,0.49182,0.31868,1.10626,0.72343,1.05623,0.009538,0.009538,0.009538
9,2541.35,1.08905,0.72267,1.06242,0.73522,0.44798,0.50406,0.32683,1.10042,0.7073,1.05476,0.009472,0.009472,0.009472
10,2822.55,1.07847,0.7077,1.05492,0.71576,0.45619,0.51097,0.33081,1.08713,0.69133,1.04241,0.009406,0.009406,0.009406
11,3103,1.07073,0.69645,1.04993,0.73816,0.46495,0.52301,0.33975,1.07753,0.67194,1.03882,0.00934,0.00934,0.00934
12,3383.32,1.05622,0.68119,1.04342,0.73235,0.46945,0.52666,0.34466,1.06628,0.66602,1.03157,0.009274,0.009274,0.009274
13,3664.51,1.05223,0.6752,1.04022,0.74884,0.47375,0.53191,0.34694,1.06486,0.65591,1.03381,0.009208,0.009208,0.009208
14,3945.57,1.04458,0.66494,1.03789,0.7393,0.47948,0.53497,0.34962,1.06031,0.64996,1.0302,0.009142,0.009142,0.009142
15,4226.14,1.04189,0.65923,1.03796,0.74244,0.4832,0.54177,0.35388,1.05843,0.63875,1.02986,0.009076,0.009076,0.009076
16,4506.95,1.03406,0.65195,1.03113,0.74607,0.48902,0.54416,0.3571,1.05231,0.63791,1.02676,0.00901,0.00901,0.00901
17,4787.9,1.02863,0.64653,1.03074,0.76099,0.48893,0.54825,0.35953,1.04526,0.62954,1.02557,0.008944,0.008944,0.008944
18,5068.49,1.02549,0.64154,1.0278,0.75565,0.49485,0.5546,0.36431,1.04167,0.61906,1.02246,0.008878,0.008878,0.008878
19,5349.45,1.02081,0.63647,1.02319,0.76514,0.49373,0.55436,0.36525,1.03986,0.61738,1.02074,0.008812,0.008812,0.008812
20,5629.91,1.01479,0.62838,1.02157,0.76359,0.50355,0.56011,0.36895,1.0342,0.61127,1.01784,0.008746,0.008746,0.008746
21,5909.9,1.00999,0.62519,1.01803,0.76501,0.50196,0.56178,0.37084,1.03304,0.60636,1.01556,0.00868,0.00868,0.00868
