Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,9402,2372,599,74444,0.801,0.514,0.6262,0.9658,0.0309,0.0599,0.599,0.354
rider,13316,2638,653,70210,0.843,0.542,0.6598,0.9621,0.0362,0.0467,0.625,0.383
car,16451,2590,697,67079,0.863,0.655,0.7447,0.9621,0.0372,0.0406,0.73,0.529
truck,4551,1771,394,80101,0.736,0.651,0.6909,0.9751,0.0216,0.0797,0.697,0.515
bus,3373,634,342,82468,0.853,0.688,0.7617,0.9888,0.0076,0.0921,0.759,0.591
motorcycle,16799,3532,261,66225,0.83,0.654,0.7316,0.9563,0.0506,0.0153,0.715,0.454
bicycle,297,141,44,86335,0.702,0.533,0.6059,0.9979,0.0016,0.129,0.528,0.325
autorickshaw,5384,988,372,80073,0.858,0.694,0.7673,0.9843,0.0122,0.0646,0.766,0.565
animal,390,164,22,86241,0.689,0.256,0.3733,0.9979,0.0019,0.0534,0.326,0.171
traffic light,296,110,14,86397,0.696,0.304,0.4232,0.9986,0.0013,0.0452,0.349,0.169
traffic sign,1610,8,11550,73649,0.668,0.367,0.4737,0.8669,0.0001,0.8777,0.417,0.239
Overall,71869,14948,14948,853222,0.7763,0.5325,0.6235,0.9687,0.0183,0.1367,0.5919,0.3905
