epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.429,1.42978,1.05881,1.14343,0.61956,0.30115,0.33282,0.19933,1.57118,1.1894,1.22137,0.0670334,0.000332996,0.000332996
2,578.499,1.46634,0.99727,1.17017,0.60571,0.35323,0.39184,0.24544,1.42592,0.98166,1.13884,0.0340334,0.000666257,0.000666257
3,861.822,1.40654,0.92505,1.14197,0.66744,0.37155,0.41418,0.25933,1.40573,0.90661,1.13334,0.001033,0.000999228,0.000999228
4,1146.19,1.36666,0.87389,1.1251,0.66019,0.39263,0.43679,0.27541,1.34908,0.8541,1.10801,0.000999023,0.000999023,0.000999023
5,1430.59,1.31442,0.81876,1.10403,0.65309,0.41593,0.45525,0.29162,1.30787,0.80352,1.09119,0.000998264,0.000998264,0.000998264
6,1714.5,1.28409,0.78734,1.091,0.69745,0.42494,0.47813,0.30622,1.29214,0.76657,1.08259,0.000997288,0.000997288,0.000997288
7,1999.43,1.26217,0.76122,1.08088,0.7036,0.43922,0.48558,0.31138,1.27455,0.75097,1.07447,0.000996097,0.000996097,0.000996097
8,2283.4,1.24268,0.74083,1.07234,0.69413,0.44886,0.49412,0.31989,1.24182,0.72682,1.06419,0.00099469,0.00099469,0.00099469
9,2567.49,1.22193,0.7226,1.06699,0.72684,0.45007,0.50634,0.32547,1.24259,0.70655,1.06185,0.000993068,0.000993068,0.000993068
10,2851.55,1.21148,0.71252,1.06191,0.71124,0.46576,0.51432,0.33116,1.22697,0.69694,1.05055,0.000991232,0.000991232,0.000991232
11,3135.43,1.20013,0.69935,1.05494,0.73469,0.46623,0.52062,0.33824,1.21665,0.68116,1.047,0.000989183,0.000989183,0.000989183
12,3419.37,1.18538,0.68697,1.04756,0.73491,0.46999,0.52643,0.34208,1.20716,0.67641,1.04478,0.000986922,0.000986922,0.000986922
13,3703.52,1.17856,0.67571,1.04521,0.73337,0.47402,0.52845,0.34372,1.19897,0.66441,1.0385,0.000984449,0.000984449,0.000984449
14,3987.3,1.16719,0.66548,1.03797,0.74584,0.47975,0.53825,0.35206,1.19013,0.65205,1.03746,0.000981765,0.000981765,0.000981765
15,4271.16,1.15956,0.65725,1.03821,0.73918,0.4834,0.54188,0.35378,1.1863,0.64529,1.03494,0.000978873,0.000978873,0.000978873
16,4554.84,1.15191,0.65061,1.03197,0.74288,0.48693,0.54392,0.35575,1.17802,0.6391,1.02893,0.000975773,0.000975773,0.000975773
17,4838.82,1.1448,0.64328,1.03148,0.75077,0.49203,0.54938,0.35952,1.17379,0.63429,1.03078,0.000972466,0.000972466,0.000972466
18,5122.6,1.13907,0.63646,1.02741,0.75866,0.49394,0.55279,0.36245,1.17121,0.62753,1.02649,0.000968955,0.000968955,0.000968955
19,5406.35,1.13168,0.63108,1.02433,0.7559,0.50121,0.55805,0.36511,1.16334,0.62271,1.02375,0.000965239,0.000965239,0.000965239
20,5689.97,1.12432,0.62283,1.02253,0.761,0.50295,0.56137,0.36874,1.16152,0.61816,1.02448,0.000961322,0.000961322,0.000961322
21,5973.57,1.11485,0.61527,1.01531,0.74652,0.5063,0.56175,0.36919,1.15825,0.61373,1.02025,0.000957205,0.000957205,0.000957205
22,6257.19,1.11004,0.6088,1.01423,0.74977,0.50857,0.56473,0.37159,1.15463,0.61061,1.01915,0.000952889,0.000952889,0.000952889
23,6540.79,1.10418,0.60412,1.01162,0.75752,0.50769,0.56794,0.37295,1.15398,0.60598,1.01868,0.000948377,0.000948377,0.000948377
24,6824.46,1.10238,0.6026,1.01013,0.75928,0.51298,0.56975,0.37474,1.15106,0.60294,1.01844,0.000943671,0.000943671,0.000943671
25,7108.5,1.09586,0.59746,1.00731,0.76057,0.51453,0.57081,0.37532,1.15013,0.60167,1.01738,0.000938772,0.000938772,0.000938772
26,7392.32,1.08843,0.58936,1.00419,0.76148,0.51354,0.57265,0.37658,1.14937,0.59873,1.01621,0.000933683,0.000933683,0.000933683
27,7676.42,1.08782,0.5867,1.00367,0.76191,0.51541,0.57345,0.37751,1.14815,0.59699,1.01695,0.000928405,0.000928405,0.000928405
28,7960.2,1.07823,0.57897,1.00119,0.76268,0.51727,0.57399,0.37847,1.14791,0.59488,1.01689,0.000922942,0.000922942,0.000922942
29,8244.08,1.07859,0.57683,1.00215,0.76517,0.51661,0.57493,0.37922,1.14619,0.59226,1.01643,0.000917296,0.000917296,0.000917296
