epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.863,1.24246,1.02927,1.04954,0.66594,0.42647,0.47244,0.30759,1.24828,0.77122,1.03248,0.00332996,0.00332996,0.00332996
2,578.966,1.25578,0.78835,1.05958,0.67514,0.40383,0.44991,0.29079,1.29793,0.82285,1.05688,0.00661931,0.00661931,0.00661931
3,864.78,1.35468,0.87106,1.09897,0.59122,0.35734,0.38385,0.23601,1.4584,1.08544,1.14818,0.00986467,0.00986467,0.00986467
4,1149.31,1.41029,0.91768,1.1263,0.70015,0.36689,0.41817,0.26416,1.37192,0.9003,1.10238,0.009802,0.009802,0.009802
5,1434.14,1.34529,0.84636,1.10483,0.64917,0.39846,0.44205,0.28068,1.33016,0.83978,1.08693,0.009736,0.009736,0.009736
6,1718.66,1.30448,0.80364,1.08867,0.68171,0.41875,0.46821,0.30055,1.29853,0.78091,1.07865,0.00967,0.00967,0.00967
7,2003.05,1.27531,0.77217,1.0771,0.69676,0.42455,0.47736,0.30715,1.27543,0.75249,1.0667,0.009604,0.009604,0.009604
8,2287.32,1.25154,0.74837,1.06805,0.69757,0.44917,0.499,0.31941,1.25717,0.72994,1.06049,0.009538,0.009538,0.009538
9,2571.77,1.23252,0.72855,1.0616,0.71716,0.45073,0.50716,0.32612,1.242,0.71392,1.04779,0.009472,0.009472,0.009472
10,2856.42,1.21795,0.71603,1.05462,0.71841,0.4577,0.51099,0.3305,1.22978,0.69826,1.043,0.009406,0.009406,0.009406
11,3140.73,1.20755,0.70319,1.05074,0.72422,0.47086,0.52277,0.33906,1.21547,0.68281,1.04366,0.00934,0.00934,0.00934
12,3424.31,1.19208,0.68882,1.04294,0.73559,0.47654,0.53289,0.34572,1.20308,0.66608,1.03049,0.009274,0.009274,0.009274
13,3708.28,1.18472,0.68078,1.03789,0.75157,0.48058,0.53654,0.34897,1.19365,0.65615,1.02768,0.009208,0.009208,0.009208
14,3992.47,1.17625,0.67121,1.03571,0.74426,0.48129,0.5409,0.35256,1.19001,0.64842,1.02917,0.009142,0.009142,0.009142
15,4276.58,1.16941,0.66436,1.03583,0.75573,0.48356,0.5433,0.3553,1.18485,0.64023,1.02767,0.009076,0.009076,0.009076
16,4560.54,1.16205,0.65835,1.03235,0.75334,0.4887,0.54866,0.35884,1.17629,0.63687,1.02751,0.00901,0.00901,0.00901
17,4844.38,1.15513,0.65194,1.02972,0.75239,0.49861,0.55611,0.36362,1.17122,0.62607,1.02228,0.008944,0.008944,0.008944
18,5128.02,1.15185,0.64764,1.02657,0.75982,0.49483,0.5582,0.36502,1.16633,0.62175,1.0209,0.008878,0.008878,0.008878
19,5411.95,1.14482,0.64268,1.02285,0.74853,0.50195,0.55842,0.36619,1.16312,0.62004,1.01653,0.008812,0.008812,0.008812
20,5695.84,1.13843,0.63356,1.02078,0.76301,0.50314,0.56252,0.36979,1.15812,0.61335,1.01571,0.008746,0.008746,0.008746
21,5979.63,1.13093,0.63059,1.01785,0.75683,0.50716,0.56388,0.37069,1.15842,0.61118,1.01568,0.00868,0.00868,0.00868
22,6263.6,1.12911,0.62463,1.01773,0.75555,0.50838,0.56649,0.37167,1.15585,0.60833,1.01584,0.008614,0.008614,0.008614
23,6547.58,1.12323,0.61979,1.01528,0.77846,0.50297,0.56803,0.37345,1.15124,0.60318,1.01393,0.008548,0.008548,0.008548
24,6831.47,1.12152,0.61836,1.0118,0.77213,0.50985,0.57188,0.37465,1.15179,0.60039,1.01258,0.008482,0.008482,0.008482
25,7115.24,1.11608,0.61368,1.01158,0.76084,0.51344,0.5716,0.37534,1.14892,0.59855,1.01213,0.008416,0.008416,0.008416
26,7399.19,1.11109,0.61095,1.00965,0.75925,0.51722,0.57318,0.37715,1.14813,0.59695,1.01124,0.00835,0.00835,0.00835
27,7683.08,1.11034,0.60751,1.00863,0.76584,0.51786,0.5744,0.37826,1.14595,0.59481,1.01178,0.008284,0.008284,0.008284
28,7966.79,1.10548,0.6033,1.00919,0.76752,0.51742,0.57675,0.3799,1.14438,0.59249,1.01112,0.008218,0.008218,0.008218
29,8250.3,1.10374,0.60111,1.007,0.7719,0.51768,0.57766,0.38045,1.14354,0.59162,1.01045,0.008152,0.008152,0.008152
30,8534,1.10415,0.59774,1.00409,0.77399,0.5191,0.57899,0.38146,1.14253,0.59003,1.00933,0.008086,0.008086,0.008086
31,8817.8,1.09644,0.59544,1.00145,0.77254,0.51908,0.57982,0.38208,1.14136,0.58786,1.00832,0.00802,0.00802,0.00802
32,9101.13,1.09334,0.59566,1.00224,0.76577,0.52285,0.58048,0.38278,1.14167,0.5867,1.00895,0.007954,0.007954,0.007954
33,9384.56,1.09293,0.59162,1.00209,0.76664,0.52267,0.58128,0.38276,1.14154,0.58545,1.00955,0.007888,0.007888,0.007888
34,9667.72,1.08938,0.58866,0.99926,0.76756,0.52319,0.5813,0.38279,1.1405,0.58454,1.00928,0.007822,0.007822,0.007822
35,9951.32,1.08504,0.58596,0.99831,0.76512,0.52349,0.5819,0.38324,1.14037,0.58439,1.0094,0.007756,0.007756,0.007756
36,10234.9,1.07936,0.58059,0.9968,0.76566,0.52291,0.582,0.38324,1.14062,0.58391,1.00941,0.00769,0.00769,0.00769
37,10518.6,1.07902,0.58055,0.99583,0.76573,0.52345,0.58242,0.3834,1.13988,0.58317,1.00904,0.007624,0.007624,0.007624
38,10802.5,1.07837,0.57792,0.9946,0.76238,0.52418,0.58293,0.3838,1.13938,0.58233,1.00861,0.007558,0.007558,0.007558
39,11086.4,1.07651,0.57615,0.99301,0.76382,0.52491,0.58357,0.38397,1.13939,0.58182,1.00864,0.007492,0.007492,0.007492
40,11369.9,1.073,0.57474,0.99213,0.76489,0.52548,0.58395,0.38431,1.13879,0.58135,1.00826,0.007426,0.007426,0.007426
