Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,7023,2289,530,65790,0.725,0.396,0.5122,0.9627,0.0336,0.0702,0.463,0.257
rider,10919,3106,559,61048,0.759,0.458,0.5713,0.9515,0.0484,0.0487,0.523,0.303
car,14128,3632,652,57220,0.765,0.572,0.6546,0.9434,0.0597,0.0441,0.636,0.446
truck,3634,1567,516,69915,0.693,0.535,0.6038,0.9725,0.0219,0.1243,0.588,0.421
bus,2870,882,450,71430,0.758,0.602,0.6711,0.9824,0.0122,0.1355,0.662,0.505
motorcycle,14208,3756,227,57441,0.771,0.568,0.6541,0.9473,0.0614,0.0157,0.623,0.374
bicycle,159,136,76,75261,0.546,0.306,0.3922,0.9972,0.0018,0.3234,0.329,0.189
autorickshaw,4479,1250,388,69515,0.769,0.589,0.6671,0.9783,0.0177,0.0797,0.65,0.465
animal,221,112,15,75284,0.614,0.154,0.2462,0.9983,0.0015,0.0636,0.195,0.0946
traffic light,126,80,26,75400,0.556,0.14,0.2237,0.9986,0.0011,0.1711,0.165,0.076
traffic sign,1039,16,13387,61190,0.551,0.246,0.3401,0.8228,0.0003,0.928,0.265,0.139
Overall,58806,16826,16826,739494,0.6825,0.4151,0.5033,0.9595,0.0236,0.1822,0.4635,0.2972
