epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.175,1.43526,1.60811,1.14659,0.61161,0.23673,0.25862,0.15545,1.45867,1.51238,1.16738,0.0670668,0.000332659,0.000332659
2,202.482,1.37631,1.16936,1.13276,0.66299,0.27003,0.31085,0.18961,1.42675,1.2421,1.12491,0.0340667,0.00066592,0.00066592
3,302.269,1.3704,1.11766,1.13337,0.5184,0.266,0.28341,0.17249,1.43378,1.27464,1.15633,0.00106637,0.000998891,0.000998891
4,402.153,1.35005,1.07097,1.12429,0.6201,0.29504,0.3289,0.20259,1.36421,1.09837,1.10274,0.000999023,0.000999023,0.000999023
5,502.458,1.31565,1.01825,1.10866,0.60544,0.31678,0.35073,0.21614,1.33929,1.04474,1.09071,0.000998264,0.000998264,0.000998264
6,601.836,1.29781,0.98751,1.09975,0.6455,0.32135,0.3593,0.22679,1.30475,1.01118,1.0811,0.000997288,0.000997288,0.000997288
7,701.142,1.2797,0.96347,1.08945,0.63311,0.33268,0.36732,0.23132,1.28997,0.97468,1.06278,0.000996097,0.000996097,0.000996097
8,800.365,1.26985,0.94447,1.08564,0.61238,0.34252,0.38268,0.24099,1.26707,0.94447,1.05205,0.00099469,0.00099469,0.00099469
9,899.635,1.25949,0.92959,1.0808,0.65657,0.34124,0.38452,0.24464,1.255,0.91586,1.05086,0.000993068,0.000993068,0.000993068
10,998.049,1.24535,0.91151,1.07442,0.64372,0.34702,0.39087,0.24749,1.25203,0.9163,1.04488,0.000991232,0.000991232,0.000991232
11,1096.41,1.24083,0.90652,1.07334,0.65554,0.34656,0.38922,0.24797,1.24135,0.90156,1.04626,0.000989183,0.000989183,0.000989183
12,1194.04,1.23174,0.89399,1.06996,0.63939,0.35971,0.40268,0.25562,1.23319,0.88701,1.03702,0.000986922,0.000986922,0.000986922
13,1291.7,1.22671,0.88583,1.06553,0.66444,0.36058,0.40862,0.26136,1.21944,0.86124,1.03184,0.000984449,0.000984449,0.000984449
14,1389.57,1.22067,0.87724,1.0637,0.67007,0.36654,0.40932,0.26106,1.22083,0.85426,1.03003,0.000981765,0.000981765,0.000981765
15,1488.33,1.21667,0.87006,1.0592,0.67654,0.3679,0.41584,0.26415,1.20965,0.84257,1.02575,0.000978873,0.000978873,0.000978873
16,1586.27,1.21328,0.86521,1.05668,0.67207,0.37055,0.41948,0.26851,1.20048,0.83236,1.02028,0.000975773,0.000975773,0.000975773
17,1684.51,1.20565,0.8545,1.05429,0.67689,0.3755,0.42101,0.26922,1.1987,0.82604,1.0186,0.000972466,0.000972466,0.000972466
18,1782.66,1.20514,0.8531,1.05164,0.66179,0.37808,0.42506,0.27216,1.1939,0.81609,1.0151,0.000968955,0.000968955,0.000968955
19,1880.58,1.19826,0.84167,1.05041,0.65071,0.38264,0.42772,0.27395,1.18929,0.80714,1.0117,0.000965239,0.000965239,0.000965239
20,1978.39,1.1945,0.8389,1.04748,0.6557,0.38901,0.43132,0.27616,1.18696,0.80154,1.01286,0.000961322,0.000961322,0.000961322
21,2076.21,1.1919,0.83551,1.04694,0.67782,0.38241,0.4327,0.27777,1.18103,0.79639,1.01054,0.000957205,0.000957205,0.000957205
22,2173.97,1.18495,0.8271,1.04438,0.67786,0.38551,0.43347,0.27848,1.18051,0.7915,1.01045,0.000952889,0.000952889,0.000952889
23,2272.04,1.18214,0.82385,1.04223,0.66415,0.39015,0.43563,0.28001,1.17749,0.78812,1.0093,0.000948377,0.000948377,0.000948377
24,2369.79,1.18262,0.8227,1.04253,0.67165,0.3881,0.43896,0.28139,1.17506,0.78337,1.00769,0.000943671,0.000943671,0.000943671
25,2467.46,1.18004,0.81815,1.03943,0.66928,0.38825,0.43733,0.28039,1.17524,0.78388,1.00684,0.000938772,0.000938772,0.000938772
26,2565.23,1.17533,0.81396,1.03873,0.66957,0.39096,0.43921,0.28186,1.17318,0.78093,1.00678,0.000933683,0.000933683,0.000933683
27,2662.95,1.16972,0.80696,1.0365,0.66703,0.39419,0.44078,0.28306,1.17219,0.77792,1.00565,0.000928405,0.000928405,0.000928405
28,2760.74,1.17249,0.80685,1.03538,0.6695,0.3959,0.44178,0.28389,1.17029,0.7751,1.00456,0.000922942,0.000922942,0.000922942
