Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,6609,1590,438,60175,0.711,0.4,0.512,0.9705,0.0257,0.0622,0.465,0.258
rider,10599,2300,511,55402,0.736,0.464,0.5692,0.9591,0.0399,0.046,0.527,0.305
car,13723,2449,600,52040,0.753,0.579,0.6546,0.9557,0.0449,0.0419,0.641,0.45
truck,3504,1101,402,63805,0.701,0.538,0.6088,0.9782,0.017,0.1029,0.593,0.425
bus,2771,570,374,65097,0.781,0.601,0.6793,0.9863,0.0087,0.1189,0.667,0.51
motorcycle,13940,2958,191,51723,0.74,0.577,0.6484,0.9542,0.0541,0.0135,0.627,0.377
bicycle,139,96,69,68508,0.577,0.299,0.3939,0.9976,0.0014,0.3317,0.33,0.194
autorickshaw,4367,873,320,63252,0.753,0.591,0.6622,0.9827,0.0136,0.0683,0.653,0.469
animal,177,57,12,68566,0.649,0.145,0.237,0.999,0.0008,0.0635,0.189,0.093
traffic light,101,21,16,68674,0.728,0.132,0.2235,0.9995,0.0003,0.1368,0.196,0.0937
traffic sign,862,5,9087,58858,0.613,0.23,0.3345,0.8679,0.0001,0.9134,0.272,0.142
Overall,56792,12020,12020,676100,0.7038,0.4142,0.5021,0.9682,0.0188,0.1726,0.4691,0.3015
