epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.592,1.42277,2.07426,1.13786,0.53909,0.26075,0.28895,0.18514,1.35036,1.30453,1.06141,0.00332659,0.00332659,0.00332659
2,206.547,1.36495,1.33825,1.11615,0.51826,0.28157,0.2951,0.17892,1.40524,1.29545,1.11254,0.00661596,0.00661596,0.00661596
3,306.83,1.41054,1.28082,1.14191,0.51472,0.18693,0.19859,0.11434,1.60447,1.89549,1.26986,0.00986134,0.00986134,0.00986134
4,405.021,1.42512,1.2117,1.15324,0.5402,0.2744,0.30488,0.18638,1.40497,1.21322,1.12311,0.009802,0.009802,0.009802
5,503.426,1.3721,1.10928,1.13132,0.55355,0.30492,0.3288,0.20287,1.36116,1.12033,1.11005,0.009736,0.009736,0.009736
6,601.495,1.34214,1.05334,1.11746,0.57476,0.31554,0.34419,0.21444,1.3389,1.05388,1.08841,0.00967,0.00967,0.00967
7,699.386,1.31821,1.01639,1.10386,0.65467,0.29649,0.33601,0.21115,1.33347,1.09733,1.08751,0.009604,0.009604,0.009604
8,797.505,1.30394,0.99034,1.09855,0.62078,0.32024,0.36429,0.22675,1.30254,0.99197,1.06958,0.009538,0.009538,0.009538
9,895.332,1.29003,0.97134,1.09163,0.6265,0.3418,0.38285,0.2417,1.27699,0.94008,1.0519,0.009472,0.009472,0.009472
10,992.791,1.27465,0.95137,1.08442,0.6353,0.33944,0.38276,0.24079,1.27437,0.94906,1.05348,0.009406,0.009406,0.009406
11,1090.29,1.26934,0.94255,1.08372,0.62965,0.34217,0.38316,0.24249,1.25673,0.92873,1.05011,0.00934,0.00934,0.00934
12,1187.54,1.26075,0.92863,1.07975,0.63587,0.34841,0.3917,0.24785,1.24716,0.91288,1.0432,0.009274,0.009274,0.009274
13,1285.33,1.25542,0.92065,1.07531,0.65154,0.35909,0.40193,0.25439,1.23529,0.88976,1.03892,0.009208,0.009208,0.009208
14,1382.53,1.24863,0.91175,1.07355,0.66866,0.36079,0.40829,0.2609,1.22495,0.86338,1.03415,0.009142,0.009142,0.009142
15,1479.69,1.24315,0.90322,1.06902,0.67479,0.36244,0.41235,0.26238,1.21975,0.85287,1.0266,0.009076,0.009076,0.009076
16,1576.76,1.23925,0.89934,1.06619,0.6608,0.37128,0.4179,0.26675,1.21275,0.84287,1.02289,0.00901,0.00901,0.00901
17,1674.73,1.23335,0.88844,1.06575,0.65361,0.37743,0.42032,0.26737,1.20478,0.83279,1.02346,0.008944,0.008944,0.008944
18,1772.17,1.23398,0.88723,1.06234,0.66293,0.38107,0.42642,0.27248,1.19913,0.82774,1.01693,0.008878,0.008878,0.008878
19,1869.24,1.22553,0.87687,1.061,0.67752,0.38035,0.42837,0.27377,1.19823,0.81803,1.0166,0.008812,0.008812,0.008812
20,1967.35,1.2228,0.87467,1.05854,0.67685,0.37967,0.42951,0.27561,1.19356,0.81213,1.01456,0.008746,0.008746,0.008746
21,2065.65,1.22149,0.87193,1.05878,0.66069,0.38037,0.42961,0.2757,1.19096,0.81043,1.01499,0.00868,0.00868,0.00868
22,2163.1,1.21568,0.86375,1.05578,0.67888,0.38276,0.43364,0.27826,1.18795,0.80076,1.01102,0.008614,0.008614,0.008614
23,2260.62,1.21198,0.86079,1.05441,0.67026,0.3856,0.43585,0.27922,1.18467,0.79651,1.0103,0.008548,0.008548,0.008548
24,2358.16,1.21352,0.86215,1.05508,0.67318,0.38776,0.43827,0.28084,1.18365,0.79372,1.00913,0.008482,0.008482,0.008482
25,2455.82,1.21094,0.85619,1.05257,0.65751,0.39625,0.43901,0.28159,1.18067,0.79115,1.00874,0.008416,0.008416,0.008416
26,2553.27,1.20718,0.85309,1.05093,0.66451,0.39044,0.43915,0.28213,1.17852,0.78873,1.00829,0.00835,0.00835,0.00835
27,2650.9,1.20043,0.84489,1.04846,0.66203,0.39322,0.44085,0.28276,1.17869,0.78653,1.00818,0.008284,0.008284,0.008284
28,2748.64,1.20305,0.84611,1.0482,0.66422,0.39716,0.44305,0.28397,1.17742,0.7838,1.00735,0.008218,0.008218,0.008218
29,2845.95,1.20067,0.84259,1.04745,0.66753,0.39873,0.44426,0.28492,1.17521,0.78088,1.00601,0.008152,0.008152,0.008152
30,2943.54,1.19799,0.84003,1.04777,0.67374,0.39698,0.44439,0.28509,1.17404,0.77853,1.00555,0.008086,0.008086,0.008086
31,3040.83,1.19501,0.83784,1.0442,0.67309,0.39779,0.44509,0.28594,1.1729,0.77711,1.00494,0.00802,0.00802,0.00802
32,3138.26,1.19075,0.83411,1.0451,0.66313,0.4012,0.44614,0.28666,1.17237,0.77582,1.00471,0.007954,0.007954,0.007954
33,3235.48,1.19368,0.83297,1.04376,0.67259,0.39905,0.44667,0.2868,1.17132,0.77466,1.0039,0.007888,0.007888,0.007888
34,3333.14,1.19149,0.83165,1.04209,0.66719,0.40092,0.447,0.28721,1.17049,0.77323,1.0035,0.007822,0.007822,0.007822
35,3430.61,1.18943,0.82933,1.04237,0.66453,0.40288,0.4476,0.2876,1.16988,0.77215,1.00331,0.007756,0.007756,0.007756
36,3528.47,1.18952,0.82781,1.04258,0.6662,0.4026,0.44777,0.28776,1.1696,0.77157,1.0031,0.00769,0.00769,0.00769
37,3625.98,1.18539,0.82542,1.04,0.67171,0.40235,0.44843,0.28796,1.16922,0.77055,1.00297,0.007624,0.007624,0.007624
38,3723.6,1.1864,0.82385,1.04177,0.6696,0.40252,0.44893,0.28845,1.16862,0.76966,1.00258,0.007558,0.007558,0.007558
39,3820.96,1.1841,0.82227,1.04014,0.6768,0.4002,0.44907,0.28864,1.16824,0.76917,1.00226,0.007492,0.007492,0.007492
40,3918.17,1.18136,0.82,1.03828,0.67965,0.39978,0.44986,0.28876,1.16772,0.76833,1.00189,0.007426,0.007426,0.007426
41,4015.42,1.18071,0.81842,1.03765,0.67747,0.40103,0.45003,0.28895,1.1673,0.76766,1.00158,0.00736,0.00736,0.00736
42,4112.9,1.18115,0.81717,1.03755,0.68002,0.40189,0.45067,0.28923,1.16694,0.76704,1.0014,0.007294,0.007294,0.007294
43,4210.4,1.17801,0.81447,1.0362,0.67439,0.40467,0.45099,0.28956,1.16662,0.76661,1.00114,0.007228,0.007228,0.007228
44,4307.82,1.17836,0.81143,1.03572,0.67256,0.40575,0.45116,0.2897,1.16626,0.76591,1.0008,0.007162,0.007162,0.007162
