Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,6991,2458,536,65887,0.716,0.394,0.5083,0.9605,0.036,0.0712,0.463,0.255
rider,10906,3081,589,61296,0.762,0.455,0.5698,0.9516,0.0479,0.0512,0.525,0.303
car,14109,3702,658,57403,0.766,0.571,0.6543,0.9425,0.0606,0.0446,0.635,0.445
truck,3658,1623,485,70106,0.689,0.536,0.6029,0.9722,0.0226,0.1171,0.587,0.42
bus,2846,941,464,71621,0.756,0.604,0.6715,0.9815,0.013,0.1402,0.661,0.504
motorcycle,14190,3746,233,57703,0.772,0.565,0.6525,0.9476,0.061,0.0162,0.625,0.374
bicycle,140,132,78,75522,0.548,0.283,0.3732,0.9972,0.0017,0.3578,0.309,0.184
autorickshaw,4516,1332,381,69643,0.759,0.591,0.6645,0.9774,0.0188,0.0778,0.652,0.465
animal,208,85,16,75563,0.646,0.141,0.2315,0.9987,0.0011,0.0714,0.185,0.091
traffic light,100,64,19,75689,0.553,0.109,0.1821,0.9989,0.0008,0.1597,0.141,0.0705
traffic sign,1034,10,13715,61113,0.582,0.244,0.3438,0.8191,0.0002,0.9299,0.263,0.135
Overall,58698,17174,17174,741546,0.6863,0.4085,0.4959,0.9588,0.024,0.1852,0.4587,0.2951
