epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.328,1.68038,1.6347,1.14226,0.48583,0.23502,0.2514,0.15344,1.72959,1.43931,1.17211,0.0670668,0.000332659,0.000332659
2,197.806,1.60277,1.18553,1.13188,0.6388,0.25528,0.2918,0.17504,1.70967,1.38905,1.14746,0.0340667,0.00066592,0.00066592
3,296.151,1.58909,1.12807,1.13136,0.56958,0.27761,0.30267,0.18157,1.62678,1.23427,1.12481,0.00106637,0.000998891,0.000998891
4,393.849,1.56172,1.08042,1.12257,0.59576,0.29203,0.32454,0.19864,1.60482,1.13604,1.11542,0.000999023,0.000999023,0.000999023
5,492.551,1.51928,1.03095,1.10754,0.59538,0.31738,0.3518,0.21617,1.5366,1.06074,1.08779,0.000998264,0.000998264,0.000998264
6,590.631,1.49577,0.99828,1.09884,0.61932,0.32984,0.36898,0.23119,1.48572,0.98353,1.07294,0.000997288,0.000997288,0.000997288
7,688.838,1.47191,0.97214,1.08825,0.64489,0.31693,0.36341,0.22741,1.49449,0.99657,1.06866,0.000996097,0.000996097,0.000996097
8,786.791,1.4588,0.95497,1.0836,0.60365,0.33583,0.37412,0.23653,1.45154,0.94719,1.05144,0.00099469,0.00099469,0.00099469
9,885.242,1.44553,0.93961,1.07853,0.64457,0.34053,0.38377,0.24307,1.44399,0.9323,1.04826,0.000993068,0.000993068,0.000993068
10,983.598,1.42948,0.92115,1.07288,0.62384,0.35092,0.39066,0.24649,1.43738,0.90764,1.04428,0.000991232,0.000991232,0.000991232
11,1081.84,1.4219,0.91717,1.07167,0.63234,0.34878,0.38798,0.24683,1.41609,0.90349,1.04575,0.000989183,0.000989183,0.000989183
12,1180,1.41006,0.90265,1.0666,0.63807,0.35817,0.40305,0.25497,1.3965,0.8864,1.03341,0.000986922,0.000986922,0.000986922
13,1277.85,1.40511,0.89468,1.06322,0.65457,0.36173,0.40684,0.25825,1.39791,0.87037,1.03483,0.000984449,0.000984449,0.000984449
14,1376.07,1.39563,0.8854,1.06078,0.64465,0.37069,0.41147,0.26214,1.38052,0.84954,1.02762,0.000981765,0.000981765,0.000981765
15,1474.69,1.39017,0.87706,1.05711,0.6667,0.36724,0.41738,0.26484,1.37881,0.84874,1.02499,0.000978873,0.000978873,0.000978873
16,1573,1.38543,0.87288,1.05434,0.66046,0.37551,0.42106,0.26727,1.37161,0.8386,1.02159,0.000975773,0.000975773,0.000975773
17,1671.13,1.37977,0.86434,1.0526,0.65629,0.37653,0.42195,0.26814,1.36289,0.83467,1.01755,0.000972466,0.000972466,0.000972466
