Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,6576,1598,402,60256,0.723,0.395,0.5109,0.9709,0.0258,0.0576,0.466,0.258
rider,10565,2309,506,55452,0.745,0.464,0.5718,0.9591,0.04,0.0457,0.531,0.307
car,13733,2409,563,52127,0.762,0.577,0.6567,0.9568,0.0442,0.0394,0.643,0.45
truck,3467,1160,365,63840,0.692,0.528,0.599,0.9778,0.0178,0.0953,0.588,0.421
bus,2773,562,387,65110,0.789,0.6,0.6816,0.9862,0.0086,0.1225,0.671,0.513
motorcycle,13974,2941,169,51748,0.75,0.578,0.6529,0.9548,0.0538,0.0119,0.627,0.377
bicycle,135,110,78,68509,0.509,0.278,0.3596,0.9973,0.0016,0.3662,0.31,0.184
autorickshaw,4375,873,320,63264,0.769,0.591,0.6684,0.9827,0.0136,0.0682,0.656,0.469
animal,195,83,15,68539,0.605,0.147,0.2365,0.9986,0.0012,0.0714,0.186,0.0899
traffic light,79,19,11,68723,0.714,0.106,0.1846,0.9996,0.0003,0.1222,0.159,0.0757
traffic sign,890,6,9254,58682,0.601,0.232,0.3348,0.8655,0.0001,0.9123,0.267,0.14
Overall,56762,12070,12070,676250,0.6963,0.4087,0.4961,0.9681,0.0188,0.1739,0.464,0.2986
