epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.282,1.66245,2.01678,1.13695,0.54301,0.26132,0.29054,0.18571,1.58191,1.33634,1.07127,0.00332996,0.00332996,0.00332996
2,274.624,1.59306,1.34618,1.12025,0.55483,0.27812,0.30608,0.18891,1.60559,1.25607,1.09346,0.00661931,0.00661931,0.00661931
3,408.528,1.64172,1.29805,1.14033,0.53663,0.25894,0.28094,0.165,1.72608,1.37795,1.15193,0.00986467,0.00986467,0.00986467
4,544.67,1.66027,1.23388,1.15223,0.60061,0.28644,0.31896,0.19511,1.60492,1.18029,1.11343,0.009802,0.009802,0.009802
5,680.166,1.59455,1.13102,1.13035,0.555,0.30857,0.33722,0.20927,1.56385,1.11226,1.09868,0.009736,0.009736,0.009736
6,814.591,1.55649,1.07992,1.11798,0.59025,0.32373,0.35106,0.21991,1.51683,1.04264,1.07028,0.00967,0.00967,0.00967
7,948.797,1.52924,1.04184,1.1072,0.59494,0.32528,0.35857,0.22397,1.48832,1.00518,1.06111,0.009604,0.009604,0.009604
8,1083.54,1.50688,1.01283,1.0995,0.59792,0.33262,0.37085,0.23333,1.47245,0.97627,1.05826,0.009538,0.009538,0.009538
9,1218.12,1.48719,0.99218,1.09371,0.63258,0.34359,0.38256,0.2406,1.45593,0.95427,1.05046,0.009472,0.009472,0.009472
10,1352.42,1.47442,0.97709,1.08826,0.63672,0.34901,0.39078,0.24647,1.43036,0.92979,1.04234,0.009406,0.009406,0.009406
11,1486.57,1.46495,0.9634,1.08437,0.65353,0.35267,0.39673,0.25082,1.42734,0.90898,1.03563,0.00934,0.00934,0.00934
12,1621.15,1.45165,0.94856,1.07856,0.64129,0.35566,0.39976,0.25432,1.40854,0.89288,1.02868,0.009274,0.009274,0.009274
13,1755.47,1.44563,0.93998,1.0754,0.65249,0.35627,0.40487,0.25784,1.40271,0.88445,1.02859,0.009208,0.009208,0.009208
14,1890.53,1.43947,0.93173,1.07257,0.6446,0.36645,0.41249,0.26239,1.39144,0.87054,1.02381,0.009142,0.009142,0.009142
15,2025.62,1.43419,0.92396,1.07233,0.66117,0.36405,0.41109,0.26272,1.38272,0.86111,1.02368,0.009076,0.009076,0.009076
16,2160.34,1.42736,0.91789,1.06892,0.68784,0.36347,0.41602,0.26574,1.37368,0.85234,1.01932,0.00901,0.00901,0.00901
17,2294.18,1.42057,0.91057,1.0675,0.68539,0.3681,0.42115,0.2682,1.36758,0.84435,1.01616,0.008944,0.008944,0.008944
18,2428.52,1.41786,0.90615,1.06448,0.66435,0.37326,0.42384,0.27008,1.3657,0.83923,1.01613,0.008878,0.008878,0.008878
19,2562.35,1.41085,0.89988,1.06302,0.67065,0.37537,0.42538,0.27198,1.35938,0.83059,1.01226,0.008812,0.008812,0.008812
20,2697.43,1.40449,0.89244,1.06017,0.67446,0.3781,0.42772,0.27355,1.35134,0.82738,1.00859,0.008746,0.008746,0.008746
21,2832.57,1.39937,0.88954,1.05797,0.68001,0.37883,0.4293,0.27446,1.35297,0.82474,1.00977,0.00868,0.00868,0.00868
22,2967.26,1.39503,0.8839,1.05603,0.67586,0.37946,0.42985,0.27539,1.35094,0.8185,1.00887,0.008614,0.008614,0.008614
23,3101.28,1.39209,0.87976,1.05592,0.67516,0.38279,0.43211,0.27634,1.34784,0.81172,1.00791,0.008548,0.008548,0.008548
