Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
person,9426,2260,656,74332,0.793,0.522,0.6296,0.9664,0.0295,0.0651,0.603,0.355
rider,13524,2559,604,69987,0.832,0.556,0.6666,0.9635,0.0353,0.0428,0.63,0.387
car,16557,2439,685,66993,0.858,0.664,0.7486,0.964,0.0351,0.0397,0.735,0.531
truck,4529,1513,427,80205,0.752,0.651,0.6979,0.9776,0.0185,0.0862,0.701,0.52
bus,3418,732,339,82185,0.828,0.706,0.7621,0.9876,0.0088,0.0902,0.769,0.599
motorcycle,17000,3476,194,66004,0.82,0.668,0.7362,0.9577,0.05,0.0113,0.719,0.457
bicycle,279,100,64,86231,0.749,0.508,0.6054,0.9981,0.0012,0.1866,0.546,0.337
autorickshaw,5425,919,349,79981,0.85,0.702,0.7689,0.9854,0.0114,0.0604,0.769,0.566
animal,379,161,15,86119,0.666,0.256,0.3698,0.998,0.0019,0.0381,0.322,0.172
traffic light,298,90,14,86272,0.72,0.312,0.4353,0.9988,0.001,0.0449,0.363,0.175
traffic sign,1577,13,10915,74169,0.661,0.368,0.4728,0.8739,0.0002,0.8738,0.416,0.238
Overall,72412,14262,14262,852478,0.7754,0.5375,0.6267,0.9701,0.0175,0.1399,0.5975,0.3943
