epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.599,0.56351,0.33723,0.86064,0.91844,0.87892,0.92809,0.7425,0.69659,0.37288,0.87966,0.00331551,0.00331551,0.00331551
2,320.121,0.60002,0.36809,0.87118,0.92206,0.85143,0.91634,0.72174,0.73809,0.41589,0.89739,0.00662251,0.00662251,0.00662251
3,477.781,0.64888,0.39216,0.88145,0.86648,0.87972,0.89865,0.69437,0.7886,0.4425,0.91201,0.00990312,0.00990312,0.00990312
4,635.56,0.69167,0.41456,0.89393,0.90217,0.85732,0.90887,0.68928,0.78588,0.42958,0.91075,0.0098812,0.0098812,0.0098812
5,793.262,0.68545,0.4141,0.89397,0.90242,0.84324,0.89886,0.70286,0.78121,0.43207,0.90805,0.0098416,0.0098416,0.0098416
6,951.034,0.68849,0.41279,0.89694,0.91522,0.85375,0.9093,0.70219,0.76693,0.4316,0.90883,0.009802,0.009802,0.009802
7,1109.32,0.68656,0.41227,0.89686,0.92395,0.82494,0.89711,0.69679,0.75488,0.41815,0.90181,0.0097624,0.0097624,0.0097624
8,1267.18,0.68142,0.41091,0.89514,0.87466,0.85912,0.90281,0.69295,0.76945,0.42561,0.90639,0.0097228,0.0097228,0.0097228
9,1425.21,0.68438,0.41066,0.89524,0.88725,0.86115,0.89437,0.69136,0.7583,0.41912,0.90617,0.0096832,0.0096832,0.0096832
10,1582.89,0.68445,0.413,0.89485,0.88941,0.86019,0.90943,0.70596,0.73839,0.41544,0.89769,0.0096436,0.0096436,0.0096436
11,1740.5,0.68179,0.40889,0.89369,0.91023,0.86159,0.92326,0.71599,0.7612,0.41745,0.90884,0.009604,0.009604,0.009604
12,1897.98,0.68303,0.40941,0.896,0.90108,0.86151,0.90811,0.70432,0.73866,0.41638,0.89801,0.0095644,0.0095644,0.0095644
13,2055.53,0.68388,0.41214,0.89611,0.91773,0.8257,0.88505,0.68228,0.7762,0.43135,0.90891,0.0095248,0.0095248,0.0095248
14,2212.66,0.68186,0.41222,0.89443,0.88389,0.84769,0.90491,0.70017,0.76341,0.42044,0.90543,0.0094852,0.0094852,0.0094852
15,2370.02,0.67587,0.40327,0.89333,0.91456,0.85469,0.90035,0.69793,0.76896,0.41697,0.90581,0.0094456,0.0094456,0.0094456
16,2527.71,0.67928,0.40591,0.89425,0.90316,0.85764,0.90732,0.70539,0.75393,0.41734,0.9018,0.009406,0.009406,0.009406
17,2685.31,0.67489,0.40355,0.89321,0.92342,0.84945,0.91563,0.71031,0.74988,0.41202,0.9028,0.0093664,0.0093664,0.0093664
18,2841.52,0.67751,0.40351,0.89332,0.91516,0.83933,0.89621,0.70372,0.73096,0.41543,0.89999,0.0093268,0.0093268,0.0093268
19,2998.96,0.67592,0.40701,0.89302,0.8973,0.85469,0.89556,0.68351,0.77224,0.41249,0.90503,0.0092872,0.0092872,0.0092872
20,3156.97,0.68055,0.40861,0.89581,0.91964,0.84293,0.91733,0.70786,0.73979,0.40814,0.89868,0.0092476,0.0092476,0.0092476
21,3315.07,0.67368,0.40469,0.89075,0.91366,0.83657,0.91121,0.69959,0.75415,0.41277,0.90475,0.009208,0.009208,0.009208
