epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.913,0.62295,0.37827,0.87757,0.87212,0.82548,0.86971,0.64756,0.84108,0.46302,0.93623,0.0671765,0.000331551,0.000331551
2,316.82,0.6461,0.3979,0.88988,0.89992,0.87918,0.92285,0.69619,0.78864,0.41913,0.91495,0.0341764,0.000664858,0.000664858
3,473.118,0.669,0.40956,0.89817,0.90508,0.83928,0.90641,0.69748,0.76001,0.43249,0.91175,0.00117631,0.000998061,0.000998061
4,629.758,0.69817,0.43002,0.90827,0.86364,0.85868,0.89795,0.68187,0.7694,0.45074,0.91729,0.000999648,0.000999648,0.000999648
5,786.292,0.70172,0.43135,0.90849,0.89285,0.85032,0.89353,0.67764,0.78815,0.43625,0.92195,0.000999375,0.000999375,0.000999375
6,942.736,0.7024,0.43134,0.91054,0.88268,0.8325,0.89849,0.67548,0.76295,0.4282,0.91784,0.000999023,0.000999023,0.000999023
7,1099.77,0.69987,0.43039,0.91104,0.90697,0.86548,0.90789,0.69225,0.76292,0.42425,0.91782,0.000998594,0.000998594,0.000998594
8,1256.87,0.6973,0.42762,0.91114,0.85713,0.87156,0.90918,0.69681,0.76052,0.43407,0.91949,0.000998086,0.000998086,0.000998086
9,1415.22,0.69856,0.42783,0.90979,0.9175,0.83668,0.9118,0.69156,0.77796,0.43788,0.91654,0.000997501,0.000997501,0.000997501
10,1572.02,0.69673,0.42532,0.90896,0.86881,0.86382,0.90561,0.67973,0.77968,0.43615,0.92316,0.000996838,0.000996838,0.000996838
11,1728.55,0.6929,0.42324,0.90649,0.90554,0.8561,0.91824,0.69826,0.76448,0.42489,0.91358,0.000996097,0.000996097,0.000996097
12,1885.3,0.69309,0.42236,0.90847,0.86946,0.86947,0.9079,0.68806,0.76303,0.42337,0.9129,0.000995278,0.000995278,0.000995278
13,2041.9,0.69351,0.42146,0.90836,0.88988,0.85956,0.91045,0.69158,0.7755,0.42836,0.91363,0.000994383,0.000994383,0.000994383
14,2198.53,0.68929,0.42001,0.90568,0.89945,0.86478,0.91959,0.70065,0.76029,0.4204,0.91322,0.00099341,0.00099341,0.00099341
15,2355.27,0.68265,0.41521,0.90375,0.90305,0.86053,0.91708,0.70075,0.76786,0.42215,0.91289,0.000992359,0.000992359,0.000992359
16,2512.06,0.68236,0.41457,0.90315,0.91642,0.87498,0.91857,0.70274,0.74312,0.41199,0.90372,0.000991232,0.000991232,0.000991232
17,2668.8,0.6791,0.41321,0.90199,0.87731,0.8819,0.92253,0.70744,0.74344,0.41333,0.90595,0.000990028,0.000990028,0.000990028
18,2825.65,0.67934,0.41202,0.9007,0.88018,0.86309,0.91506,0.69568,0.74193,0.41637,0.90986,0.000988748,0.000988748,0.000988748
19,2982.54,0.67856,0.4109,0.90225,0.90543,0.84174,0.91072,0.6899,0.75422,0.42169,0.90971,0.000987391,0.000987391,0.000987391
20,3139.15,0.68115,0.41335,0.90422,0.90033,0.85531,0.90047,0.6883,0.73799,0.41185,0.90291,0.000985958,0.000985958,0.000985958
21,3295.94,0.67455,0.40957,0.89881,0.87839,0.87627,0.91483,0.6979,0.73763,0.41399,0.90041,0.000984449,0.000984449,0.000984449
22,3452.78,0.6788,0.40747,0.90144,0.90092,0.86991,0.90804,0.69972,0.74868,0.41803,0.90839,0.000982864,0.000982864,0.000982864
23,3609.55,0.67423,0.40685,0.90034,0.85987,0.89191,0.90246,0.6786,0.74184,0.41482,0.90988,0.000981204,0.000981204,0.000981204
24,3766.61,0.67088,0.40659,0.89988,0.87272,0.88094,0.90787,0.70108,0.7377,0.40966,0.90395,0.000979468,0.000979468,0.000979468
25,3923.41,0.67065,0.40418,0.89813,0.87464,0.8726,0.90777,0.70237,0.72755,0.40338,0.89955,0.000977658,0.000977658,0.000977658
26,4080.29,0.67062,0.40523,0.89886,0.88892,0.86861,0.91482,0.70912,0.74311,0.40456,0.90415,0.000975773,0.000975773,0.000975773
27,4237.26,0.6643,0.39983,0.89494,0.89373,0.87331,0.90562,0.69598,0.7253,0.40699,0.90283,0.000973814,0.000973814,0.000973814
28,4394.05,0.6645,0.39996,0.89692,0.88872,0.86917,0.91078,0.69882,0.72612,0.40178,0.89969,0.00097178,0.00097178,0.00097178
29,4550.61,0.66073,0.40034,0.89619,0.90463,0.85307,0.91076,0.70194,0.74323,0.4067,0.904,0.000969673,0.000969673,0.000969673
30,4707.53,0.66385,0.40124,0.89632,0.88907,0.84982,0.89829,0.68978,0.7321,0.40519,0.89885,0.000967493,0.000967493,0.000967493
31,4864.31,0.66231,0.39976,0.89486,0.90072,0.88251,0.92135,0.71301,0.72683,0.39919,0.9014,0.000965239,0.000965239,0.000965239
32,5023.22,0.65956,0.39894,0.89431,0.90705,0.86752,0.92365,0.71886,0.72517,0.39906,0.90259,0.000962913,0.000962913,0.000962913
33,5180.39,0.65791,0.39741,0.89331,0.88051,0.87848,0.91067,0.70804,0.71968,0.3964,0.89965,0.000960515,0.000960515,0.000960515
