epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.005,0.59379,0.37696,0.87738,0.88778,0.8447,0.8872,0.66638,0.75916,0.43899,0.9254,0.0671765,0.000331551,0.000331551
2,319.003,0.61532,0.39865,0.8904,0.84394,0.88112,0.89239,0.67959,0.72864,0.41861,0.90922,0.0341764,0.000664858,0.000664858
3,476.549,0.63684,0.41271,0.89941,0.86363,0.86467,0.90156,0.68113,0.72604,0.4365,0.91504,0.00117631,0.000998061,0.000998061
4,633.711,0.66123,0.42903,0.90816,0.88116,0.8434,0.90837,0.68613,0.72551,0.43774,0.91787,0.000999648,0.000999648,0.000999648
5,790.873,0.66515,0.42691,0.90898,0.90803,0.83787,0.89988,0.67984,0.74455,0.44154,0.92035,0.000999375,0.000999375,0.000999375
6,948.8,0.66792,0.43273,0.91129,0.85544,0.85848,0.89639,0.68235,0.72044,0.43074,0.91838,0.000999023,0.000999023,0.000999023
7,1106.61,0.66186,0.43071,0.91077,0.87503,0.83857,0.9062,0.68631,0.72212,0.42654,0.92059,0.000998594,0.000998594,0.000998594
8,1264.32,0.66427,0.42583,0.91193,0.89657,0.83115,0.90433,0.68453,0.74273,0.43222,0.92086,0.000998086,0.000998086,0.000998086
9,1422.25,0.65949,0.42246,0.90898,0.86654,0.87558,0.9104,0.69485,0.73706,0.42955,0.91621,0.000997501,0.000997501,0.000997501
10,1580.13,0.66188,0.42453,0.91035,0.86098,0.84593,0.88446,0.67495,0.72311,0.42856,0.91977,0.000996838,0.000996838,0.000996838
11,1737.96,0.65874,0.42201,0.90624,0.91268,0.8382,0.90967,0.6947,0.71781,0.42777,0.91369,0.000996097,0.000996097,0.000996097
12,1895.7,0.65701,0.42301,0.90824,0.90605,0.84935,0.90395,0.681,0.73553,0.43378,0.9173,0.000995278,0.000995278,0.000995278
13,2053.47,0.6576,0.42011,0.90863,0.85195,0.87668,0.9014,0.68662,0.73792,0.4312,0.91595,0.000994383,0.000994383,0.000994383
14,2211.13,0.65502,0.42032,0.90605,0.8945,0.84429,0.90178,0.68689,0.72507,0.42398,0.91461,0.00099341,0.00099341,0.00099341
15,2369.06,0.65091,0.41362,0.9057,0.89288,0.88453,0.92556,0.70786,0.71068,0.41997,0.91102,0.000992359,0.000992359,0.000992359
16,2527.05,0.65217,0.41418,0.90481,0.88347,0.87698,0.91606,0.69312,0.71375,0.41803,0.9079,0.000991232,0.000991232,0.000991232
17,2684.83,0.64556,0.41039,0.90321,0.88816,0.83317,0.90905,0.70321,0.71224,0.41699,0.9132,0.000990028,0.000990028,0.000990028
18,2842.91,0.64698,0.41034,0.90233,0.888,0.85899,0.90412,0.69769,0.70397,0.40591,0.90612,0.000988748,0.000988748,0.000988748
19,3001.39,0.64337,0.40805,0.90212,0.89964,0.86061,0.92218,0.70365,0.72309,0.41673,0.91458,0.000987391,0.000987391,0.000987391
20,3159.32,0.64885,0.41251,0.90647,0.88552,0.8752,0.90856,0.70138,0.6976,0.40994,0.90359,0.000985958,0.000985958,0.000985958
21,3317.34,0.64056,0.4058,0.89976,0.90613,0.87276,0.91097,0.70373,0.69856,0.40721,0.90396,0.000984449,0.000984449,0.000984449
