epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.098,0.65656,0.39693,0.89251,0.8648,0.8107,0.86812,0.65279,0.83219,0.45985,0.93336,0.0671765,0.000331551,0.000331551
2,323.088,0.65805,0.39636,0.8948,0.89951,0.87762,0.91596,0.70001,0.76672,0.41959,0.91179,0.0341764,0.000664858,0.000664858
3,482.852,0.66283,0.40001,0.89493,0.90525,0.8654,0.91576,0.69521,0.75763,0.42409,0.90767,0.00117631,0.000998061,0.000998061
4,641.677,0.67636,0.40622,0.89904,0.88896,0.86968,0.9169,0.69885,0.74489,0.41773,0.90831,0.000999648,0.000999648,0.000999648
5,799.358,0.67874,0.40768,0.90082,0.88311,0.86759,0.91399,0.69928,0.76277,0.42504,0.90917,0.000999375,0.000999375,0.000999375
6,958.564,0.68276,0.41129,0.90156,0.89267,0.87052,0.91848,0.70104,0.75572,0.41876,0.90696,0.000999023,0.000999023,0.000999023
7,1117.33,0.68156,0.4112,0.90276,0.87246,0.86833,0.91038,0.70435,0.75611,0.42334,0.91213,0.000998594,0.000998594,0.000998594
8,1275.89,0.67843,0.40982,0.90161,0.86539,0.8509,0.89222,0.68033,0.76552,0.42075,0.91324,0.000998086,0.000998086,0.000998086
9,1434.36,0.68164,0.41031,0.90154,0.90697,0.86016,0.91262,0.6998,0.76385,0.42294,0.90904,0.000997501,0.000997501,0.000997501
10,1593.26,0.68153,0.40839,0.90109,0.87865,0.87337,0.90435,0.69404,0.76731,0.42388,0.91462,0.000996838,0.000996838,0.000996838
11,1753.11,0.67673,0.40757,0.89936,0.89383,0.87623,0.92134,0.69962,0.74884,0.4198,0.90692,0.000996097,0.000996097,0.000996097
12,1912.38,0.67799,0.40714,0.90112,0.87625,0.85717,0.91114,0.69139,0.75538,0.42195,0.90985,0.000995278,0.000995278,0.000995278
13,2071,0.67897,0.41066,0.90138,0.85641,0.87811,0.9075,0.69951,0.7417,0.41492,0.90577,0.000994383,0.000994383,0.000994383
14,2229.13,0.67492,0.40639,0.89847,0.89518,0.86329,0.91798,0.70535,0.76154,0.41971,0.92127,0.00099341,0.00099341,0.00099341
15,2387.47,0.67167,0.40319,0.89827,0.89732,0.88451,0.91976,0.70235,0.74863,0.41671,0.90412,0.000992359,0.000992359,0.000992359
16,2546.27,0.67285,0.40506,0.89763,0.9111,0.88099,0.92175,0.7052,0.74136,0.40672,0.90189,0.000991232,0.000991232,0.000991232
17,2704.87,0.66867,0.40189,0.89797,0.90993,0.88297,0.92153,0.7004,0.75201,0.41975,0.91077,0.000990028,0.000990028,0.000990028
18,2864.16,0.67166,0.40285,0.89712,0.90522,0.85995,0.91089,0.71047,0.73073,0.40872,0.90227,0.000988748,0.000988748,0.000988748
19,3023.2,0.6679,0.40474,0.89688,0.87192,0.88176,0.90893,0.69429,0.75439,0.41684,0.90731,0.000987391,0.000987391,0.000987391
20,3181.83,0.67382,0.40695,0.90066,0.9059,0.86825,0.91405,0.70458,0.74469,0.41006,0.90376,0.000985958,0.000985958,0.000985958
21,3340.12,0.66717,0.40126,0.89458,0.88004,0.8929,0.9218,0.70382,0.74042,0.41514,0.90528,0.000984449,0.000984449,0.000984449
22,3498.88,0.66981,0.40134,0.89745,0.88683,0.89394,0.9198,0.70803,0.74463,0.40837,0.90581,0.000982864,0.000982864,0.000982864
23,3657.14,0.66508,0.39819,0.89468,0.90997,0.86244,0.91778,0.71053,0.73649,0.40008,0.89834,0.000981204,0.000981204,0.000981204
24,3815.59,0.66667,0.40126,0.89744,0.89737,0.86101,0.9154,0.70433,0.74673,0.42119,0.90752,0.000979468,0.000979468,0.000979468
25,3974.33,0.66274,0.39628,0.89477,0.86616,0.88973,0.91116,0.70507,0.74252,0.40888,0.90351,0.000977658,0.000977658,0.000977658
26,4133.1,0.66424,0.39867,0.8952,0.89417,0.88799,0.92066,0.71248,0.73988,0.40632,0.90357,0.000975773,0.000975773,0.000975773
27,4291.06,0.65967,0.39619,0.89237,0.90205,0.87429,0.91238,0.70328,0.7334,0.40816,0.90178,0.000973814,0.000973814,0.000973814
28,4448.34,0.66,0.39709,0.89351,0.89418,0.88106,0.92257,0.71995,0.72474,0.39983,0.90238,0.00097178,0.00097178,0.00097178
29,4605.74,0.66148,0.39746,0.89456,0.90041,0.86646,0.91279,0.70806,0.74184,0.41108,0.90742,0.000969673,0.000969673,0.000969673
30,4762.75,0.66431,0.39893,0.89513,0.87982,0.88339,0.90725,0.69659,0.74786,0.40603,0.90667,0.000967493,0.000967493,0.000967493
31,4920.1,0.66442,0.39927,0.89458,0.90576,0.87809,0.92817,0.71883,0.73454,0.4003,0.89848,0.000965239,0.000965239,0.000965239
32,5077.46,0.65718,0.39633,0.89378,0.90522,0.8761,0.9273,0.7083,0.7348,0.40436,0.90325,0.000962913,0.000962913,0.000962913
33,5235,0.65772,0.39587,0.89257,0.89037,0.88625,0.91618,0.72168,0.72647,0.4004,0.89733,0.000960515,0.000960515,0.000960515
34,5392.53,0.65848,0.39544,0.89235,0.90704,0.86748,0.90369,0.70789,0.73115,0.40374,0.90397,0.000958044,0.000958044,0.000958044
35,5549.69,0.65268,0.39266,0.8926,0.89661,0.88502,0.92807,0.72521,0.72694,0.40076,0.90041,0.000955502,0.000955502,0.000955502
36,5707.27,0.66236,0.39827,0.89524,0.90896,0.87274,0.92747,0.72702,0.7283,0.39499,0.89671,0.000952889,0.000952889,0.000952889
37,5864.42,0.65577,0.39426,0.89053,0.90468,0.88669,0.91902,0.7116,0.72163,0.40334,0.90329,0.000950206,0.000950206,0.000950206
38,6021.67,0.64944,0.3903,0.89222,0.911,0.87106,0.91857,0.72893,0.70264,0.3885,0.89266,0.000947452,0.000947452,0.000947452
39,6178.91,0.65188,0.39236,0.8918,0.89439,0.8873,0.92337,0.72031,0.72866,0.39609,0.89761,0.000944628,0.000944628,0.000944628
40,6336.35,0.64931,0.38919,0.88877,0.8597,0.87478,0.91118,0.71021,0.71869,0.39239,0.89556,0.000941734,0.000941734,0.000941734
41,6493.77,0.64229,0.3859,0.8886,0.90196,0.86755,0.9143,0.71442,0.72855,0.39757,0.897,0.000938772,0.000938772,0.000938772
42,6651.12,0.64996,0.38835,0.88902,0.90269,0.88264,0.92359,0.7257,0.71031,0.38554,0.89035,0.000935741,0.000935741,0.000935741
43,6808.16,0.64563,0.38522,0.88865,0.89341,0.88435,0.91727,0.71953,0.71421,0.38895,0.89253,0.000932642,0.000932642,0.000932642
44,6965.36,0.65072,0.38806,0.88941,0.90323,0.89673,0.93074,0.72848,0.71555,0.38861,0.89571,0.000929476,0.000929476,0.000929476
