epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.546,0.60429,0.3812,0.88028,0.89433,0.82769,0.88873,0.68652,0.74725,0.43659,0.91874,0.0671765,0.000331551,0.000331551
2,322.303,0.60394,0.38056,0.88432,0.90942,0.8761,0.91831,0.71594,0.69203,0.3989,0.89281,0.0341764,0.000664858,0.000664858
3,480.684,0.61164,0.38408,0.88409,0.89897,0.86495,0.90562,0.7097,0.72066,0.40831,0.89875,0.00117631,0.000998061,0.000998061
4,638.938,0.62414,0.39252,0.88826,0.88101,0.85612,0.89369,0.69967,0.72109,0.41872,0.90601,0.000999648,0.000999648,0.000999648
5,797.42,0.62734,0.39343,0.8908,0.89868,0.84177,0.90411,0.70579,0.71262,0.41952,0.90199,0.000999375,0.000999375,0.000999375
6,955.623,0.62984,0.39795,0.89192,0.88533,0.85478,0.90845,0.70071,0.72856,0.41257,0.91056,0.000999023,0.000999023,0.000999023
7,1113.91,0.62964,0.39755,0.89255,0.92248,0.84672,0.90544,0.70437,0.69089,0.40518,0.89516,0.000998594,0.000998594,0.000998594
8,1272.11,0.63266,0.3969,0.89309,0.88608,0.86201,0.89706,0.70257,0.73028,0.41453,0.90515,0.000998086,0.000998086,0.000998086
9,1431.38,0.62786,0.39635,0.89155,0.90652,0.85298,0.90016,0.70632,0.7101,0.41866,0.89977,0.000997501,0.000997501,0.000997501
10,1589.98,0.6322,0.39623,0.89209,0.89632,0.87168,0.90809,0.7067,0.70831,0.41363,0.90032,0.000996838,0.000996838,0.000996838
11,1748.51,0.62965,0.39552,0.89092,0.88876,0.87955,0.91733,0.72123,0.69494,0.41153,0.89825,0.000996097,0.000996097,0.000996097
12,1909.47,0.62871,0.39542,0.89128,0.93141,0.86349,0.91869,0.71821,0.70539,0.40569,0.90324,0.000995278,0.000995278,0.000995278
13,2067.63,0.63189,0.39873,0.89251,0.91257,0.84961,0.90602,0.71153,0.70879,0.41791,0.89796,0.000994383,0.000994383,0.000994383
14,2226.04,0.62677,0.39441,0.88968,0.89926,0.86702,0.90263,0.71341,0.6925,0.40373,0.89967,0.00099341,0.00099341,0.00099341
15,2384.35,0.62725,0.39113,0.89104,0.9145,0.85325,0.90962,0.70385,0.71726,0.41059,0.90478,0.000992359,0.000992359,0.000992359
16,2542.88,0.62669,0.39036,0.88989,0.9092,0.86583,0.91368,0.7185,0.68836,0.39989,0.89066,0.000991232,0.000991232,0.000991232
17,2701.61,0.62377,0.3895,0.88883,0.90414,0.85713,0.89873,0.71116,0.6861,0.40264,0.89325,0.000990028,0.000990028,0.000990028
18,2860.25,0.62426,0.39136,0.88781,0.9361,0.84034,0.90459,0.70978,0.68303,0.3982,0.89522,0.000988748,0.000988748,0.000988748
19,3018.8,0.62512,0.39404,0.88917,0.87737,0.85724,0.89582,0.6941,0.69959,0.41221,0.90129,0.000987391,0.000987391,0.000987391
20,3177.58,0.62673,0.39345,0.89103,0.8644,0.86892,0.8999,0.70053,0.71445,0.40468,0.89897,0.000985958,0.000985958,0.000985958
21,3336.09,0.62676,0.39326,0.88859,0.92048,0.83296,0.90225,0.70127,0.69956,0.40806,0.89974,0.000984449,0.000984449,0.000984449
22,3494.64,0.62622,0.39162,0.88901,0.88975,0.8567,0.90202,0.70163,0.69675,0.40224,0.89623,0.000982864,0.000982864,0.000982864
23,3653.22,0.62109,0.38994,0.88757,0.89202,0.87953,0.9139,0.71692,0.69499,0.39654,0.89225,0.000981204,0.000981204,0.000981204
24,3811.91,0.62148,0.39092,0.88961,0.9038,0.86492,0.90739,0.70965,0.69723,0.3985,0.89507,0.000979468,0.000979468,0.000979468
25,3970.24,0.62081,0.38957,0.88763,0.91386,0.85518,0.90794,0.70923,0.68807,0.39617,0.89076,0.000977658,0.000977658,0.000977658
26,4128.71,0.62236,0.38978,0.88743,0.92004,0.86156,0.92349,0.72244,0.69344,0.39786,0.8943,0.000975773,0.000975773,0.000975773
27,4287.53,0.61729,0.38632,0.88643,0.9082,0.87778,0.91992,0.71511,0.69137,0.40076,0.89504,0.000973814,0.000973814,0.000973814
28,4446.15,0.61653,0.38603,0.88619,0.89071,0.87155,0.90516,0.71816,0.6913,0.39945,0.89316,0.00097178,0.00097178,0.00097178
29,4606.66,0.61451,0.38612,0.88542,0.90955,0.8649,0.90807,0.7173,0.68336,0.39048,0.88912,0.000969673,0.000969673,0.000969673
30,4765.39,0.61751,0.38618,0.88622,0.91317,0.84887,0.91037,0.71379,0.69296,0.39272,0.88961,0.000967493,0.000967493,0.000967493
31,4924.09,0.61603,0.38569,0.88458,0.8923,0.85924,0.90163,0.71351,0.68656,0.39402,0.89169,0.000965239,0.000965239,0.000965239
32,5082.65,0.61662,0.38745,0.88554,0.91688,0.8587,0.90731,0.71185,0.67819,0.39538,0.88848,0.000962913,0.000962913,0.000962913
33,5242.41,0.61227,0.38472,0.88355,0.90544,0.8754,0.92031,0.72458,0.67784,0.39128,0.89182,0.000960515,0.000960515,0.000960515
34,5401,0.61697,0.38637,0.88599,0.889,0.89787,0.91885,0.72722,0.67874,0.38593,0.88799,0.000958044,0.000958044,0.000958044
35,5559.77,0.60894,0.3801,0.8851,0.92337,0.86202,0.92115,0.72597,0.67921,0.38498,0.88916,0.000955502,0.000955502,0.000955502
36,5718.26,0.61655,0.38589,0.88487,0.90012,0.85419,0.91084,0.72136,0.6812,0.39144,0.88721,0.000952889,0.000952889,0.000952889
37,5876.94,0.61326,0.3818,0.88235,0.9097,0.88598,0.91612,0.7234,0.68913,0.39398,0.89251,0.000950206,0.000950206,0.000950206
38,6035.61,0.60842,0.37999,0.88323,0.91555,0.86928,0.91951,0.7226,0.67586,0.38784,0.88621,0.000947452,0.000947452,0.000947452
39,6194.11,0.61175,0.38219,0.88454,0.91658,0.87573,0.92339,0.73147,0.67611,0.38431,0.88658,0.000944628,0.000944628,0.000944628
40,6352.86,0.60938,0.3796,0.88425,0.9087,0.88505,0.91751,0.73182,0.67456,0.37784,0.88704,0.000941734,0.000941734,0.000941734
41,6511.71,0.60579,0.37734,0.88397,0.89105,0.88827,0.91406,0.72554,0.68105,0.38789,0.88997,0.000938772,0.000938772,0.000938772
