epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.375,0.63181,0.3809,0.87986,0.91463,0.81652,0.88828,0.67404,0.81162,0.45653,0.92658,0.0671765,0.000331551,0.000331551
2,317.181,0.63103,0.38203,0.88284,0.91848,0.85307,0.91279,0.70841,0.74746,0.40452,0.89536,0.0341764,0.000664858,0.000664858
3,472.921,0.63863,0.38283,0.88187,0.9059,0.87078,0.91674,0.71086,0.74245,0.40841,0.89461,0.00117631,0.000998061,0.000998061
4,628.969,0.65499,0.39464,0.88815,0.8876,0.86606,0.91231,0.70895,0.74567,0.41678,0.90183,0.000999648,0.000999648,0.000999648
5,785.248,0.65609,0.39456,0.8888,0.89562,0.84518,0.90206,0.69715,0.74984,0.41941,0.89886,0.000999375,0.000999375,0.000999375
6,941.126,0.65991,0.39734,0.89086,0.88468,0.86153,0.90004,0.69648,0.76578,0.4128,0.90872,0.000999023,0.000999023,0.000999023
7,1096.99,0.66093,0.39816,0.89276,0.91329,0.84501,0.8965,0.69922,0.73168,0.40792,0.90067,0.000998594,0.000998594,0.000998594
8,1253.12,0.65865,0.39497,0.89128,0.89264,0.86945,0.90213,0.69428,0.7513,0.41128,0.9023,0.000998086,0.000998086,0.000998086
9,1409.88,0.65907,0.39576,0.88976,0.90442,0.86555,0.91629,0.71317,0.75614,0.41216,0.89933,0.000997501,0.000997501,0.000997501
10,1566.38,0.66217,0.39786,0.89034,0.92122,0.85707,0.90902,0.70719,0.74846,0.41221,0.89833,0.000996838,0.000996838,0.000996838
11,1722.69,0.65971,0.39516,0.88874,0.8861,0.8746,0.9112,0.70785,0.73343,0.40821,0.89935,0.000996097,0.000996097,0.000996097
12,1878.84,0.66304,0.39691,0.89182,0.89192,0.86185,0.90665,0.71219,0.73968,0.4042,0.90083,0.000995278,0.000995278,0.000995278
13,2034.82,0.66185,0.3979,0.89241,0.90478,0.85703,0.90276,0.69794,0.76049,0.41465,0.90894,0.000994383,0.000994383,0.000994383
14,2191.15,0.66071,0.39859,0.89069,0.8622,0.87804,0.89817,0.70099,0.73858,0.40623,0.89991,0.00099341,0.00099341,0.00099341
15,2347.51,0.65685,0.39179,0.89036,0.9101,0.8528,0.91465,0.71147,0.73747,0.40174,0.8997,0.000992359,0.000992359,0.000992359
16,2503.94,0.65594,0.39105,0.889,0.90502,0.85648,0.91573,0.7095,0.7418,0.40397,0.89839,0.000991232,0.000991232,0.000991232
17,2660.34,0.65537,0.39204,0.88936,0.89191,0.87413,0.90583,0.70775,0.73666,0.4047,0.89558,0.000990028,0.000990028,0.000990028
18,2816.43,0.65664,0.39346,0.88741,0.91698,0.85395,0.90925,0.71642,0.72749,0.40077,0.89192,0.000988748,0.000988748,0.000988748
19,2972.47,0.65493,0.39323,0.88838,0.90256,0.86479,0.90926,0.7091,0.74354,0.41026,0.90094,0.000987391,0.000987391,0.000987391
20,3128.64,0.65867,0.3961,0.89217,0.92365,0.8496,0.9123,0.71167,0.73554,0.40101,0.89846,0.000985958,0.000985958,0.000985958
21,3284.79,0.65109,0.39163,0.8871,0.91638,0.86249,0.9011,0.70465,0.72677,0.40245,0.89469,0.000984449,0.000984449,0.000984449
22,3440.68,0.65426,0.39048,0.88855,0.89063,0.87157,0.91058,0.71271,0.73081,0.40386,0.89594,0.000982864,0.000982864,0.000982864
23,3596.83,0.6489,0.38923,0.88595,0.90954,0.85625,0.91761,0.71824,0.72678,0.39829,0.89144,0.000981204,0.000981204,0.000981204
24,3752.86,0.6492,0.3895,0.88862,0.92694,0.86511,0.91345,0.72306,0.71486,0.39508,0.89076,0.000979468,0.000979468,0.000979468
25,3908.99,0.64943,0.38851,0.88681,0.90789,0.87672,0.91689,0.71916,0.72247,0.39193,0.89078,0.000977658,0.000977658,0.000977658
26,4065.36,0.64884,0.38968,0.88492,0.89523,0.87602,0.91946,0.72305,0.72645,0.39859,0.89361,0.000975773,0.000975773,0.000975773
27,4221.77,0.6461,0.38733,0.88495,0.90464,0.85435,0.90798,0.71287,0.72304,0.40122,0.89305,0.000973814,0.000973814,0.000973814
28,4377.87,0.64813,0.38935,0.88706,0.92873,0.86262,0.91462,0.7136,0.74285,0.40105,0.89992,0.00097178,0.00097178,0.00097178
29,4534.36,0.64685,0.38813,0.88643,0.87318,0.87139,0.90285,0.71062,0.73897,0.40245,0.89674,0.000969673,0.000969673,0.000969673
30,4690.5,0.64897,0.38813,0.88676,0.91673,0.85744,0.91056,0.71647,0.71392,0.38873,0.89013,0.000967493,0.000967493,0.000967493
31,4846.67,0.6456,0.38474,0.88558,0.90946,0.85966,0.91551,0.71739,0.71306,0.3916,0.89171,0.000965239,0.000965239,0.000965239
32,5003.45,0.64491,0.38663,0.88419,0.89777,0.8548,0.90789,0.71206,0.70933,0.39172,0.88554,0.000962913,0.000962913,0.000962913
33,5159.66,0.64386,0.38702,0.88481,0.90101,0.85736,0.91887,0.72236,0.7111,0.39512,0.89293,0.000960515,0.000960515,0.000960515
34,5315.7,0.64458,0.38462,0.88541,0.91459,0.88489,0.91917,0.72693,0.70958,0.38797,0.88924,0.000958044,0.000958044,0.000958044
35,5471.7,0.63888,0.38192,0.88527,0.91541,0.88479,0.91777,0.72571,0.70325,0.38498,0.88756,0.000955502,0.000955502,0.000955502
36,5627.84,0.64521,0.38476,0.88542,0.91606,0.8638,0.91997,0.73235,0.71055,0.38377,0.8876,0.000952889,0.000952889,0.000952889
37,5784.43,0.64175,0.3825,0.88165,0.89825,0.88418,0.91543,0.72912,0.71225,0.38928,0.88804,0.000950206,0.000950206,0.000950206
38,5940.5,0.63796,0.38205,0.8846,0.87561,0.89296,0.92169,0.72992,0.70024,0.38635,0.88335,0.000947452,0.000947452,0.000947452
39,6096.91,0.63782,0.38147,0.88251,0.90249,0.87578,0.92256,0.73069,0.70662,0.38519,0.88435,0.000944628,0.000944628,0.000944628
40,6253.26,0.63644,0.38082,0.88229,0.88982,0.88301,0.92096,0.73029,0.70814,0.38142,0.88766,0.000941734,0.000941734,0.000941734
41,6409.65,0.63398,0.3795,0.88249,0.90458,0.8932,0.91712,0.72812,0.70595,0.3837,0.88496,0.000938772,0.000938772,0.000938772
42,6566.54,0.63717,0.37959,0.88129,0.89909,0.87158,0.91621,0.72983,0.71364,0.38143,0.88436,0.000935741,0.000935741,0.000935741
43,6723.54,0.63368,0.37729,0.8815,0.91692,0.86828,0.91643,0.73027,0.69933,0.37691,0.88135,0.000932642,0.000932642,0.000932642
44,6880.51,0.6346,0.37639,0.88199,0.9217,0.87022,0.926,0.72902,0.71405,0.38704,0.88866,0.000929476,0.000929476,0.000929476
45,7037.62,0.63069,0.37581,0.88111,0.91784,0.85986,0.91607,0.72663,0.69941,0.37617,0.87937,0.000926242,0.000926242,0.000926242
46,7194.79,0.63205,0.37598,0.8814,0.87898,0.88645,0.90665,0.7262,0.69496,0.3742,0.88049,0.000922942,0.000922942,0.000922942
47,7351.68,0.62991,0.37689,0.88149,0.90929,0.87698,0.91497,0.73189,0.6956,0.3779,0.88134,0.000919576,0.000919576,0.000919576
48,7508.44,0.62874,0.37547,0.87994,0.92273,0.88222,0.92371,0.73115,0.69501,0.37772,0.88246,0.000916145,0.000916145,0.000916145
49,7665.32,0.62532,0.37432,0.87935,0.89057,0.86349,0.90474,0.72015,0.70312,0.37965,0.8835,0.000912649,0.000912649,0.000912649
50,7822.09,0.62724,0.37581,0.88004,0.91217,0.86575,0.91847,0.7313,0.69209,0.37579,0.88094,0.000909088,0.000909088,0.000909088
51,7979.03,0.62452,0.37331,0.87986,0.91867,0.86676,0.92026,0.73371,0.69045,0.37473,0.88069,0.000905463,0.000905463,0.000905463
52,8135.88,0.62716,0.37425,0.88059,0.90755,0.86859,0.91215,0.72724,0.69518,0.37855,0.88456,0.000901776,0.000901776,0.000901776
53,8292.41,0.62547,0.37301,0.87852,0.90831,0.88523,0.9167,0.73023,0.70408,0.37572,0.8844,0.000898025,0.000898025,0.000898025
54,8449.44,0.6209,0.3723,0.87795,0.91443,0.86038,0.91277,0.73206,0.68775,0.37071,0.88201,0.000894213,0.000894213,0.000894213
55,8606.35,0.61885,0.37045,0.87704,0.88795,0.89809,0.92525,0.73628,0.69628,0.37631,0.88259,0.000890339,0.000890339,0.000890339
56,8763.39,0.62258,0.37285,0.87864,0.91939,0.86442,0.91437,0.73257,0.69829,0.37276,0.8824,0.000886404,0.000886404,0.000886404
57,8920.31,0.61993,0.36946,0.87535,0.91787,0.87726,0.93327,0.74417,0.68293,0.36854,0.87636,0.000882409,0.000882409,0.000882409
58,9077.7,0.61939,0.36906,0.87705,0.9039,0.87889,0.91853,0.73063,0.6963,0.37421,0.88116,0.000878354,0.000878354,0.000878354
59,9237.93,0.61925,0.36847,0.87749,0.92423,0.8803,0.92526,0.74029,0.68069,0.36851,0.87685,0.000874241,0.000874241,0.000874241
60,9397.03,0.61628,0.36671,0.87541,0.91725,0.87842,0.92219,0.73891,0.68893,0.37086,0.87908,0.000870069,0.000870069,0.000870069
61,9561.9,0.61393,0.36553,0.87471,0.89524,0.8813,0.91633,0.73769,0.67857,0.36752,0.87631,0.000865839,0.000865839,0.000865839
62,9719.31,0.6162,0.36854,0.87585,0.89681,0.88553,0.91283,0.73737,0.6812,0.36498,0.87583,0.000861553,0.000861553,0.000861553
63,9878.66,0.61738,0.36968,0.87753,0.9021,0.88724,0.92203,0.7429,0.68709,0.36744,0.87864,0.00085721,0.00085721,0.00085721
64,10036.9,0.61501,0.3667,0.87527,0.91715,0.87316,0.91981,0.74054,0.67563,0.36598,0.87389,0.000852812,0.000852812,0.000852812
65,10195.7,0.61049,0.36381,0.87404,0.92061,0.87579,0.9259,0.73988,0.6815,0.36572,0.8757,0.000848358,0.000848358,0.000848358
66,10355.8,0.6103,0.36448,0.87303,0.91038,0.85817,0.90923,0.73092,0.67789,0.36289,0.87587,0.000843851,0.000843851,0.000843851
67,10513.4,0.60824,0.36303,0.87178,0.92966,0.8749,0.921,0.74308,0.66759,0.35756,0.87386,0.00083929,0.00083929,0.00083929
68,10671.1,0.60641,0.36072,0.87329,0.91664,0.87922,0.92614,0.74695,0.68716,0.36347,0.87848,0.000834676,0.000834676,0.000834676
69,10829.2,0.60782,0.36413,0.87368,0.92642,0.8662,0.91965,0.74227,0.6691,0.36367,0.8727,0.00083001,0.00083001,0.00083001
70,10987.9,0.60941,0.36288,0.8749,0.93238,0.87612,0.92929,0.74776,0.68048,0.3623,0.87772,0.000825293,0.000825293,0.000825293
71,11148.6,0.611,0.36274,0.87372,0.93717,0.87083,0.92898,0.74876,0.67172,0.35917,0.87375,0.000820525,0.000820525,0.000820525
72,11308.7,0.6072,0.36218,0.87484,0.91284,0.89562,0.93333,0.74878,0.68042,0.36197,0.8785,0.000815707,0.000815707,0.000815707
73,11470.4,0.60187,0.3577,0.87138,0.92037,0.87259,0.92872,0.74861,0.67065,0.35961,0.87427,0.000810841,0.000810841,0.000810841
74,11630.2,0.60509,0.36308,0.87236,0.92262,0.87748,0.92868,0.75333,0.67069,0.35968,0.87289,0.000805925,0.000805925,0.000805925
75,11789.7,0.60382,0.35888,0.87153,0.93579,0.86411,0.92607,0.74817,0.66734,0.35734,0.87402,0.000800963,0.000800963,0.000800963
76,11950.1,0.60241,0.35777,0.87074,0.91688,0.88744,0.92939,0.74793,0.66797,0.35643,0.87437,0.000795954,0.000795954,0.000795954
77,12109.8,0.59862,0.35762,0.86914,0.92629,0.88299,0.92845,0.75533,0.66853,0.35676,0.87349,0.000790898,0.000790898,0.000790898
78,12269.1,0.60069,0.35912,0.87202,0.92254,0.88873,0.92701,0.75321,0.67143,0.35812,0.87368,0.000785798,0.000785798,0.000785798
