epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.362,0.66387,0.40271,0.89237,0.90012,0.83739,0.90407,0.68234,0.80394,0.44381,0.92443,0.0671765,0.000331551,0.000331551
2,323.094,0.67794,0.41386,0.90091,0.8828,0.85613,0.8869,0.67837,0.77384,0.42663,0.91209,0.0341764,0.000664858,0.000664858
3,482.271,0.69552,0.42658,0.90603,0.8815,0.85508,0.89358,0.68262,0.76719,0.43859,0.9129,0.00117631,0.000998061,0.000998061
4,640.49,0.71456,0.44002,0.91413,0.8815,0.83448,0.88992,0.6794,0.77645,0.43543,0.91537,0.000999648,0.000999648,0.000999648
5,798.305,0.71686,0.43981,0.91506,0.88404,0.84878,0.8944,0.66903,0.79174,0.44897,0.92149,0.000999375,0.000999375,0.000999375
6,956.261,0.7157,0.4391,0.91398,0.85757,0.85616,0.88347,0.67496,0.76995,0.4383,0.91657,0.000999023,0.000999023,0.000999023
7,1114.65,0.71772,0.4407,0.91694,0.88245,0.84911,0.89812,0.67555,0.77352,0.43324,0.91902,0.000998594,0.000998594,0.000998594
8,1272.71,0.71136,0.43358,0.91393,0.87481,0.86471,0.89851,0.68745,0.77083,0.43316,0.91935,0.000998086,0.000998086,0.000998086
9,1430.87,0.70996,0.43327,0.91363,0.86888,0.85236,0.89145,0.68994,0.77678,0.43117,0.91396,0.000997501,0.000997501,0.000997501
10,1588.9,0.70826,0.43003,0.91185,0.87947,0.87609,0.91765,0.69595,0.76304,0.43112,0.91249,0.000996838,0.000996838,0.000996838
11,1746.53,0.70392,0.42858,0.9106,0.87792,0.85026,0.90654,0.69992,0.76125,0.43538,0.91401,0.000996097,0.000996097,0.000996097
12,1904.81,0.70574,0.42904,0.91238,0.87478,0.85865,0.89557,0.68866,0.75996,0.42723,0.91249,0.000995278,0.000995278,0.000995278
13,2062.68,0.70503,0.42646,0.91184,0.87221,0.86484,0.89206,0.67743,0.76768,0.43994,0.91321,0.000994383,0.000994383,0.000994383
14,2221.06,0.69893,0.42647,0.90826,0.84105,0.88041,0.9041,0.69299,0.7694,0.42559,0.9164,0.00099341,0.00099341,0.00099341
15,2378.94,0.69826,0.41902,0.90893,0.88089,0.84595,0.90657,0.70016,0.75908,0.42045,0.9144,0.000992359,0.000992359,0.000992359
16,2537.07,0.69433,0.41951,0.90686,0.89549,0.86473,0.91702,0.69616,0.76467,0.42541,0.91124,0.000991232,0.000991232,0.000991232
