               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084746,            0.080916,            0.036846,             0.80996,             0.14815,             0.12518,            0.039921,            0.069807,            0.087439,            0.024154,            0.070319,           0.0032979,           0.0032979
                   1,            0.067086,            0.055211,            0.022284,             0.87043,             0.16121,             0.21254,              0.0884,            0.056452,            0.091039,             0.01888,            0.040286,           0.0065984,           0.0065984
                   2,            0.058448,            0.053702,            0.018366,             0.42071,             0.41019,             0.34458,              0.1418,            0.050253,            0.081264,            0.015583,             0.01022,           0.0098659,           0.0098659
                   3,            0.050049,            0.051539,            0.014543,             0.62756,              0.5101,             0.50017,             0.25563,            0.038125,            0.076639,             0.01157,           0.0098515,           0.0098515,           0.0098515
                   4,            0.045107,            0.050561,            0.011551,             0.66873,             0.55493,             0.57259,             0.31312,            0.034506,            0.076956,           0.0099762,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042375,            0.048121,           0.0098495,             0.76651,             0.56217,             0.67161,             0.35569,            0.033766,            0.073271,           0.0084323,            0.009802,            0.009802,            0.009802
                   6,            0.040663,            0.048351,           0.0085479,             0.68815,               0.651,             0.70719,             0.38037,            0.032883,            0.071097,           0.0066854,           0.0097525,           0.0097525,           0.0097525
                   7,            0.039553,            0.047756,            0.007553,             0.67849,             0.70925,             0.74322,             0.42392,            0.032289,             0.06982,           0.0061125,            0.009703,            0.009703,            0.009703
                   8,             0.03842,            0.046404,           0.0069074,             0.76647,             0.67251,               0.754,             0.43157,            0.032797,            0.071331,           0.0063893,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037898,            0.046462,           0.0063668,             0.76217,             0.73009,              0.7904,             0.44908,            0.031254,            0.068144,           0.0055814,            0.009604,            0.009604,            0.009604
                  10,            0.036877,            0.045845,           0.0059303,             0.77656,             0.72783,             0.78937,             0.45113,            0.031487,            0.067997,           0.0056855,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036354,            0.044945,           0.0054952,             0.82667,             0.74184,              0.8171,             0.46761,            0.030794,            0.067531,            0.004701,            0.009505,            0.009505,            0.009505
                  12,            0.035256,            0.043845,           0.0052952,             0.79704,              0.7425,             0.80714,             0.47777,            0.030692,              0.0673,           0.0047244,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035099,            0.043697,           0.0049197,             0.82131,              0.7247,             0.81385,             0.48242,             0.03078,             0.06745,           0.0053282,            0.009406,            0.009406,            0.009406
                  14,            0.034424,            0.043921,           0.0048028,             0.87426,              0.7356,             0.83219,             0.49649,            0.029975,            0.068164,            0.004548,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033993,            0.042798,           0.0046067,              0.8519,             0.74012,             0.83144,             0.50943,            0.029271,            0.065946,           0.0045612,            0.009307,            0.009307,            0.009307
                  16,            0.033678,            0.042527,           0.0044972,             0.85005,             0.73902,             0.83111,             0.50828,              0.0293,             0.06552,           0.0040882,           0.0092575,           0.0092575,           0.0092575
                  17,            0.033246,            0.042523,            0.004274,             0.81787,             0.77091,             0.83606,             0.51952,            0.028575,            0.064145,           0.0040611,            0.009208,            0.009208,            0.009208
                  18,            0.032524,            0.041442,            0.004092,             0.80193,             0.78246,             0.84167,             0.52292,            0.028682,            0.065311,           0.0040228,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032555,            0.042336,           0.0039629,             0.87626,             0.81089,             0.86449,             0.54866,            0.027994,            0.062541,           0.0033314,            0.009109,            0.009109,            0.009109
                  20,            0.032437,             0.04154,           0.0038919,             0.87179,             0.75425,              0.8431,             0.52803,            0.028174,            0.063821,           0.0040754,           0.0090595,           0.0090595,           0.0090595
                  21,            0.031934,            0.041414,           0.0037687,             0.87584,             0.78757,             0.86708,             0.53399,            0.028522,              0.0643,           0.0037242,             0.00901,             0.00901,             0.00901
                  22,              0.0315,            0.040996,           0.0036516,             0.86602,             0.78988,              0.8682,             0.54699,            0.027935,            0.064611,           0.0035016,           0.0089605,           0.0089605,           0.0089605
                  23,            0.031243,            0.040772,           0.0034831,             0.85895,             0.80935,               0.877,             0.55294,            0.027141,            0.061994,           0.0036855,            0.008911,            0.008911,            0.008911
                  24,             0.03115,            0.040594,           0.0034939,             0.84745,             0.80331,             0.86319,             0.55484,              0.0269,              0.0615,           0.0035777,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031144,             0.03996,           0.0034873,             0.90503,             0.79396,             0.87732,             0.56652,            0.026799,            0.061881,           0.0033991,            0.008812,            0.008812,            0.008812
                  26,             0.03097,            0.039661,           0.0033789,             0.83072,              0.8067,             0.86678,             0.55312,            0.027001,            0.061228,           0.0032084,           0.0087625,           0.0087625,           0.0087625
                  27,            0.030824,            0.040567,             0.00331,             0.85424,             0.81856,             0.87537,             0.56497,            0.026735,            0.062836,            0.003593,            0.008713,            0.008713,            0.008713
                  28,            0.030325,            0.039323,           0.0032536,             0.85618,             0.81304,             0.86887,             0.55826,            0.026781,            0.061469,           0.0030564,           0.0086635,           0.0086635,           0.0086635
                  29,            0.030187,             0.03909,           0.0031563,             0.86691,             0.82253,             0.87646,             0.57993,            0.026123,            0.060101,           0.0028474,            0.008614,            0.008614,            0.008614
                  30,            0.030129,             0.03859,           0.0032062,             0.89777,             0.79853,             0.88574,             0.58259,            0.026286,            0.060174,           0.0029895,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030085,            0.039325,           0.0030693,             0.89949,             0.79619,             0.86426,              0.5685,             0.02602,            0.059102,           0.0031326,            0.008515,            0.008515,            0.008515
                  32,            0.029733,            0.039158,            0.003054,             0.86548,             0.80852,             0.86483,             0.57612,            0.025709,            0.059158,           0.0027664,           0.0084655,           0.0084655,           0.0084655
                  33,            0.029607,            0.038371,           0.0030441,              0.9077,             0.83278,             0.90583,             0.60009,            0.025767,            0.058791,           0.0026755,            0.008416,            0.008416,            0.008416
                  34,            0.029697,            0.038658,             0.00297,             0.90288,             0.80211,             0.89306,             0.58945,            0.025805,            0.059752,           0.0026318,           0.0083665,           0.0083665,           0.0083665
                  35,             0.02934,            0.038745,           0.0029992,              0.8878,              0.8191,             0.88854,             0.59796,            0.025697,            0.058869,           0.0027945,            0.008317,            0.008317,            0.008317
                  36,            0.029421,            0.038053,           0.0029511,              0.8837,             0.83177,             0.88845,             0.59888,             0.02543,            0.059383,           0.0025988,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029284,            0.038351,           0.0028618,             0.90873,             0.80082,             0.87559,              0.5916,            0.025302,            0.059306,           0.0025682,            0.008218,            0.008218,            0.008218
                  38,            0.029046,            0.037789,           0.0028461,             0.86819,              0.8545,             0.89132,             0.60079,            0.025115,            0.058367,           0.0024401,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029119,            0.037458,            0.002851,             0.90561,             0.79683,             0.88303,             0.59522,            0.025618,             0.05935,           0.0027152,            0.008119,            0.008119,            0.008119
                  40,             0.02869,            0.038167,           0.0026918,             0.88775,             0.82906,             0.88397,             0.60044,            0.025229,            0.058064,           0.0025291,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028778,            0.037548,           0.0027231,             0.85636,             0.82975,             0.88762,             0.59215,            0.024956,            0.057704,           0.0026131,             0.00802,             0.00802,             0.00802
                  42,             0.02883,            0.037503,           0.0026787,             0.89483,             0.82557,             0.90432,             0.61252,            0.024754,            0.057463,           0.0024955,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028678,            0.038284,           0.0026665,             0.88223,              0.8281,             0.88332,             0.60353,            0.024853,             0.05774,           0.0025868,            0.007921,            0.007921,            0.007921
