epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.205,1.09676,1.08451,1.20257,0.39951,0.4401,0.28775,0.1727,1.10488,3.79254,1.2974,0.0671765,0.000331551,0.000331551
2,399.525,1.06132,0.84957,1.20823,0.62863,0.56058,0.60516,0.38872,1.05295,0.86279,1.22929,0.0341764,0.000664858,0.000664858
3,596.303,1.03232,0.79288,1.18833,0.60843,0.56601,0.59264,0.38393,1.02709,0.81675,1.2095,0.00117631,0.000998061,0.000998061
4,795.691,1.0074,0.75361,1.17376,0.72826,0.61581,0.68633,0.44568,0.98229,0.73149,1.17094,0.000999648,0.000999648,0.000999648
5,995.514,0.96739,0.70443,1.15091,0.73725,0.61754,0.69754,0.47355,0.95515,0.69802,1.14818,0.000999375,0.000999375,0.000999375
6,1192.55,0.93297,0.66244,1.12821,0.79573,0.6322,0.7473,0.5099,0.91642,0.623,1.13338,0.000999023,0.000999023,0.000999023
7,1391.13,0.91562,0.63829,1.11646,0.78428,0.72946,0.7864,0.54007,0.89244,0.59302,1.11649,0.000998594,0.000998594,0.000998594
8,1587.48,0.89368,0.61245,1.10265,0.73293,0.75694,0.78653,0.55142,0.86474,0.57251,1.0984,0.000998086,0.000998086,0.000998086
9,1786.86,0.86492,0.58751,1.08746,0.72049,0.79818,0.82325,0.58734,0.85327,0.54953,1.0884,0.000997501,0.000997501,0.000997501
10,1982.81,0.85116,0.57013,1.07482,0.78108,0.73486,0.79263,0.56661,0.84741,0.54523,1.08438,0.000996838,0.000996838,0.000996838
11,2179.54,0.82807,0.54898,1.06573,0.80377,0.76628,0.82191,0.59525,0.8296,0.5221,1.08566,0.000996097,0.000996097,0.000996097
12,2374.94,0.81692,0.53863,1.06069,0.80241,0.79029,0.8304,0.60956,0.80448,0.49659,1.06132,0.000995278,0.000995278,0.000995278
13,2572.61,0.80908,0.53366,1.05443,0.83941,0.77135,0.84244,0.61326,0.80075,0.49988,1.05961,0.000994383,0.000994383,0.000994383
14,2769.18,0.79064,0.51251,1.04551,0.85288,0.80468,0.86039,0.63644,0.77395,0.4789,1.03865,0.00099341,0.00099341,0.00099341
15,2966.03,0.78223,0.50602,1.03776,0.84658,0.77786,0.85653,0.63147,0.78196,0.47888,1.05506,0.000992359,0.000992359,0.000992359
16,3164.78,0.77719,0.49705,1.04033,0.87222,0.7729,0.85997,0.63412,0.78421,0.48082,1.04892,0.000991232,0.000991232,0.000991232
17,3362.47,0.75939,0.48519,1.02236,0.82501,0.82307,0.86745,0.64131,0.76245,0.45789,1.02337,0.000990028,0.000990028,0.000990028
18,3559.26,0.74858,0.4749,1.01748,0.83396,0.82397,0.85487,0.64031,0.75526,0.46549,1.02993,0.000988748,0.000988748,0.000988748
19,3759.23,0.73957,0.46897,1.01436,0.87554,0.80844,0.88044,0.65828,0.75346,0.44276,1.02833,0.000987391,0.000987391,0.000987391
20,3957.81,0.73653,0.46267,1.00957,0.84806,0.80847,0.86225,0.6549,0.74543,0.44534,1.01934,0.000985958,0.000985958,0.000985958
21,4156.74,0.72537,0.45434,1.00707,0.86484,0.80394,0.87099,0.65544,0.74135,0.43236,1.01901,0.000984449,0.000984449,0.000984449
22,4352.83,0.71877,0.44794,0.99882,0.86683,0.8475,0.88691,0.67257,0.74067,0.4332,1.02139,0.000982864,0.000982864,0.000982864
23,4549.39,0.70788,0.44081,0.99716,0.84464,0.84504,0.87512,0.67213,0.7241,0.41918,1.01077,0.000981204,0.000981204,0.000981204
24,4747.46,0.69982,0.43557,0.99193,0.87934,0.84531,0.89427,0.68793,0.71899,0.41627,1.01061,0.000979468,0.000979468,0.000979468
25,4945.29,0.6901,0.42603,0.9888,0.88413,0.84727,0.89899,0.68051,0.72132,0.41296,1.01273,0.000977658,0.000977658,0.000977658
26,5143.53,0.68875,0.42269,0.98299,0.87899,0.82159,0.88512,0.68907,0.70399,0.40845,0.99707,0.000975773,0.000975773,0.000975773
