epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.578,1.07395,1.2894,1.17376,0.71126,0.71183,0.75208,0.50901,0.94824,0.62339,1.06586,0.00331551,0.00331551,0.00331551
2,382.926,0.95318,0.70526,1.073,0.77281,0.76506,0.81055,0.55886,0.91525,0.65233,1.03387,0.00662251,0.00662251,0.00662251
3,571.904,0.97215,0.70536,1.08911,0.73078,0.60932,0.67953,0.44422,1.03997,0.76488,1.16064,0.00990312,0.00990312,0.00990312
4,760.955,0.99745,0.73015,1.11848,0.6862,0.67884,0.72768,0.49339,0.95025,0.7015,1.10426,0.0098812,0.0098812,0.0098812
5,949.659,0.95582,0.67814,1.10162,0.82671,0.67397,0.76158,0.52355,0.90496,0.61103,1.08387,0.0098416,0.0098416,0.0098416
6,1137.95,0.91946,0.6323,1.08421,0.78273,0.69486,0.76959,0.52281,0.90551,0.5936,1.06525,0.009802,0.009802,0.009802
7,1326.35,0.89519,0.60741,1.07605,0.83008,0.76368,0.82754,0.57664,0.86349,0.58832,1.05398,0.0097624,0.0097624,0.0097624
8,1514.95,0.87238,0.5884,1.05863,0.8429,0.73296,0.82352,0.58598,0.85576,0.53559,1.05517,0.0097228,0.0097228,0.0097228
9,1703.82,0.84292,0.5571,1.05039,0.82519,0.7758,0.84099,0.60671,0.83753,0.54039,1.04876,0.0096832,0.0096832,0.0096832
10,1892.49,0.82737,0.5457,1.03973,0.82301,0.75398,0.82672,0.60271,0.82415,0.51614,1.04833,0.0096436,0.0096436,0.0096436
11,2081.18,0.80137,0.52093,1.02719,0.84075,0.81671,0.87675,0.65147,0.79724,0.48198,1.02283,0.009604,0.009604,0.009604
12,2270.14,0.79532,0.51189,1.02202,0.85282,0.81782,0.86904,0.64249,0.77013,0.47171,1.01505,0.0095644,0.0095644,0.0095644
13,2459.68,0.77979,0.50166,1.01358,0.84974,0.817,0.86719,0.65107,0.76607,0.46456,1.00852,0.0095248,0.0095248,0.0095248
14,2652.33,0.76358,0.48643,1.01108,0.91438,0.80223,0.90123,0.67846,0.75549,0.44816,0.99721,0.0094852,0.0094852,0.0094852
15,2843.46,0.75529,0.48115,1.0009,0.85895,0.8521,0.89775,0.67645,0.74323,0.45251,0.99166,0.0094456,0.0094456,0.0094456
16,3035.52,0.74488,0.46871,0.99665,0.88305,0.83176,0.88713,0.66962,0.7437,0.44358,0.98618,0.009406,0.009406,0.009406
17,3225.24,0.73305,0.45853,0.98781,0.87352,0.81694,0.88175,0.66575,0.74463,0.43623,0.99008,0.0093664,0.0093664,0.0093664
18,3415.14,0.72313,0.44721,0.98547,0.89412,0.84061,0.90655,0.68948,0.71763,0.4176,0.99133,0.0093268,0.0093268,0.0093268
19,3604.95,0.70732,0.43894,0.97908,0.87188,0.84475,0.89705,0.68216,0.71543,0.41209,0.97346,0.0092872,0.0092872,0.0092872
20,3793.26,0.70406,0.43556,0.97214,0.88425,0.8857,0.93188,0.71424,0.70578,0.40506,0.9641,0.0092476,0.0092476,0.0092476
21,3982.14,0.69487,0.43014,0.97356,0.88736,0.86685,0.90564,0.70562,0.70342,0.40194,0.98437,0.009208,0.009208,0.009208
22,4170.7,0.6844,0.42132,0.96749,0.87777,0.87724,0.91162,0.70577,0.70286,0.40165,0.97866,0.0091684,0.0091684,0.0091684
23,4359.22,0.67903,0.41731,0.96225,0.91863,0.84657,0.9154,0.71719,0.68656,0.38135,0.96138,0.0091288,0.0091288,0.0091288
24,4547.93,0.66902,0.40897,0.95724,0.89449,0.87119,0.91065,0.71392,0.69022,0.38856,0.97371,0.0090892,0.0090892,0.0090892
25,4736.39,0.66261,0.40557,0.95577,0.8805,0.88348,0.91227,0.71264,0.68539,0.37613,0.96146,0.0090496,0.0090496,0.0090496
26,4924.72,0.65957,0.40108,0.94841,0.91116,0.86361,0.9123,0.71062,0.68127,0.38334,0.95316,0.00901,0.00901,0.00901
27,5114.06,0.64961,0.39498,0.94399,0.88964,0.86765,0.9076,0.71298,0.67171,0.37628,0.95473,0.0089704,0.0089704,0.0089704
28,5302.72,0.64658,0.39348,0.94636,0.92461,0.86421,0.91914,0.72155,0.67014,0.37577,0.95147,0.0089308,0.0089308,0.0089308
29,5492.27,0.63676,0.38719,0.94127,0.89719,0.88299,0.92267,0.73076,0.66623,0.36901,0.95442,0.0088912,0.0088912,0.0088912
30,5681,0.63001,0.38073,0.94012,0.90858,0.8845,0.92926,0.72956,0.66158,0.36545,0.96192,0.0088516,0.0088516,0.0088516
31,5869.55,0.62278,0.37523,0.93986,0.89548,0.8856,0.92767,0.7255,0.66187,0.35948,0.96422,0.008812,0.008812,0.008812
32,6059.4,0.61883,0.37438,0.93607,0.88918,0.89018,0.92181,0.72732,0.66323,0.36734,0.95762,0.0087724,0.0087724,0.0087724
33,6247.83,0.61448,0.37025,0.93205,0.90982,0.89131,0.92722,0.73252,0.64885,0.35608,0.95199,0.0087328,0.0087328,0.0087328
34,6436.5,0.61098,0.36698,0.93534,0.88037,0.90657,0.92539,0.73866,0.64913,0.35677,0.96368,0.0086932,0.0086932,0.0086932
35,6625.09,0.6042,0.36518,0.92903,0.92004,0.89111,0.9367,0.74698,0.64118,0.35156,0.94641,0.0086536,0.0086536,0.0086536
36,6813.66,0.60048,0.36023,0.92579,0.90489,0.88025,0.91709,0.73308,0.64619,0.35901,0.94755,0.008614,0.008614,0.008614
37,7002.59,0.59779,0.35641,0.92151,0.91645,0.88694,0.93367,0.7472,0.64251,0.35169,0.942,0.0085744,0.0085744,0.0085744
