epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.069,1.09311,1.03439,1.20144,0.56844,0.43096,0.39151,0.23567,1.10813,1.57233,1.28299,0.0671765,0.000331551,0.000331551
2,402.154,1.06522,0.86025,1.20202,0.604,0.53169,0.58202,0.37135,1.06394,0.9793,1.24938,0.0341764,0.000664858,0.000664858
3,600.375,1.02909,0.79306,1.18477,0.75385,0.52732,0.60596,0.39037,1.03607,0.88368,1.22853,0.00117631,0.000998061,0.000998061
4,794.42,1.00317,0.75464,1.16941,0.69168,0.59434,0.67864,0.44816,0.96924,0.69776,1.15287,0.000999648,0.000999648,0.000999648
5,989.142,0.96632,0.70306,1.14857,0.72119,0.62136,0.70063,0.48186,0.92567,0.66106,1.1338,0.000999375,0.000999375,0.000999375
6,1182.55,0.92888,0.66383,1.12312,0.71946,0.71374,0.75604,0.51095,0.91316,0.63118,1.13455,0.000999023,0.000999023,0.000999023
7,1378,0.91427,0.63758,1.1154,0.87097,0.63296,0.72952,0.50313,0.90858,0.63081,1.11747,0.000998594,0.000998594,0.000998594
8,1574.2,0.89148,0.61649,1.10015,0.73694,0.69908,0.76348,0.53606,0.88191,0.5844,1.11404,0.000998086,0.000998086,0.000998086
9,1769.08,0.86846,0.59026,1.08857,0.77787,0.77644,0.8168,0.5746,0.86057,0.54689,1.09408,0.000997501,0.000997501,0.000997501
10,1963.19,0.84798,0.5695,1.0726,0.79801,0.75341,0.81177,0.56683,0.86123,0.55067,1.08828,0.000996838,0.000996838,0.000996838
11,2157.75,0.82486,0.5503,1.06115,0.78587,0.76529,0.82984,0.60919,0.80404,0.51713,1.05785,0.000996097,0.000996097,0.000996097
12,2352.02,0.81676,0.539,1.05753,0.78388,0.75741,0.80687,0.59024,0.81804,0.51034,1.07256,0.000995278,0.000995278,0.000995278
13,2548.47,0.8072,0.53028,1.05413,0.83672,0.79818,0.85802,0.62072,0.80942,0.50075,1.05959,0.000994383,0.000994383,0.000994383
14,2744.62,0.79281,0.51363,1.04649,0.82898,0.80035,0.8582,0.62779,0.77917,0.48429,1.05149,0.00099341,0.00099341,0.00099341
15,2942.17,0.77923,0.50793,1.03551,0.82791,0.79838,0.85153,0.62461,0.79214,0.47696,1.04954,0.000992359,0.000992359,0.000992359
16,3136.35,0.77422,0.49865,1.03391,0.83028,0.80898,0.85424,0.62732,0.79378,0.48253,1.05451,0.000991232,0.000991232,0.000991232
17,3329.18,0.75677,0.48227,1.02099,0.8149,0.81749,0.85413,0.641,0.75866,0.46215,1.03101,0.000990028,0.000990028,0.000990028
18,3525.43,0.753,0.4744,1.02154,0.84929,0.82247,0.87318,0.66109,0.76349,0.46854,1.03095,0.000988748,0.000988748,0.000988748
19,3720.46,0.73923,0.47027,1.01534,0.82338,0.82539,0.86973,0.65945,0.75721,0.45024,1.03157,0.000987391,0.000987391,0.000987391
20,3914.39,0.73646,0.46286,1.00957,0.85934,0.83421,0.879,0.66437,0.74126,0.44264,1.01538,0.000985958,0.000985958,0.000985958
21,4109.25,0.72578,0.45742,1.00627,0.84554,0.81315,0.87035,0.66194,0.73201,0.4361,1.01816,0.000984449,0.000984449,0.000984449
22,4306.12,0.71463,0.44464,0.99817,0.892,0.83481,0.88031,0.67341,0.72074,0.42184,1.01136,0.000982864,0.000982864,0.000982864
23,4500.3,0.70891,0.43967,0.99596,0.8269,0.83857,0.88076,0.66478,0.73201,0.42796,1.02085,0.000981204,0.000981204,0.000981204
24,4694.41,0.70362,0.4375,0.99261,0.86689,0.85534,0.89153,0.68127,0.71786,0.41789,1.00177,0.000979468,0.000979468,0.000979468
25,4889.74,0.68908,0.42678,0.98595,0.89008,0.86665,0.90288,0.69567,0.71667,0.40748,1.00639,0.000977658,0.000977658,0.000977658
26,5083.8,0.68928,0.4245,0.98725,0.90683,0.8331,0.90185,0.70105,0.70959,0.40566,1.00883,0.000975773,0.000975773,0.000975773
27,5280.73,0.68383,0.41824,0.98387,0.88871,0.82613,0.88641,0.68684,0.70873,0.40761,1.00357,0.000973814,0.000973814,0.000973814
28,5473.68,0.68075,0.41696,0.97753,0.90667,0.84798,0.90946,0.70239,0.70194,0.39328,0.99203,0.00097178,0.00097178,0.00097178
29,5670.24,0.66308,0.40589,0.97092,0.89523,0.83998,0.91278,0.69735,0.69821,0.39799,1.0004,0.000969673,0.000969673,0.000969673
30,5864.41,0.66137,0.40423,0.96803,0.91503,0.84651,0.90731,0.70305,0.68771,0.389,0.99262,0.000967493,0.000967493,0.000967493
31,6062.7,0.65307,0.396,0.96994,0.92519,0.84724,0.91855,0.71821,0.67781,0.39023,0.99079,0.000965239,0.000965239,0.000965239
32,6256.99,0.64983,0.39413,0.96272,0.87521,0.85211,0.89907,0.69596,0.68422,0.38356,0.99422,0.000962913,0.000962913,0.000962913
33,6451.56,0.64081,0.38551,0.95809,0.91401,0.84978,0.91549,0.7139,0.67373,0.37726,0.985,0.000960515,0.000960515,0.000960515
34,6645.22,0.64299,0.39009,0.95997,0.87516,0.86356,0.90376,0.71265,0.67519,0.37506,0.98847,0.000958044,0.000958044,0.000958044
35,6840.69,0.6359,0.38418,0.95359,0.87066,0.88178,0.91206,0.71838,0.66279,0.36951,0.97529,0.000955502,0.000955502,0.000955502
36,7034.59,0.62637,0.37693,0.94846,0.86588,0.89393,0.91457,0.72073,0.67035,0.36879,0.98156,0.000952889,0.000952889,0.000952889
37,7227.89,0.62413,0.37645,0.94567,0.88959,0.87388,0.89978,0.71672,0.66811,0.36706,0.97859,0.000950206,0.000950206,0.000950206
38,7422.93,0.62035,0.37471,0.94542,0.90943,0.84714,0.91064,0.72031,0.66736,0.3661,0.98409,0.000947452,0.000947452,0.000947452
39,7617.93,0.61352,0.36675,0.9461,0.89321,0.87176,0.90576,0.71918,0.66103,0.36364,0.97949,0.000944628,0.000944628,0.000944628
40,7814.11,0.61117,0.36713,0.94262,0.89106,0.86842,0.91147,0.72336,0.65736,0.3576,0.97449,0.000941734,0.000941734,0.000941734
41,8008.89,0.60368,0.36233,0.93777,0.90637,0.88105,0.91756,0.72642,0.6511,0.35765,0.96889,0.000938772,0.000938772,0.000938772
42,8204.11,0.60019,0.35937,0.93597,0.8994,0.89898,0.92339,0.73275,0.64496,0.35243,0.97185,0.000935741,0.000935741,0.000935741
43,8399.14,0.59537,0.35534,0.93262,0.87436,0.88399,0.91787,0.73326,0.64742,0.35499,0.97079,0.000932642,0.000932642,0.000932642
44,8596.75,0.59728,0.3585,0.93481,0.89258,0.8959,0.91348,0.73314,0.63556,0.35182,0.96368,0.000929476,0.000929476,0.000929476
45,8791.89,0.5858,0.34974,0.92932,0.89405,0.89009,0.92295,0.7364,0.63835,0.34613,0.9709,0.000926242,0.000926242,0.000926242
46,8987.08,0.58488,0.34627,0.9271,0.90509,0.87902,0.92092,0.74014,0.64242,0.34903,0.96908,0.000922942,0.000922942,0.000922942
47,9180.91,0.58173,0.34656,0.92996,0.89927,0.88241,0.90861,0.73286,0.63121,0.34195,0.96385,0.000919576,0.000919576,0.000919576
48,9376.04,0.57842,0.34273,0.92486,0.92054,0.87475,0.92018,0.74408,0.62632,0.33724,0.95709,0.000916145,0.000916145,0.000916145
49,9571.09,0.56989,0.33859,0.9207,0.91519,0.8819,0.91866,0.74526,0.62303,0.33404,0.96279,0.000912649,0.000912649,0.000912649
50,9766.11,0.57091,0.33719,0.92226,0.91352,0.86386,0.91387,0.74326,0.62551,0.33811,0.96292,0.000909088,0.000909088,0.000909088
51,9960.99,0.56951,0.33717,0.92258,0.89494,0.88823,0.91863,0.74294,0.62144,0.33776,0.95487,0.000905463,0.000905463,0.000905463
52,10157.6,0.55736,0.32891,0.91626,0.90976,0.90301,0.92624,0.75261,0.62027,0.33178,0.96055,0.000901776,0.000901776,0.000901776
53,10352.4,0.56272,0.33299,0.91764,0.91005,0.87967,0.92255,0.75035,0.61568,0.33506,0.95755,0.000898025,0.000898025,0.000898025
54,10547.2,0.5526,0.32643,0.91194,0.90584,0.89572,0.92168,0.74595,0.61489,0.32668,0.9534,0.000894213,0.000894213,0.000894213
55,10743.1,0.55023,0.32534,0.91041,0.91111,0.86758,0.91899,0.74601,0.61182,0.33224,0.95191,0.000890339,0.000890339,0.000890339
56,10938,0.54932,0.32345,0.90892,0.92198,0.86973,0.92605,0.75855,0.60787,0.32734,0.95165,0.000886404,0.000886404,0.000886404
57,11132.7,0.5457,0.32141,0.90511,0.89874,0.89999,0.9298,0.75431,0.60698,0.32293,0.94899,0.000882409,0.000882409,0.000882409
58,11327.7,0.54306,0.31932,0.90467,0.90885,0.89019,0.93294,0.75634,0.60496,0.32543,0.94876,0.000878354,0.000878354,0.000878354
59,11523.6,0.53935,0.3168,0.90507,0.94523,0.87458,0.92623,0.75555,0.60516,0.32363,0.95273,0.000874241,0.000874241,0.000874241
60,11718,0.53696,0.31738,0.90206,0.91491,0.8846,0.92949,0.75419,0.60796,0.32208,0.95299,0.000870069,0.000870069,0.000870069
