epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.307,1.19099,1.42384,1.15819,0.67631,0.73494,0.75213,0.49073,1.01797,0.63945,1.02641,0.00331551,0.00331551,0.00331551
2,383.726,1.03879,0.71387,1.06155,0.78447,0.76654,0.82114,0.55798,1.0034,0.60986,1.03707,0.00662251,0.00662251,0.00662251
3,573.116,1.05208,0.71563,1.079,0.74114,0.60139,0.69479,0.451,1.09379,0.71263,1.10652,0.00990312,0.00990312,0.00990312
4,762.018,1.08409,0.72816,1.1,0.7546,0.66051,0.73982,0.49744,1.06561,0.66834,1.09564,0.0098812,0.0098812,0.0098812
5,950.474,1.03552,0.68465,1.0897,0.83778,0.70184,0.7789,0.54112,0.98032,0.60923,1.05653,0.0098416,0.0098416,0.0098416
6,1139.65,0.99044,0.64467,1.07582,0.81326,0.76704,0.82572,0.56657,0.96743,0.58608,1.0642,0.009802,0.009802,0.009802
7,1328.5,0.96101,0.61676,1.06273,0.84251,0.75382,0.81905,0.57983,0.90793,0.57768,1.03506,0.0097624,0.0097624,0.0097624
8,1517.5,0.94264,0.59606,1.0512,0.76849,0.76084,0.8053,0.57012,0.89855,0.56214,1.04768,0.0097228,0.0097228,0.0097228
9,1705.99,0.9013,0.56429,1.03723,0.84346,0.78574,0.85747,0.61016,0.88997,0.53822,1.02761,0.0096832,0.0096832,0.0096832
10,1895.04,0.8859,0.55106,1.02671,0.80826,0.79386,0.85016,0.62175,0.877,0.5144,1.02685,0.0096436,0.0096436,0.0096436
11,2083.69,0.8578,0.52764,1.01792,0.82848,0.83053,0.87647,0.6344,0.8449,0.50617,1.01986,0.009604,0.009604,0.009604
12,2272.49,0.84628,0.51907,1.01346,0.84275,0.83499,0.87569,0.64428,0.82869,0.47717,1.00987,0.0095644,0.0095644,0.0095644
13,2461.24,0.83226,0.50747,1.00822,0.88786,0.77917,0.85985,0.63096,0.82949,0.48681,1.00579,0.0095248,0.0095248,0.0095248
14,2649.97,0.81352,0.49406,1.00147,0.82535,0.85445,0.88162,0.6544,0.80634,0.46074,0.99074,0.0094852,0.0094852,0.0094852
15,2838.84,0.79875,0.48468,0.99123,0.88086,0.8259,0.89268,0.67678,0.80054,0.46216,1.00153,0.0094456,0.0094456,0.0094456
16,3028.01,0.78576,0.47354,0.98771,0.83613,0.82112,0.86905,0.65168,0.79229,0.4502,0.98819,0.009406,0.009406,0.009406
17,3216.45,0.77187,0.4663,0.97774,0.88911,0.80883,0.88307,0.66824,0.76239,0.44086,0.98326,0.0093664,0.0093664,0.0093664
18,3405.13,0.76395,0.45522,0.97941,0.8696,0.84267,0.90048,0.68895,0.75926,0.4203,0.9741,0.0093268,0.0093268,0.0093268
19,3596.07,0.74543,0.44639,0.96898,0.86162,0.84242,0.87605,0.67064,0.75949,0.42462,0.97065,0.0092872,0.0092872,0.0092872
20,3785.17,0.7426,0.44071,0.96733,0.88762,0.84593,0.89914,0.69102,0.74777,0.41647,0.96863,0.0092476,0.0092476,0.0092476
21,3974.02,0.73375,0.43521,0.96434,0.87341,0.85378,0.90585,0.69563,0.74288,0.41266,0.96317,0.009208,0.009208,0.009208
22,4162.72,0.72188,0.42625,0.95889,0.86483,0.87264,0.91329,0.70345,0.73802,0.40868,0.97116,0.0091684,0.0091684,0.0091684
23,4351.45,0.71373,0.42169,0.95885,0.87718,0.86804,0.89847,0.70494,0.72467,0.39648,0.96313,0.0091288,0.0091288,0.0091288
24,4540.27,0.70702,0.4146,0.95168,0.88877,0.8623,0.90306,0.70213,0.71932,0.38959,0.96366,0.0090892,0.0090892,0.0090892
25,4728.82,0.69255,0.40816,0.94804,0.89995,0.86337,0.90887,0.71025,0.71842,0.38857,0.96299,0.0090496,0.0090496,0.0090496
26,4917.97,0.69006,0.40296,0.9462,0.90584,0.8686,0.91176,0.70534,0.72481,0.38667,0.96005,0.00901,0.00901,0.00901
27,5107.69,0.68245,0.39928,0.94186,0.90422,0.85004,0.91408,0.71729,0.70406,0.3846,0.95748,0.0089704,0.0089704,0.0089704
28,5296.36,0.67782,0.39777,0.94106,0.87786,0.87169,0.90724,0.70865,0.7048,0.38204,0.95508,0.0089308,0.0089308,0.0089308
29,5484.85,0.66713,0.39018,0.9344,0.88832,0.86493,0.91132,0.71595,0.71422,0.39273,0.95632,0.0088912,0.0088912,0.0088912
30,5673.73,0.66182,0.38742,0.92976,0.90112,0.85741,0.91295,0.72153,0.70116,0.3769,0.94496,0.0088516,0.0088516,0.0088516
31,5863.08,0.65514,0.38083,0.93074,0.89833,0.87127,0.92416,0.73486,0.68612,0.36722,0.94216,0.008812,0.008812,0.008812
32,6051.92,0.64787,0.37634,0.92538,0.87201,0.89187,0.92162,0.73175,0.68489,0.36545,0.94444,0.0087724,0.0087724,0.0087724
33,6240.87,0.64427,0.37415,0.92693,0.90134,0.87431,0.91854,0.73024,0.68792,0.36839,0.95356,0.0087328,0.0087328,0.0087328
34,6429.56,0.64161,0.37302,0.92482,0.9004,0.87812,0.92486,0.73688,0.68006,0.36577,0.94594,0.0086932,0.0086932,0.0086932
35,6619.92,0.63329,0.36956,0.91839,0.89559,0.88092,0.9266,0.7387,0.682,0.36609,0.93344,0.0086536,0.0086536,0.0086536
36,6809.62,0.62787,0.36364,0.9172,0.89731,0.88239,0.92352,0.74176,0.67355,0.35918,0.93692,0.008614,0.008614,0.008614
37,6998.78,0.62298,0.36161,0.91378,0.9014,0.88248,0.92074,0.7389,0.66731,0.35393,0.93839,0.0085744,0.0085744,0.0085744
38,7187.48,0.62112,0.35839,0.91307,0.89791,0.8933,0.92411,0.74545,0.66143,0.35368,0.93599,0.0085348,0.0085348,0.0085348
39,7376.66,0.61587,0.35535,0.91513,0.90274,0.89021,0.92145,0.74242,0.66127,0.35005,0.94112,0.0084952,0.0084952,0.0084952
40,7565.74,0.61156,0.35182,0.9127,0.8963,0.90994,0.92857,0.7465,0.66219,0.35081,0.93597,0.0084556,0.0084556,0.0084556
41,7755.77,0.60706,0.35095,0.91005,0.92029,0.88458,0.92558,0.75092,0.65301,0.34561,0.9375,0.008416,0.008416,0.008416
42,7944.73,0.59991,0.3467,0.90828,0.90609,0.88668,0.93133,0.7528,0.6607,0.34885,0.93779,0.0083764,0.0083764,0.0083764
43,8134.17,0.59588,0.34352,0.90501,0.894,0.91679,0.93112,0.75383,0.6517,0.3428,0.93412,0.0083368,0.0083368,0.0083368
44,8323.32,0.60114,0.34772,0.90585,0.91176,0.89888,0.93346,0.75249,0.64443,0.34175,0.92763,0.0082972,0.0082972,0.0082972
45,8513.2,0.58734,0.33884,0.90199,0.90323,0.86775,0.92662,0.75513,0.64408,0.34234,0.93203,0.0082576,0.0082576,0.0082576
46,8702.06,0.58316,0.33553,0.89781,0.90303,0.90499,0.92645,0.75504,0.64435,0.33812,0.9311,0.008218,0.008218,0.008218
47,8890.63,0.57999,0.33197,0.89931,0.89064,0.89232,0.9258,0.75114,0.6412,0.33061,0.92963,0.0081784,0.0081784,0.0081784
48,9079.23,0.58124,0.33172,0.89934,0.92279,0.89472,0.93722,0.7705,0.6398,0.33091,0.92693,0.0081388,0.0081388,0.0081388
49,9268.4,0.57154,0.32988,0.89453,0.91733,0.90247,0.9228,0.75994,0.63253,0.32714,0.92421,0.0080992,0.0080992,0.0080992
50,9457.02,0.56845,0.32683,0.89284,0.91294,0.89215,0.92601,0.75978,0.63043,0.32619,0.92675,0.0080596,0.0080596,0.0080596
