epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.415,1.18537,1.29776,1.17681,0.70042,0.70515,0.764,0.51962,0.99975,0.61255,1.05308,0.00331551,0.00331551,0.00331551
2,380.666,1.03085,0.70503,1.07666,0.75665,0.7325,0.78066,0.53417,0.98809,0.71697,1.03944,0.00662251,0.00662251,0.00662251
3,569.423,1.05482,0.70465,1.0822,0.68946,0.62368,0.67431,0.44448,1.06889,0.70686,1.09767,0.00990312,0.00990312,0.00990312
4,758.296,1.07837,0.72923,1.11111,0.74166,0.711,0.76291,0.49734,1.05351,0.6566,1.11119,0.0098812,0.0098812,0.0098812
5,946.773,1.03381,0.68161,1.10046,0.7909,0.73246,0.79108,0.53917,0.98574,0.61518,1.07715,0.0098416,0.0098416,0.0098416
6,1135.37,0.99322,0.64476,1.08416,0.80072,0.73133,0.80663,0.54651,0.99372,0.62089,1.08646,0.009802,0.009802,0.009802
7,1324.1,0.96828,0.61831,1.07609,0.82484,0.74262,0.81307,0.57596,0.94258,0.62193,1.08139,0.0097624,0.0097624,0.0097624
8,1512.73,0.93857,0.58916,1.05703,0.84479,0.76021,0.83741,0.6046,0.88878,0.53246,1.04426,0.0097228,0.0097228,0.0097228
9,1701.44,0.90171,0.5636,1.04607,0.81662,0.79006,0.84806,0.60955,0.87112,0.52686,1.03458,0.0096832,0.0096832,0.0096832
10,1890.15,0.88401,0.54625,1.03568,0.80364,0.81725,0.86442,0.61111,0.86804,0.53335,1.03301,0.0096436,0.0096436,0.0096436
11,2079,0.85821,0.52604,1.02608,0.83527,0.79043,0.86073,0.6313,0.85613,0.50953,1.02435,0.009604,0.009604,0.009604
12,2267.95,0.8481,0.51905,1.02046,0.84552,0.82857,0.86697,0.64545,0.82091,0.47874,1.01207,0.0095644,0.0095644,0.0095644
13,2456.7,0.8317,0.50937,1.01413,0.86541,0.80879,0.87945,0.64998,0.82158,0.48999,1.00947,0.0095248,0.0095248,0.0095248
14,2645.52,0.81431,0.4924,1.00867,0.85173,0.8169,0.87383,0.65397,0.7993,0.44749,1.00468,0.0094852,0.0094852,0.0094852
15,2834.55,0.80205,0.48478,1.00054,0.84318,0.83954,0.88565,0.66821,0.78849,0.45076,0.99507,0.0094456,0.0094456,0.0094456
16,3023.06,0.78638,0.47193,0.9964,0.8533,0.85914,0.90227,0.67552,0.79108,0.45182,0.99375,0.009406,0.009406,0.009406
17,3211.79,0.77395,0.46392,0.98742,0.87508,0.81843,0.88932,0.66937,0.77463,0.43276,0.99277,0.0093664,0.0093664,0.0093664
18,3400.55,0.76479,0.45403,0.98507,0.85561,0.84202,0.89414,0.68398,0.76765,0.42247,0.98914,0.0093268,0.0093268,0.0093268
19,3589.31,0.75336,0.44626,0.98083,0.87211,0.85745,0.89394,0.68203,0.7627,0.41858,0.98503,0.0092872,0.0092872,0.0092872
20,3777.52,0.74638,0.44109,0.97633,0.88977,0.84091,0.90196,0.70495,0.74113,0.40531,0.98047,0.0092476,0.0092476,0.0092476
21,3966.34,0.7352,0.43342,0.97271,0.8679,0.85395,0.90222,0.69104,0.74462,0.40507,0.97402,0.009208,0.009208,0.009208
22,4154.82,0.72215,0.42328,0.96896,0.88272,0.84861,0.90792,0.69692,0.74709,0.41255,0.98047,0.0091684,0.0091684,0.0091684
23,4343.1,0.71635,0.42024,0.96358,0.90107,0.83752,0.90634,0.70652,0.72997,0.39279,0.96655,0.0091288,0.0091288,0.0091288
24,4531.82,0.70482,0.41258,0.96063,0.91472,0.84762,0.91092,0.71375,0.71726,0.3874,0.97233,0.0090892,0.0090892,0.0090892
25,4720.58,0.69323,0.40605,0.95681,0.89526,0.88226,0.92258,0.73339,0.7187,0.38216,0.97122,0.0090496,0.0090496,0.0090496
26,4909.08,0.6906,0.40251,0.95681,0.887,0.87244,0.91747,0.71587,0.71572,0.38233,0.97792,0.00901,0.00901,0.00901
27,5097.35,0.6852,0.39526,0.95228,0.881,0.85185,0.90743,0.71103,0.70557,0.3789,0.96511,0.0089704,0.0089704,0.0089704
28,5286.1,0.67805,0.39416,0.95035,0.88012,0.90225,0.92352,0.72498,0.70475,0.36992,0.96378,0.0089308,0.0089308,0.0089308
29,5474.94,0.66728,0.38783,0.94441,0.88942,0.87457,0.92133,0.71117,0.71246,0.38175,0.97202,0.0088912,0.0088912,0.0088912
30,5663.26,0.66259,0.3823,0.9421,0.92108,0.88303,0.9354,0.74282,0.69256,0.36793,0.96048,0.0088516,0.0088516,0.0088516
31,5851.9,0.65522,0.37817,0.93818,0.89893,0.87122,0.91581,0.73026,0.69292,0.37166,0.95522,0.008812,0.008812,0.008812
32,6040.2,0.64803,0.37361,0.93232,0.91255,0.89302,0.93017,0.7359,0.68756,0.36204,0.95006,0.0087724,0.0087724,0.0087724
33,6228.6,0.64376,0.37063,0.93278,0.90793,0.87938,0.91997,0.73813,0.68316,0.35632,0.95815,0.0087328,0.0087328,0.0087328
34,6416.77,0.6381,0.37085,0.93137,0.92309,0.87068,0.91973,0.74002,0.68372,0.36273,0.95201,0.0086932,0.0086932,0.0086932
35,6605.14,0.63229,0.3666,0.92702,0.92316,0.87045,0.9253,0.74295,0.67352,0.35626,0.94906,0.0086536,0.0086536,0.0086536
36,6793.85,0.62857,0.36419,0.92282,0.88843,0.89678,0.9162,0.7388,0.67355,0.35558,0.94635,0.008614,0.008614,0.008614
37,6982.15,0.62085,0.35871,0.92085,0.88903,0.8773,0.9227,0.74415,0.67263,0.35175,0.95116,0.0085744,0.0085744,0.0085744
38,7170.75,0.61746,0.35615,0.91711,0.90067,0.89167,0.91633,0.74249,0.66566,0.35161,0.9431,0.0085348,0.0085348,0.0085348
39,7359.03,0.6122,0.3489,0.92055,0.91361,0.89609,0.9198,0.74153,0.66083,0.34472,0.94514,0.0084952,0.0084952,0.0084952
40,7547.75,0.60869,0.34729,0.91912,0.92411,0.88355,0.93053,0.75542,0.6576,0.3471,0.94678,0.0084556,0.0084556,0.0084556
41,7736.2,0.60444,0.34435,0.91734,0.90753,0.90571,0.92447,0.75377,0.66254,0.34591,0.94284,0.008416,0.008416,0.008416
42,7924.6,0.59825,0.34339,0.91279,0.90874,0.89853,0.93344,0.75793,0.64918,0.33466,0.94235,0.0083764,0.0083764,0.0083764
43,8113.64,0.59572,0.33918,0.91284,0.93094,0.89285,0.93721,0.75338,0.65617,0.34284,0.93737,0.0083368,0.0083368,0.0083368
44,8302.17,0.60025,0.34161,0.90864,0.90193,0.89811,0.93153,0.76066,0.64868,0.33896,0.93637,0.0082972,0.0082972,0.0082972
45,8490.84,0.58874,0.33685,0.90502,0.92018,0.9072,0.93727,0.75881,0.64659,0.33145,0.93461,0.0082576,0.0082576,0.0082576
46,8679.11,0.58196,0.33091,0.90346,0.9164,0.90014,0.93628,0.76041,0.64097,0.33436,0.93575,0.008218,0.008218,0.008218
47,8867.91,0.57778,0.32944,0.90107,0.90669,0.89961,0.9312,0.76,0.64293,0.33251,0.93417,0.0081784,0.0081784,0.0081784
48,9056.18,0.57829,0.33011,0.90443,0.90289,0.89713,0.93037,0.76814,0.63587,0.32849,0.93907,0.0081388,0.0081388,0.0081388
49,9244.88,0.56742,0.32625,0.90005,0.91547,0.90465,0.93056,0.75906,0.63389,0.32677,0.93536,0.0080992,0.0080992,0.0080992
50,9433.69,0.56876,0.32319,0.89635,0.91025,0.9096,0.93437,0.7589,0.63296,0.3252,0.92858,0.0080596,0.0080596,0.0080596
51,9622.13,0.56462,0.32161,0.89749,0.93182,0.90158,0.93592,0.76242,0.63199,0.32382,0.93078,0.00802,0.00802,0.00802
52,9810.53,0.55992,0.31769,0.89595,0.90561,0.90645,0.94252,0.77667,0.63228,0.32266,0.92917,0.0079804,0.0079804,0.0079804
53,9999.16,0.56107,0.32032,0.89716,0.92353,0.91606,0.94171,0.76597,0.63236,0.32168,0.93593,0.0079408,0.0079408,0.0079408
54,10188,0.55143,0.31364,0.88935,0.92657,0.90218,0.93232,0.7656,0.62614,0.32099,0.92796,0.0079012,0.0079012,0.0079012
55,10376.3,0.55269,0.31488,0.89413,0.90444,0.92088,0.93072,0.76752,0.62365,0.3182,0.92484,0.0078616,0.0078616,0.0078616
56,10564.5,0.55147,0.31271,0.88899,0.93088,0.89552,0.93276,0.76988,0.62361,0.31796,0.92747,0.007822,0.007822,0.007822
57,10753.3,0.54798,0.31268,0.89105,0.9264,0.91456,0.9356,0.77238,0.61723,0.3138,0.93243,0.0077824,0.0077824,0.0077824
58,10941.6,0.54713,0.3103,0.89021,0.91402,0.92138,0.9359,0.77153,0.61686,0.31301,0.92473,0.0077428,0.0077428,0.0077428
59,11129.9,0.53903,0.30895,0.88433,0.92941,0.89785,0.9411,0.77691,0.61597,0.31203,0.92202,0.0077032,0.0077032,0.0077032
60,11318.5,0.53721,0.30476,0.88889,0.92182,0.90339,0.94571,0.78609,0.61351,0.31251,0.93197,0.0076636,0.0076636,0.0076636
61,11507.1,0.53736,0.30294,0.88744,0.92509,0.90257,0.9473,0.78637,0.61241,0.30872,0.93344,0.007624,0.007624,0.007624
62,11695.7,0.52922,0.30025,0.88699,0.91247,0.90357,0.93955,0.78175,0.61038,0.30917,0.93385,0.0075844,0.0075844,0.0075844
