epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.469,1.21127,1.08325,1.18782,0.51396,0.4621,0.4514,0.2788,1.19116,1.31173,1.24658,0.0671765,0.000331551,0.000331551
2,397.751,1.1628,0.86675,1.19186,0.58316,0.57004,0.60387,0.39605,1.1295,0.83539,1.19333,0.0341764,0.000664858,0.000664858
3,596.148,1.1233,0.8128,1.17591,0.50021,0.58909,0.52726,0.33997,1.10404,0.94125,1.18442,0.00117631,0.000998061,0.000998061
4,793.088,1.09837,0.76828,1.16501,0.70834,0.62319,0.6779,0.43279,1.06562,0.73332,1.1743,0.000999648,0.000999648,0.000999648
5,988.568,1.04745,0.71893,1.14342,0.68288,0.6684,0.71051,0.46984,1.045,0.67264,1.15129,0.000999375,0.000999375,0.000999375
6,1186.78,1.00288,0.67796,1.1184,0.7741,0.69915,0.76284,0.52739,0.98256,0.60893,1.12141,0.000999023,0.000999023,0.000999023
7,1384.94,0.9893,0.65225,1.11266,0.75283,0.68936,0.7557,0.53238,0.93646,0.61469,1.10237,0.000998594,0.000998594,0.000998594
8,1582.91,0.95747,0.61979,1.09626,0.8099,0.70493,0.77422,0.54329,0.91277,0.57602,1.08904,0.000998086,0.000998086,0.000998086
9,1780.11,0.92967,0.59472,1.08527,0.80055,0.76204,0.81928,0.57412,0.90865,0.56093,1.08347,0.000997501,0.000997501,0.000997501
10,1977.26,0.91036,0.57968,1.07261,0.74835,0.7705,0.80617,0.58353,0.88175,0.54535,1.07697,0.000996838,0.000996838,0.000996838
11,2177.4,0.88357,0.55415,1.06229,0.83738,0.75412,0.82239,0.60211,0.87061,0.5178,1.07105,0.000996097,0.000996097,0.000996097
12,2373.8,0.87438,0.54601,1.0551,0.79279,0.79167,0.83361,0.60869,0.8619,0.51539,1.05993,0.000995278,0.000995278,0.000995278
