epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.815,1.24178,1.56174,1.15796,0.45199,0.50944,0.41594,0.24652,1.18188,1.32856,1.11749,0.0671765,0.000331551,0.000331551
2,211.431,1.12168,0.96779,1.11523,0.58004,0.55053,0.55529,0.34231,1.10956,0.91802,1.09351,0.0341764,0.000664858,0.000664858
3,317.312,1.08419,0.891,1.10113,0.69426,0.53621,0.59293,0.36916,1.04751,0.84213,1.06981,0.00117631,0.000998061,0.000998061
4,422.101,1.05839,0.84784,1.09286,0.7626,0.59435,0.68246,0.43298,1.04722,0.79737,1.05873,0.000999648,0.000999648,0.000999648
5,526.439,1.02502,0.79987,1.07904,0.65005,0.60061,0.66996,0.42792,1.02781,0.77577,1.05534,0.000999375,0.000999375,0.000999375
6,631.03,1.00741,0.76681,1.06905,0.70695,0.66068,0.68843,0.45368,0.97345,0.70451,1.02645,0.000999023,0.000999023,0.000999023
7,736.516,0.98917,0.74321,1.06131,0.73323,0.67141,0.73483,0.47051,0.98829,0.72117,1.04518,0.000998594,0.000998594,0.000998594
8,840.701,0.97266,0.72607,1.05022,0.81795,0.66683,0.75507,0.49611,0.95071,0.68466,1.01976,0.000998086,0.000998086,0.000998086
9,946.286,0.95559,0.69919,1.04332,0.7468,0.66024,0.73842,0.49032,0.95258,0.68386,1.02115,0.000997501,0.000997501,0.000997501
10,1050.63,0.94669,0.68945,1.0384,0.72732,0.69745,0.73577,0.4964,0.92418,0.64647,1.01394,0.000996838,0.000996838,0.000996838
11,1155.26,0.93115,0.66458,1.02949,0.80784,0.71255,0.78741,0.54027,0.91177,0.62715,1.00008,0.000996097,0.000996097,0.000996097
12,1260.55,0.92432,0.66024,1.028,0.76404,0.72959,0.79461,0.55044,0.89328,0.61052,0.99281,0.000995278,0.000995278,0.000995278
13,1365.8,0.91557,0.64925,1.02533,0.78369,0.74156,0.79766,0.54072,0.90194,0.61587,0.99736,0.000994383,0.000994383,0.000994383
14,1470.74,0.89941,0.63329,1.01666,0.8151,0.75834,0.82371,0.56977,0.8788,0.5911,0.99093,0.00099341,0.00099341,0.00099341
15,1576.2,0.89101,0.62858,1.01403,0.78724,0.75914,0.80697,0.56597,0.87858,0.58335,0.9892,0.000992359,0.000992359,0.000992359
16,1680.83,0.88586,0.61926,1.01349,0.82643,0.74076,0.81613,0.56681,0.90383,0.6059,0.99872,0.000991232,0.000991232,0.000991232
