epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.402,1.26052,2.37936,1.16162,0.60949,0.43803,0.44047,0.27599,1.10433,1.07799,1.04912,0.00331551,0.00331551,0.00331551
2,213.829,1.13611,1.44398,1.09592,0.7081,0.51897,0.56926,0.35962,1.06932,0.92767,1.046,0.00662251,0.00662251,0.00662251
3,320.496,1.13361,1.2439,1.1018,0.58809,0.4792,0.52069,0.31506,1.13531,0.99976,1.09122,0.00990312,0.00990312,0.00990312
4,426.948,1.13224,1.06645,1.10946,0.53008,0.58204,0.56071,0.34334,1.05766,0.9212,1.06651,0.0098812,0.0098812,0.0098812
5,532.263,1.0858,0.92155,1.09734,0.65987,0.54783,0.64311,0.3994,1.06989,0.82163,1.08524,0.0098416,0.0098416,0.0098416
6,637.844,1.05524,0.85585,1.08262,0.67526,0.62673,0.68335,0.44691,1.01272,0.77799,1.04562,0.009802,0.009802,0.009802
7,744.42,1.03402,0.80903,1.07568,0.69817,0.62697,0.68264,0.43469,0.99288,0.80863,1.05156,0.0097624,0.0097624,0.0097624
8,850.903,1.01354,0.77735,1.06358,0.71709,0.65183,0.69849,0.45293,0.9881,0.71779,1.03738,0.0097228,0.0097228,0.0097228
9,957.571,0.98782,0.74535,1.05172,0.76303,0.69091,0.75949,0.50088,0.98022,0.70252,1.02779,0.0096832,0.0096832,0.0096832
10,1064.87,0.97578,0.72879,1.0458,0.67976,0.69874,0.74291,0.49085,0.96087,0.68224,1.02731,0.0096436,0.0096436,0.0096436
11,1171.47,0.95497,0.69739,1.03678,0.71249,0.75516,0.7736,0.52713,0.92884,0.65907,1.01318,0.009604,0.009604,0.009604
12,1278.33,0.94649,0.69241,1.03447,0.76672,0.71333,0.78331,0.53208,0.91302,0.62708,1.00098,0.0095644,0.0095644,0.0095644
13,1385.4,0.93705,0.67616,1.03056,0.77386,0.73821,0.79077,0.53003,0.9237,0.63946,1.00888,0.0095248,0.0095248,0.0095248
14,1491.84,0.91799,0.66033,1.0212,0.79341,0.74327,0.7967,0.54507,0.90104,0.60467,0.997,0.0094852,0.0094852,0.0094852
15,1598.42,0.9119,0.65271,1.01935,0.77939,0.77177,0.81499,0.55416,0.90851,0.61228,1.00249,0.0094456,0.0094456,0.0094456
16,1703.78,0.9039,0.64227,1.01556,0.81435,0.77123,0.81582,0.55939,0.87635,0.5867,0.98828,0.009406,0.009406,0.009406
17,1810.03,0.89357,0.63209,1.00797,0.82012,0.73567,0.81872,0.56728,0.86327,0.57696,0.97858,0.0093664,0.0093664,0.0093664
18,1916.92,0.88589,0.62191,1.00651,0.80947,0.75167,0.82045,0.57724,0.86714,0.56318,0.98024,0.0093268,0.0093268,0.0093268
19,2023.56,0.87352,0.61218,1.0021,0.81207,0.75835,0.82407,0.58135,0.85111,0.55612,0.96931,0.0092872,0.0092872,0.0092872
20,2129.26,0.87334,0.60752,0.99872,0.79072,0.78951,0.83599,0.59279,0.84036,0.54833,0.96723,0.0092476,0.0092476,0.0092476
21,2235.57,0.86555,0.60284,0.99599,0.81322,0.76003,0.81941,0.58008,0.84702,0.55494,0.96641,0.009208,0.009208,0.009208
22,2339.42,0.85796,0.59174,0.99274,0.83151,0.76911,0.83903,0.60071,0.83184,0.55995,0.96484,0.0091684,0.0091684,0.0091684
23,2445.44,0.85279,0.58968,0.99223,0.85698,0.73565,0.8348,0.6101,0.8141,0.52485,0.95241,0.0091288,0.0091288,0.0091288
24,2550.61,0.84304,0.57694,0.9856,0.87558,0.76568,0.8544,0.60671,0.82676,0.53352,0.96077,0.0090892,0.0090892,0.0090892
25,2655.06,0.83575,0.57434,0.98369,0.84356,0.79614,0.84724,0.60648,0.81442,0.5215,0.95447,0.0090496,0.0090496,0.0090496
26,2760.02,0.83507,0.57023,0.98534,0.83926,0.76731,0.8442,0.60917,0.82155,0.52951,0.96115,0.00901,0.00901,0.00901
27,2865.15,0.82933,0.56344,0.98185,0.8706,0.77322,0.85699,0.62378,0.79809,0.5157,0.9492,0.0089704,0.0089704,0.0089704
28,2969.82,0.82437,0.56323,0.97642,0.84416,0.78676,0.86535,0.62931,0.80191,0.51162,0.94858,0.0089308,0.0089308,0.0089308
29,3075.02,0.81743,0.55297,0.9768,0.78968,0.79069,0.84081,0.61585,0.79978,0.52219,0.94789,0.0088912,0.0088912,0.0088912
30,3178.92,0.81086,0.5492,0.97279,0.8655,0.81855,0.87852,0.63512,0.789,0.50439,0.93793,0.0088516,0.0088516,0.0088516
