epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.891,1.39623,1.4865,1.15701,0.43342,0.49251,0.42736,0.25264,1.34934,1.20374,1.11418,0.0671765,0.000331551,0.000331551
2,215.675,1.2314,0.97273,1.10909,0.6305,0.5353,0.58121,0.3614,1.17597,0.88427,1.07402,0.0341764,0.000664858,0.000664858
3,323.598,1.19274,0.89142,1.09527,0.72948,0.51982,0.57387,0.35156,1.23322,0.88659,1.09881,0.00117631,0.000998061,0.000998061
4,431.087,1.16403,0.85466,1.08982,0.74231,0.59472,0.68753,0.42354,1.08901,0.78783,1.04433,0.000999648,0.000999648,0.000999648
5,538.222,1.12116,0.79911,1.07446,0.74561,0.61261,0.69833,0.44482,1.08744,0.75654,1.05255,0.000999375,0.000999375,0.000999375
6,645.027,1.09043,0.77191,1.06285,0.76423,0.62213,0.69572,0.44306,1.08405,0.72556,1.03965,0.000999023,0.000999023,0.000999023
7,753.859,1.07246,0.74769,1.05455,0.72362,0.66725,0.73341,0.48423,1.04656,0.69684,1.03546,0.000998594,0.000998594,0.000998594
8,860.362,1.05229,0.72403,1.04431,0.72144,0.64253,0.70065,0.46453,1.03827,0.76494,1.02263,0.000998086,0.000998086,0.000998086
9,968.79,1.03231,0.70188,1.03691,0.7848,0.72463,0.7952,0.53216,1.00032,0.65472,1.00498,0.000997501,0.000997501,0.000997501
10,1075,1.01656,0.68673,1.03078,0.73754,0.69228,0.76225,0.51881,0.99993,0.65145,1.0091,0.000996838,0.000996838,0.000996838
11,1183.47,0.99736,0.66206,1.02271,0.80294,0.72711,0.80354,0.53934,0.98872,0.63412,1.00495,0.000996097,0.000996097,0.000996097
12,1291.58,0.995,0.65977,1.02227,0.75462,0.74593,0.79499,0.54724,0.94766,0.62157,0.98197,0.000995278,0.000995278,0.000995278
13,1399.33,0.9811,0.64943,1.01834,0.78924,0.7278,0.79012,0.55306,0.95204,0.6014,0.99093,0.000994383,0.000994383,0.000994383
14,1506.44,0.96407,0.63459,1.01017,0.77138,0.75267,0.81009,0.56846,0.94256,0.59762,0.98195,0.00099341,0.00099341,0.00099341
15,1614.74,0.95696,0.63018,1.00895,0.74119,0.68976,0.77587,0.53531,0.94749,0.601,0.98529,0.000992359,0.000992359,0.000992359
16,1722.04,0.95059,0.61945,1.00532,0.85225,0.74818,0.82619,0.58266,0.94165,0.58025,0.97539,0.000991232,0.000991232,0.000991232
17,1830.34,0.93692,0.60916,0.99556,0.81268,0.76624,0.83331,0.58199,0.92108,0.56535,0.96961,0.000990028,0.000990028,0.000990028
18,1937.82,0.92703,0.59941,0.99538,0.8382,0.79084,0.83836,0.59589,0.89816,0.54836,0.96225,0.000988748,0.000988748,0.000988748
19,2045.26,0.91785,0.59315,0.99176,0.84864,0.7831,0.85217,0.60867,0.90063,0.56378,0.96467,0.000987391,0.000987391,0.000987391
20,2152.22,0.91887,0.59276,0.99017,0.84695,0.77524,0.84797,0.59517,0.90888,0.55563,0.96711,0.000985958,0.000985958,0.000985958
21,2259.73,0.9096,0.58649,0.98728,0.8104,0.77608,0.83108,0.59814,0.88519,0.56959,0.95885,0.000984449,0.000984449,0.000984449
22,2366.61,0.89853,0.57594,0.98279,0.80953,0.75997,0.82172,0.58971,0.90378,0.542,0.96553,0.000982864,0.000982864,0.000982864
23,2474.76,0.89231,0.57346,0.9823,0.81459,0.79264,0.85352,0.61911,0.89719,0.53172,0.96418,0.000981204,0.000981204,0.000981204
24,2582.27,0.88833,0.56654,0.97776,0.83236,0.79181,0.85197,0.61104,0.85727,0.52008,0.94516,0.000979468,0.000979468,0.000979468
25,2689.85,0.87824,0.55617,0.97492,0.86433,0.78884,0.86196,0.62311,0.86353,0.52099,0.95023,0.000977658,0.000977658,0.000977658
26,2796.4,0.87422,0.55262,0.97388,0.80779,0.80947,0.84901,0.62262,0.85579,0.51889,0.94359,0.000975773,0.000975773,0.000975773
27,2905,0.86662,0.55053,0.97233,0.88128,0.76074,0.85053,0.61478,0.85298,0.52804,0.94832,0.000973814,0.000973814,0.000973814
28,3011.21,0.86865,0.55167,0.9691,0.85425,0.80833,0.88106,0.64721,0.83868,0.49667,0.9385,0.00097178,0.00097178,0.00097178
29,3117.71,0.85493,0.53981,0.96723,0.8655,0.7865,0.85766,0.62468,0.84916,0.51495,0.9443,0.000969673,0.000969673,0.000969673
30,3223.74,0.85334,0.54177,0.96604,0.84898,0.79206,0.86452,0.63442,0.84977,0.50902,0.94427,0.000967493,0.000967493,0.000967493
31,3329.96,0.84722,0.53039,0.96481,0.87659,0.818,0.88857,0.65626,0.83084,0.49473,0.93948,0.000965239,0.000965239,0.000965239
32,3435.67,0.84249,0.52684,0.95912,0.86172,0.81067,0.88062,0.65206,0.81736,0.4829,0.93353,0.000962913,0.000962913,0.000962913
