epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.352,1.26465,2.28073,1.16426,0.63412,0.41619,0.45148,0.28128,1.09982,1.07659,1.04246,0.00331551,0.00331551,0.00331551
2,216.756,1.13692,1.44349,1.09577,0.60929,0.56567,0.61142,0.38674,1.03689,0.89842,1.02747,0.00662251,0.00662251,0.00662251
3,326.989,1.13318,1.24856,1.09899,0.59268,0.49378,0.55273,0.3329,1.10703,1.08406,1.09193,0.00990312,0.00990312,0.00990312
4,433.413,1.13088,1.06538,1.10795,0.61767,0.60234,0.61786,0.36889,1.11878,0.93409,1.09953,0.0098812,0.0098812,0.0098812
5,539.937,1.08639,0.91743,1.09457,0.66322,0.65538,0.69972,0.44282,1.04013,0.79946,1.05368,0.0098416,0.0098416,0.0098416
6,646.187,1.05017,0.85284,1.07787,0.64438,0.60564,0.62753,0.39668,1.02924,0.8016,1.05242,0.009802,0.009802,0.009802
7,752.695,1.03065,0.80993,1.07093,0.72751,0.6019,0.69804,0.44029,0.99181,0.7893,1.04823,0.0097624,0.0097624,0.0097624
8,858.186,1.01122,0.77556,1.05844,0.72693,0.6339,0.72804,0.47355,0.98101,0.71533,1.03059,0.0097228,0.0097228,0.0097228
9,963.834,0.98909,0.74453,1.05073,0.75583,0.67499,0.75037,0.48092,0.96478,0.70807,1.03285,0.0096832,0.0096832,0.0096832
10,1070.07,0.97688,0.72374,1.04228,0.73724,0.69363,0.74388,0.49238,0.95449,0.65949,1.01844,0.0096436,0.0096436,0.0096436
11,1175.52,0.95377,0.69534,1.03264,0.79532,0.683,0.78165,0.53151,0.93216,0.6591,1.00836,0.009604,0.009604,0.009604
12,1281.68,0.94874,0.69217,1.03266,0.72285,0.7359,0.7755,0.51432,0.92329,0.65784,1.00981,0.0095644,0.0095644,0.0095644
13,1386.79,0.93664,0.67846,1.02699,0.8016,0.71323,0.79434,0.53913,0.91131,0.62542,0.99402,0.0095248,0.0095248,0.0095248
14,1493.52,0.92042,0.6589,1.02136,0.81879,0.73969,0.82084,0.5744,0.88283,0.59733,0.98592,0.0094852,0.0094852,0.0094852
15,1599.76,0.91363,0.65051,1.01679,0.79976,0.73879,0.80304,0.55977,0.89403,0.60491,0.9896,0.0094456,0.0094456,0.0094456
16,1704.4,0.90458,0.64128,1.01266,0.80902,0.74086,0.8044,0.55203,0.89499,0.61491,0.99091,0.009406,0.009406,0.009406
17,1810.7,0.89389,0.62899,1.00386,0.79434,0.72752,0.80187,0.56279,0.86012,0.59256,0.97239,0.0093664,0.0093664,0.0093664
18,1915.89,0.88834,0.62169,1.00441,0.83246,0.73728,0.82386,0.57614,0.86137,0.56414,0.97271,0.0093268,0.0093268,0.0093268
19,2021.04,0.87458,0.60983,0.99938,0.78961,0.76692,0.8116,0.57315,0.86455,0.55916,0.97594,0.0092872,0.0092872,0.0092872
20,2126.16,0.87546,0.60833,0.9981,0.80708,0.80727,0.84626,0.60116,0.83495,0.54525,0.95969,0.0092476,0.0092476,0.0092476
21,2231.31,0.86563,0.59937,0.99321,0.82383,0.78602,0.84782,0.6053,0.8499,0.5507,0.96052,0.009208,0.009208,0.009208
22,2337.24,0.85929,0.59078,0.98955,0.85995,0.78985,0.85737,0.62145,0.82428,0.53097,0.9574,0.0091684,0.0091684,0.0091684
23,2442.88,0.85018,0.58337,0.98727,0.8356,0.80548,0.85574,0.6209,0.82096,0.53256,0.95253,0.0091288,0.0091288,0.0091288
24,2548.54,0.84388,0.57616,0.98336,0.85032,0.77288,0.84813,0.61659,0.82024,0.52223,0.95644,0.0090892,0.0090892,0.0090892
25,2653.95,0.83282,0.56891,0.97878,0.80274,0.81021,0.83079,0.60522,0.81743,0.52248,0.95277,0.0090496,0.0090496,0.0090496
26,2760.38,0.83339,0.56953,0.97992,0.80782,0.78943,0.84045,0.61802,0.82069,0.52572,0.95504,0.00901,0.00901,0.00901
27,2866.46,0.82764,0.56131,0.9777,0.82464,0.79022,0.85244,0.62275,0.80615,0.50976,0.94389,0.0089704,0.0089704,0.0089704
28,2973.01,0.82509,0.56,0.97444,0.8539,0.80936,0.87206,0.63384,0.79095,0.50549,0.94631,0.0089308,0.0089308,0.0089308
29,3078.99,0.81746,0.5551,0.97234,0.84478,0.80317,0.86233,0.63328,0.79409,0.50303,0.94168,0.0088912,0.0088912,0.0088912
30,3185.15,0.81025,0.54521,0.96898,0.85369,0.78347,0.86391,0.62701,0.80386,0.51433,0.94014,0.0088516,0.0088516,0.0088516
31,3291.13,0.80464,0.54228,0.96655,0.85343,0.82641,0.88251,0.64562,0.78138,0.49351,0.93388,0.008812,0.008812,0.008812
32,3396.76,0.80273,0.53666,0.9625,0.8434,0.80883,0.86354,0.63532,0.78573,0.49726,0.93694,0.0087724,0.0087724,0.0087724
33,3503.07,0.79776,0.53336,0.96016,0.8478,0.79977,0.85053,0.63434,0.78108,0.48566,0.93201,0.0087328,0.0087328,0.0087328
